Genus	P01-A01-HLM069	P01-A02-HLM002	P01-A03-HLM038	P01-A04-HLM091	P01-A05-HLM061	P01-A06-HLM094	P01-A07-HLM102	P01-A08-HLM056	P01-A09-HLM053	P01-A10-HLM019	P01-A11-HLM137	P01-A12-HLM131	P01-B01-HLM062	P01-B02-HLM064	P01-B03-HLM037	P01-B04-HLM089	P01-B05-HLM107	P01-B06-HLM097	P01-B07-HLM098	P01-B08-HLM106	P01-B09-HLM054	P01-B10-HLM020	P01-B11-HLM136	P01-B12-HLM122	P01-C01-HLM080	P01-C02-HLM044	P01-C03-HLM045	P01-C04-HLM074	P01-C05-HLM114	P01-C06-HLM084	P01-C07-HLM104	P01-C08-HLM096	P01-C09-HLM035	P01-C10-HLM021	P01-C11-HLM117	P01-C12-HLM128	P01-D01-HLM079	P01-D02-HLM043	P01-D03-HLM025	P01-D04-HLM073	P01-D05-HLM090	P01-D06-HLM093	P01-D07-HLM105	P01-D08-HLM086	P01-D09-HLM055	P01-D10-HLM022	P01-D11-HLM101	P01-D12-HLM135	P01-E01-HLM065	P01-E02-HLM042	P01-E03-HLM049	P01-E05-HLM095	P01-E06-HLM100	P01-E07-HLM103	P01-E08-HLM112	P01-E09-HLM057	P01-E10-HLM023	P01-E11-HLM120	P01-E12-HLM138	P01-F01-HLM066	P01-F02-HLM041	P01-F03-HLM048	P01-F05-HLM092	P01-F06-HLM081	P01-F07-HLM087	P01-F08-HLM050	P01-F09-HLM058	P01-F10-HLM024	P01-F11-HLM116	P01-F12-HLM140	P01-G01-HLM068	P01-G03-HLM067	P01-G04-HLM109	P01-G05-HLM083	P01-G06-HLM075	P01-G07-HLM072	P01-G08-HLM051	P01-G09-HLM059	P01-G10-HLM018	P01-G11-HLM123	P01-G12-HLM178	P01-H01-HLM063	P01-H02-HLM039	P01-H03-HLM070	P01-H04-HLM110	P01-H05-HLM082	P01-H06-HLM078	P01-H07-HLM099	P01-H08-HLM052	P01-H09-HLM029	P01-H10-HLM017	P01-H11-HLM124	P01-H12-HLM148	P02-A01-HLM146	P02-A02-HLM016	P02-A03-HLM171	P02-A04-HLM004	P02-A05-HLM167	P02-A06-HLM172	P02-A07-HLM154	P02-A08-HLM085	P02-A09-HLM134	P02-A10-HLM405	P02-A11-HLM413	P02-A12-HLM421	P02-B01-HLM145	P02-B02-HLM177	P02-B03-HLM032	P02-B04-HLM001	P02-B05-HLM165	P02-B06-HLM013	P02-B07-HLM155	P02-B08-HLM003	P02-B09-HLM130	P02-B10-HLM406	P02-B11-HLM414	P02-B12-HLM422	P02-C01-HLM143	P02-C02-HLM182	P02-C03-HLM033	P02-C04-HLM006	P02-C05-HLM129	P02-C06-HLM010	P02-C07-HLM157	P02-C08-HLM111	P02-C09-HLM127	P02-C10-HLM407	P02-C11-HLM415	P02-C12-HLM423	P02-D01-HLM115	P02-D02-HLM186	P02-D03-HLM030	P02-D04-HLM173	P02-D05-HLM166	P02-D06-HLM189	P02-D07-HLM158	P02-D08-HLM005	P02-D09-HLM400	P02-D10-HLM408	P02-D11-HLM416	P02-D12-HLM424	P02-E01-HLM144	P02-E02-HLM184	P02-E03-HLM014	P02-E04-HLM174	P02-E05-HLM149	P02-E06-HLM190	P02-E07-HLM159	P02-E08-HLM132	P02-E09-HLM401	P02-E10-HLM409	P02-E11-HLM417	P02-E12-HLM425	P02-F01-HLM179	P02-F02-HLM187	P02-F03-HLM027	P02-F04-HLM175	P02-F05-HLM163	P02-F06-HLM126	P02-F07-HLM161	P02-F08-HLM007	P02-F09-HLM402	P02-F10-HLM410	P02-F11-HLM418	P02-F12-HLM426	P02-G01-HLM142	P02-G02-HLM188	P02-G03-HLM036	P02-G04-HLM147	P02-G05-HLM164	P02-G06-HLM141	P02-G07-HLM118	P02-G08-HLM008	P02-G09-HLM403	P02-G10-HLM411	P02-G11-HLM419	P02-G12-HLM427	P02-H01-HLM180	P02-H02-HLM176	P02-H03-HLM031	P02-H04-HLM162	P02-H05-HLM009	P02-H06-HLM152	P02-H07-HLM119	P02-H08-HLM011	P02-H09-HLM404	P02-H10-HLM412	P02-H11-HLM420	P02-H12-HLM428	P03-A01-HLM429	P03-B01-HLM430	P03-C01-HLM431	P03-D01-NEC
Bacteria;Actinobacteriota;Actinobacteria;?;?;?	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	12	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;?;?	584	0	42	418	4	49	0	1152	28	406	459	1	12	11	19	105	223	179	110	16	17	6	24	624	239	600	11	478	48	56	17	299	132	305	3	627	4	64	22	176	276	80	5	18	181	18	75	14	11	642	120	1099	6	20	29	6	46	1053	35	534	0	62	254	10	36	8	180	10	3	7	0	132	4	0	149	410	88	1	127	24	221	48	224	92	172	19	24	61	36	38	3	105	175	15	36	0	212	47	100	644	602	925	70	13	0	11	0	6	271	109	0	17	303	0	6	0	0	135	3	186	136	170	59	2	395	18	134	7	0	0	279	3	96	62	6	3	4	0	9	0	0	33	2	39	35	798	212	2	71	0	0	0	0	1	56	32	36	230	32	3	206	0	0	10	5	26	0	0	30	169	33	188	2	0	8	4	6	0	142	32	40	237	64	920	11	0	1	9	11	0	15	0	0
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	2630	237	373	3199	1887	497	156	899	341	1521	3399	50	419	148	380	263	3201	2744	1319	72	165	128	931	939	325	3037	158	448	6567	361	515	331	2843	427	951	2789	286	295	120	4497	2038	2441	701	473	1365	213	1729	23	1090	1945	2754	775	70	246	568	34	2597	161	1513	1075	353	565	1205	94	117	163	165	973	90	253	118	1309	37	190	6106	387	922	451	163	188	4556	292	1294	467	3148	818	180	610	241	307	126	1395	947	302	960	664	4005	1394	204	686	4125	1665	24	43	28	261	100	1739	1746	1461	49	151	7272	122	127	1	47	698	36	4865	579	1111	342	20	3112	175	507	80	1	165	338	48	1339	320	232	80	584	0	126	4	2	3249	65	284	105	820	1524	49	559	0	1	0	0	5	339	321	843	1886	553	369	838	6	11	53	4	198	88	55	240	1074	963	5409	44	0	31	106	11	13	679	268	546	223	341	1274	729	0	3	0	1	1	35	8	0
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;F0332	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	1	3	0	0	0	0	0	0	0	0	6	0	13	1	0	1	0	0	1	1	0	27	2	0	0	15	0	0	0	1	0	0	1	0	1	1	3	0	1	0	0	2	2	4	0	0	0	11	1	2	1	0	0	0	0	0	1	0	0	0	1	26	0	0	0	0	0	0	4	3	2	2	4	0	1	0	1	38	3	0	0	3	0	0	0	2	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	2	2	0	0	9	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	1	5	1	1	7	0	1	0	0	0	0	2	8	4	1	0	0	0	2	0	0	0	1	0	0	2	1	9	1	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	10	5	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Alloscardovia	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	11	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	0	0	0	0	0	0	0	8	0	0	9	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	1	0	0	0	0	0	7	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	3	0	0	3	0	0	12	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	21	0	0	0	0	11	1	0	1	0	0	0	19	3	0	0	0	5	0	0	0	0	0	0	5	1	3	0	0	4	1	0	0	0	2	11	0	0	0	1	9	0	2	0	0	2	0	0	0	0	2	0	0	1	1	0	1	0	0	0	1	0	0	0	8	1	0	1	0	0	0	0	0	1	0	0	1	0	8	0	0	9	0	2	0	0	0	0	0	0	0	5	0	0	0	1	0	25	15	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	32	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Parascardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;?	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	1	0	0	0	0
