"","Sample","Abundance","aa","Group"
"1","P03-D01-NEC",2.93255131964809,"Proteobacteria","COPD_IFNnegative"
"2","P02-A05-HLM167",2.59513502744018,"Firmicutes","COPD_IFNnegative"
"3","P01-D01-HLM079",2.15639201084771,"Proteobacteria","COPD_IFNnegative"
"4","P02-B08-HLM003",2.09079267092416,"Firmicutes","COPD_IFNnegative"
"5","P02-H02-HLM176",2.0709122511037,"Firmicutes","COPD_IFNnegative"
"6","P01-E06-HLM100",2.01924706214315,"Firmicutes","COPD_IFNnegative"
"7","P02-B01-HLM145",1.95368289111321,"Proteobacteria","COPD_IFNnegative"
"8","P01-B10-HLM020",1.95177881201971,"Firmicutes","COPD_IFNnegative"
"9","P01-C09-HLM035",1.86766779572315,"Firmicutes","COPD_IFNnegative"
"10","P01-A06-HLM094",1.85933432936149,"Firmicutes","COPD_IFNnegative"
"11","P01-E10-HLM023",1.79121803811652,"Firmicutes","COPD_IFNnegative"
"12","P02-A01-HLM146",1.78926086751015,"Firmicutes","COPD_IFNnegative"
"13","P01-D04-HLM073",1.78617073610881,"Firmicutes","COPD_IFNnegative"
"14","P01-H01-HLM063",1.78105141060316,"Firmicutes","COPD_IFNnegative"
"15","P02-H06-HLM152",1.68063249250662,"Firmicutes","COPD_IFNnegative"
"16","P01-H11-HLM124",1.66597376417164,"Firmicutes","COPD_IFNnegative"
"17","P01-H04-HLM110",1.65281579550831,"Firmicutes","COPD_IFNnegative"
"18","P01-G03-HLM067",1.63271217418469,"Firmicutes","COPD_IFNnegative"
"19","P02-B04-HLM001",1.60865732728462,"Firmicutes","COPD_IFNnegative"
"20","P01-F12-HLM140",1.60734091628225,"Firmicutes","COPD_IFNnegative"
"21","P01-A12-HLM131",1.59129876265347,"Proteobacteria","COPD_IFNnegative"
"22","P01-A12-HLM131",1.57654190575783,"Firmicutes","COPD_IFNnegative"
"23","P01-D07-HLM105",1.56442732934204,"Firmicutes","COPD_IFNnegative"
"24","P02-H04-HLM162",1.52956332950526,"Firmicutes","COPD_IFNnegative"
"25","P01-E07-HLM103",1.49059121594582,"Firmicutes","COPD_IFNnegative"
"26","P01-A11-HLM137",1.45855704938219,"Firmicutes","COPD_IFNnegative"
"27","P01-H08-HLM052",1.45611078731977,"Firmicutes","COPD_IFNnegative"
"28","P01-E02-HLM042",1.45028204643138,"Firmicutes","COPD_IFNnegative"
"29","P01-G05-HLM083",1.3148268166876,"Firmicutes","COPD_IFNnegative"
"30","P01-F01-HLM066",1.31383454782293,"Firmicutes","COPD_IFNnegative"
"31","P01-H01-HLM063",1.24808969369132,"Bacteroidota","COPD_IFNnegative"
"32","P01-D08-HLM086",1.15330916638286,"Firmicutes","COPD_IFNnegative"
"33","P01-E07-HLM103",1.12769344724867,"Bacteroidota","COPD_IFNnegative"
"34","P02-A09-HLM134",1.10402957372724,"Firmicutes","COPD_IFNnegative"
"35","P01-E10-HLM023",1.10303993319777,"Bacteroidota","COPD_IFNnegative"
"36","P02-A09-HLM134",1.0948261316399,"Bacteroidota","COPD_IFNnegative"
"37","P01-G05-HLM083",1.01265801640965,"Proteobacteria","COPD_IFNnegative"
"38","P01-G03-HLM067",0.989370195133103,"Bacteroidota","COPD_IFNnegative"
"39","P02-B04-HLM001",0.988696341709913,"Proteobacteria","COPD_IFNnegative"
"40","P01-H11-HLM124",0.976791999582922,"Bacteroidota","COPD_IFNnegative"
"41","P01-D04-HLM073",0.896818196425879,"Bacteroidota","COPD_IFNnegative"
"42","P01-A11-HLM137",0.871884082871583,"Bacteroidota","COPD_IFNnegative"
"43","P02-H04-HLM162",0.869838127826239,"Bacteroidota","COPD_IFNnegative"
"44","P01-A06-HLM094",0.857827203017197,"Bacteroidota","COPD_IFNnegative"
"45","P02-H06-HLM152",0.833981854403655,"Bacteroidota","COPD_IFNnegative"
"46","P01-D01-HLM079",0.819477600480239,"Firmicutes","COPD_IFNnegative"
"47","P01-B10-HLM020",0.795367019845939,"Proteobacteria","COPD_IFNnegative"
"48","P01-H08-HLM052",0.788634290347921,"Bacteroidota","COPD_IFNnegative"
"49","P01-D08-HLM086",0.755766991606948,"Fusobacteriota","COPD_IFNnegative"
"50","P01-E02-HLM042",0.738408195925301,"Bacteroidota","COPD_IFNnegative"
"51","P01-H04-HLM110",0.722490079912221,"Bacteroidota","COPD_IFNnegative"
"52","P02-B01-HLM145",0.708677075863399,"Firmicutes","COPD_IFNnegative"
"53","P01-D07-HLM105",0.704089347045688,"Bacteroidota","COPD_IFNnegative"
"54","P01-F01-HLM066",0.677298250485156,"Fusobacteriota","COPD_IFNnegative"
"55","P01-F01-HLM066",0.661938673936866,"Bacteroidota","COPD_IFNnegative"
"56","P01-H08-HLM052",0.612282391100525,"Proteobacteria","COPD_IFNnegative"
"57","P01-C09-HLM035",0.604020991728329,"Bacteroidota","COPD_IFNnegative"
"58","P01-E06-HLM100",0.600552554893689,"Fusobacteriota","COPD_IFNnegative"
"59","P02-H02-HLM176",0.593206776031595,"Proteobacteria","COPD_IFNnegative"
"60","P02-A01-HLM146",0.58913708272801,"Proteobacteria","COPD_IFNnegative"
"61","P01-D08-HLM086",0.583965293739001,"Bacteroidota","COPD_IFNnegative"
"62","P01-G05-HLM083",0.548714488066921,"Bacteroidota","COPD_IFNnegative"
"63","P02-A01-HLM146",0.530990340684615,"Bacteroidota","COPD_IFNnegative"
"64","P02-A09-HLM134",0.525107501316604,"Fusobacteriota","COPD_IFNnegative"
"65","P01-F01-HLM066",0.516022696728115,"Actinobacteriota","COPD_IFNnegative"
"66","P01-D08-HLM086",0.484824926313387,"Proteobacteria","COPD_IFNnegative"
"67","P01-E07-HLM103",0.480516664556584,"Proteobacteria","COPD_IFNnegative"
"68","P01-F12-HLM140",0.471697170549736,"Proteobacteria","COPD_IFNnegative"
"69","P01-H04-HLM110",0.436570944229803,"Actinobacteriota","COPD_IFNnegative"
"70","P02-B08-HLM003",0.435391286272203,"Bacteroidota","COPD_IFNnegative"
"71","P01-F12-HLM140",0.414875014571919,"Bacteroidota","COPD_IFNnegative"
"72","P01-A11-HLM137",0.403691135833226,"Fusobacteriota","COPD_IFNnegative"
"73","P01-E02-HLM042",0.400209128725519,"Fusobacteriota","COPD_IFNnegative"
"74","P01-E02-HLM042",0.391805896088854,"Proteobacteria","COPD_IFNnegative"
"75","P02-H04-HLM162",0.391427157521808,"Proteobacteria","COPD_IFNnegative"
"76","P01-D07-HLM105",0.391397978860821,"Fusobacteriota","COPD_IFNnegative"
"77","P01-F12-HLM140",0.371375755658068,"Actinobacteriota","COPD_IFNnegative"
"78","P01-D07-HLM105",0.37004723367129,"Proteobacteria","COPD_IFNnegative"
"79","P01-F12-HLM140",0.35458890535747,"Fusobacteriota","COPD_IFNnegative"
"80","P01-C09-HLM035",0.349801567111021,"Proteobacteria","COPD_IFNnegative"
"81","P02-A09-HLM134",0.33963257813978,"Actinobacteriota","COPD_IFNnegative"
"82","P02-H06-HLM152",0.302380199944035,"Proteobacteria","COPD_IFNnegative"
"83","P01-A11-HLM137",0.301533439285254,"Actinobacteriota","COPD_IFNnegative"
"84","P01-C09-HLM035",0.29274302577447,"Actinobacteriota","COPD_IFNnegative"
"85","P01-H08-HLM052",0.288561437295695,"Fusobacteriota","COPD_IFNnegative"
"86","P01-D04-HLM073",0.287304181014983,"Actinobacteriota","COPD_IFNnegative"
"87","P01-E06-HLM100",0.280640870590306,"Bacteroidota","COPD_IFNnegative"
"88","P02-H02-HLM176",0.273610335551802,"Bacteroidota","COPD_IFNnegative"
"89","P02-B08-HLM003",0.265982372263117,"Actinobacteriota","COPD_IFNnegative"
"90","P01-G03-HLM067",0.263321368169952,"Actinobacteriota","COPD_IFNnegative"
"91","P01-G03-HLM067",0.254105120284004,"Fusobacteriota","COPD_IFNnegative"
"92","P01-G05-HLM083",0.249301787957346,"Fusobacteriota","COPD_IFNnegative"
"93","P02-B04-HLM001",0.247218936468202,"Bacteroidota","COPD_IFNnegative"
"94","P02-B01-HLM145",0.239841391321116,"Actinobacteriota","COPD_IFNnegative"
"95","P01-B10-HLM020",0.237431590448577,"Bacteroidota","COPD_IFNnegative"
"96","P03-D01-NEC",0.234604105571847,"Actinobacteriota","COPD_IFNnegative"
"97","P02-B08-HLM003",0.232742682971518,"Fusobacteriota","COPD_IFNnegative"
"98","P02-B01-HLM145",0.2314047594656,"Bacteroidota","COPD_IFNnegative"
"99","P01-H11-HLM124",0.2259174051314,"Fusobacteriota","COPD_IFNnegative"
"100","P02-H04-HLM162",0.223513135143459,"Fusobacteriota","COPD_IFNnegative"
"101","P01-E02-HLM042",0.218898000899932,"Actinobacteriota","COPD_IFNnegative"
"102","P02-B04-HLM001",0.214746782984352,"Actinobacteriota","COPD_IFNnegative"
"103","P02-A05-HLM167",0.214087772364203,"Proteobacteria","COPD_IFNnegative"
"104","P02-H06-HLM152",0.207921191812346,"Fusobacteriota","COPD_IFNnegative"
"105","P01-A06-HLM094",0.206647220402713,"Fusobacteriota","COPD_IFNnegative"
"106","P01-H04-HLM110",0.20299774844728,"Fusobacteriota","COPD_IFNnegative"
"107","P02-A05-HLM167",0.199525456883592,"Bacteroidota","COPD_IFNnegative"
"108","P02-A01-HLM146",0.195665570618416,"Fusobacteriota","COPD_IFNnegative"
"109","P01-H11-HLM124",0.181201800387936,"Actinobacteriota","COPD_IFNnegative"
"110","P01-A06-HLM094",0.180560768757099,"Proteobacteria","COPD_IFNnegative"
"111","P01-E06-HLM100",0.176718661708848,"Proteobacteria","COPD_IFNnegative"
"112","P02-B08-HLM003",0.173948969131841,"Proteobacteria","COPD_IFNnegative"
"113","P01-E10-HLM023",0.173143247053439,"Fusobacteriota","COPD_IFNnegative"
"114","P01-B10-HLM020",0.167899175641499,"Fusobacteriota","COPD_IFNnegative"
"115","P02-B04-HLM001",0.164752822924503,"Fusobacteriota","COPD_IFNnegative"
"116","P01-D07-HLM105",0.158383709769616,"Actinobacteriota","COPD_IFNnegative"
"117","P01-D04-HLM073",0.15470225131576,"Fusobacteriota","COPD_IFNnegative"
"118","P01-D08-HLM086",0.147105761018222,"Patescibacteria","COPD_IFNnegative"
"119","P02-A05-HLM167",0.139537411023166,"Actinobacteriota","COPD_IFNnegative"
"120","P01-E10-HLM023",0.137756859143612,"Actinobacteriota","COPD_IFNnegative"
"121","P02-H02-HLM176",0.137678763994138,"Fusobacteriota","COPD_IFNnegative"
"122","P01-H11-HLM124",0.133745777416548,"Proteobacteria","COPD_IFNnegative"
"123","P01-H04-HLM110",0.133332172240397,"Proteobacteria","COPD_IFNnegative"
"124","P02-H04-HLM162",0.12941780793739,"Actinobacteriota","COPD_IFNnegative"
"125","P01-E06-HLM100",0.126175669985535,"Actinobacteriota","COPD_IFNnegative"
"126","P02-A09-HLM134",0.121562130903625,"Proteobacteria","COPD_IFNnegative"
"127","P02-H06-HLM152",0.112557270559278,"Patescibacteria","COPD_IFNnegative"
"128","P01-A11-HLM137",0.107097346906633,"Proteobacteria","COPD_IFNnegative"
"129","P01-G05-HLM083",0.0998042333698586,"Actinobacteriota","COPD_IFNnegative"
"130","P01-D01-HLM079",0.0983985578419147,"Fusobacteriota","COPD_IFNnegative"
"131","P01-D08-HLM086",0.0970898022720262,"Actinobacteriota","COPD_IFNnegative"
"132","P02-H02-HLM176",0.0903647928144265,"Actinobacteriota","COPD_IFNnegative"
"133","P01-A06-HLM094",0.0867640288275735,"Actinobacteriota","COPD_IFNnegative"
"134","P02-H06-HLM152",0.0835304419734902,"Actinobacteriota","COPD_IFNnegative"
"135","P02-A01-HLM146",0.0820475501225808,"Actinobacteriota","COPD_IFNnegative"
