,logFC,level,p,Genus,ord
Mycobacterium,-22.4663502831621,depleted,3.54225165596035e-29,Mycobacterium,504.736895045736
Brevibacillus,-20.5610192657806,depleted,2.81701996931963e-06,Brevibacillus,422.755513247802
Sphaerimonospora,-16.6535267556131,depleted,0.00621465571303095,Sphaerimonospora,277.339953399921
Microbacterium,-16.0293353651707,depleted,2.01437336989198e-06,Microbacterium,256.939592249111
Streptomyces,-13.6094631515087,depleted,0.000188371019909852,Streptomyces,185.217487272272
Cutibacterium,-9.30172446629008,depleted,1.01241412139786e-06,Cutibacterium,86.5220780467795
Acinetobacter,-8.21939288422683,depleted,2.5882646002508e-05,Acinetobacter,67.5584193852786
Stenotrophomonas,8.19414380692199,enriched,1.19765034795232e-05,Stenotrophomonas,67.143992728518
Methylibium,-7.33398095290519,depleted,1.98306701438949e-06,Methylibium,53.7872766175762
Staphylococcus,-6.76522441790134,depleted,0.000744673732152106,Staphylococcus,45.7682614245686
Ligilactobacillus,6.11562080180453,enriched,0.00284292170713699,Ligilactobacillus,37.4008177914643
Caulobacter,6.0090251658639,enriched,0.00726865534482274,Caulobacter,36.1083834439856
[Eubacterium] saphenum group,5.9579902796423,enriched,4.7146562553245e-05,[Eubacterium] saphenum group,35.4976481723121
Ralstonia,-5.71522076239397,depleted,0.0103073109664012,Ralstonia,32.6637483628991
Lautropia,5.61427774060455,enriched,1.15392982317283e-08,Lautropia,31.5201145486477
Neisseria,5.43808840713575,enriched,2.36322774211497e-07,Neisseria,29.5728055238242
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,5.07812610763375,enriched,0.00630649457263919,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,25.7873647650315
Fusobacterium,5.03132007586918,enriched,1.34264282416826e-10,Fusobacterium,25.3141817058443
Haemophilus,4.57359089825979,enriched,1.34562551403413e-07,Haemophilus,20.9177337046448
Reyranella,-4.35745458516749,depleted,0.00132515483556294,Reyranella,18.9874104617972
Prevotella_7,4.20253487495286,enriched,7.29394695778497e-08,Prevotella_7,17.661299375195
Porphyromonas,4.2016782055171,enriched,1.36344527258368e-05,Porphyromonas,17.6540997427174
Prevotella,4.11576457367971,enriched,1.68912634183345e-10,Prevotella,16.9395180259569
Aquabacterium,-4.01189505579054,depleted,0.00916507413472627,Aquabacterium,16.0953019386766
Capnocytophaga,3.8421879631323,enriched,3.37003911386852e-05,Capnocytophaga,14.7624083440387
Aggregatibacter,3.25129611244815,enriched,0.00130770905156375,Aggregatibacter,10.5709264108205
Family XIII UCG-001,3.24435069365407,enriched,0.012028565979958,Family XIII UCG-001,10.5258114234137
Anaeroglobus,3.00434436108729,enriched,0.0102801169811802,Anaeroglobus,9.02608503999701
Selenomonas,2.8799610538648,enriched,5.25745332806156e-05,Selenomonas,8.29417567177808
Stomatobaculum,2.87964424114599,enriched,9.33383441019164e-05,Stomatobaculum,8.29235095556527
uncultured Candidatus Saccharibacteria bacterium,2.8329873600124,enriched,0.0128406900157146,uncultured Candidatus Saccharibacteria bacterium,8.02581738199002
Unknown,-2.72778671644021,depleted,0.00161999085618415,Unknown,7.44082037038765
Catonella,2.62629890100303,enriched,0.000233569099230765,Catonella,6.89744591740971
Dialister,2.42578943019173,enriched,0.000184937309505252,Dialister,5.8844543596299
Tannerella,2.19389997607534,enriched,0.00352145023879976,Tannerella,4.81319710502337
Campylobacter,2.09703412365095,enriched,0.000909352951279038,Campylobacter,4.39755211575649
Actinomyces,1.987692521747,enriched,0.00107649912938162,Actinomyces,3.95092156100896
