,logFC,level,p,Genus,ord
Brevibacillus,-34.611335565773,depleted,2.87209200914935e-28,Brevibacillus,1197.94454964654
Mycobacterium,-20.7842867916379,depleted,1.89837994958106e-78,Mycobacterium,431.986577437056
Microbacterium,-12.5908022743725,depleted,8.45085022230676e-11,Microbacterium,158.528301912344
Cutibacterium,-8.70715111841769,depleted,2.13629870160077e-12,Cutibacterium,75.8144805989624
Pseudomonas,-6.86499750428455,depleted,0.00822023654795434,Pseudomonas,47.1281907338331
Acinetobacter,-6.58944058785216,depleted,0.000161200476657395,Acinetobacter,43.4207272608335
Streptomyces,-6.37417180277236,depleted,0.000315294284383399,Streptomyces,40.6300661712583
Methylibium,-6.13185058592701,depleted,8.69767699978976e-07,Methylibium,37.5995916081334
[Eubacterium] brachy group,-5.64464501509649,depleted,0.000137850290238451,[Eubacterium] brachy group,31.8620173464537
Enterobacter,-4.86662461089895,depleted,0.0108524869856107,Enterobacter,23.6840351034074
Staphylococcus,-4.80525720746933,depleted,0.000428205497085223,Staphylococcus,23.090496829936
Ralstonia,-4.68172855143459,depleted,0.00111197218675766,Ralstonia,21.9185822293178
Prevotella_7,4.50948268357643,enriched,5.3872691562078e-06,Prevotella_7,20.3354340734757
Fusobacterium,4.35910506732947,enriched,1.8797587722399e-05,Fusobacterium,19.0017969880175
Haemophilus,3.85069549472882,enriched,0.000521104246837002,Haemophilus,14.8278557931248
Pseudopropionibacterium,3.73377552405796,enriched,0.00142826529754364,Pseudopropionibacterium,13.9410796640543
Porphyromonas,3.37520462092754,enriched,0.00549816717825212,Porphyromonas,11.3920062331306
Prevotella,3.2668513926597,enriched,0.000560344449612949,Prevotella,10.6723180217226
Actinomyces,2.96671521772164,enriched,8.82395904854902e-05,Actinomyces,8.80139918306117
Stomatobaculum,2.75194284693663,enriched,0.00402902555041431,Stomatobaculum,7.57318943280566
Streptococcus,2.46060535134553,enriched,0.0011878514079026,Streptococcus,6.05457869507028
Veillonella,1.98227786123577,enriched,0.0120392355329789,Veillonella,3.92942551914547
