"","COPD_IFNnegative-COPD_IFNpositivelogFC","COPD_IFNnegative-COPD_IFNpositivelevel","COPD_IFNnegative-COPD_IFNpositivep","COPD_IFNnegative-TB_IFNpositivelogFC","COPD_IFNnegative-TB_IFNpositivelevel","COPD_IFNnegative-TB_IFNpositivep","COPD_IFNpositive-TB_IFNpositivelogFC","COPD_IFNpositive-TB_IFNpositivelevel","COPD_IFNpositive-TB_IFNpositivep","COPD_IFNnegative","COPD_IFNpositive","TB_IFNpositive","phylum","class","order","family","genus"
"[Eubacterium] brachy group",-1.85762264667092,"nosig",0.0976714981880471,-2.95546356188466,"depleted",0.00142033883258023,-1.09784091521374,"nosig",0.418080065632179,4.55452285480943e-05,0.000200485054643207,9.94671276791936e-05,"Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] brachy group"
"[Eubacterium] nodatum group",0.979875402718434,"nosig",0.204325541153419,-0.259062094948814,"nosig",0.607603129702857,-1.23893749766725,"nosig",0.118279889615453,0.00184176480368435,0.000729430802087647,0.000511584432762782,"Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] nodatum group"
"[Eubacterium] saphenum group",-5.53607845841974,"depleted",3.26248683285447e-05,0.421911821222563,"nosig",0.714842099308575,5.9579902796423,"enriched",4.7146562553245e-05,4.9073474292165e-05,0.00273614244082313,1.48042179660988e-05,"Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] saphenum group"
"[Eubacterium] yurii group",-1.17081764191161,"nosig",0.106528117343515,-1.64589009911691,"nosig",0.027070534619885,-0.475072457205294,"nosig",0.661886808193329,1.90639272661104e-06,7.29973872757184e-06,5.34132263320863e-06,"Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","[Eubacterium] yurii group"
"Abiotrophia",-2.07203518947499,"nosig",0.012834150996569,-0.732366049206904,"nosig",0.248788040783577,1.33966914026808,"nosig",0.1234954233482,0.000366989383635221,0.000579080839317299,0.000213593573111169,"Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia"
"Acholeplasma",1.74850919852686,"nosig",0.403892315128629,3.33335714047449,"nosig",0.0384931843241074,1.58484794194763,"nosig",0.234727917210668,4.57851273169379e-05,3.38727569883732e-06,0,"Firmicutes","Bacilli","Acholeplasmatales","Acholeplasmataceae","Acholeplasma"
"Acinetobacter",0,"nosig",1,-8.21939288422683,"depleted",3.59254283060058e-14,-8.21939288422683,"depleted",2.5882646002508e-05,0,0,7.41116643195407e-05,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"Actinobacillus",3.00715290967413,"nosig",0.0798949554424094,2.75126974329589,"enriched",0.00695785661623948,-0.255883166378239,"nosig",0.85651298531446,0.000764256021945355,6.25604454178637e-05,0.000184950500979778,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Actinobacillus"
"Actinomyces",0.269916178227854,"nosig",0.691239771947203,2.25760869997486,"enriched",1.57261418727205e-06,1.987692521747,"enriched",0.00107649912938162,0.0288601992592578,0.0216454537216266,0.00146313679882317,"Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"Aggregatibacter",-1.19497309902546,"nosig",0.260010896225704,2.05632301342269,"enriched",0.00987697551037747,3.25129611244815,"enriched",0.00130770905156375,0.00216694882690378,0.00216489939687915,0.00050580022544668,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Aggregatibacter"
"Alloprevotella",-0.522864618130786,"nosig",0.620547352621966,1.12081637194619,"nosig",0.126648705435639,1.64368099007698,"nosig",0.0985449027312836,0.0209854882333392,0.0259776239625451,0.00838388261231474,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella"
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",1.16423448876625,"nosig",0.546334646889064,6.2423605964,"enriched",0.000229111408003474,5.07812610763375,"enriched",0.00630649457263919,0.00093678360032666,0.0020808171735203,6.33981751026601e-06,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
