,Pvalues,FDR,COPD_IFNnegative,COPD_IFNpositive,TB_IFNpositive,max,min,LDAscore,class,color
p__Bacteria_Rank_Bacteroidota,4.1243e-10,6.9161e-09,9549.58064516129,8522.22222222222,423.375,9549.58064516129,423.375,3.66,COPD_IFNnegative,darkgreen
c__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia,4.1243e-10,6.9161e-09,9549.58064516129,8522.22222222222,423.375,9549.58064516129,423.375,3.66,COPD_IFNnegative,darkgreen
c__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria,5.32e-10,6.9161e-09,7445.90322580645,13356.1111111111,287.59375,13356.1111111111,287.59375,3.82,COPD_IFNpositive,red
p__Bacteria_Rank_Fusobacteriota,1.3144e-09,8.6962e-09,3429.51612903226,5376.88888888889,231.84375,5376.88888888889,231.84375,3.41,COPD_IFNpositive,red
c__Bacteria_Rank_Fusobacteriota_Rank_Fusobacteriia,1.3144e-09,8.6962e-09,3429.51612903226,5376.88888888889,231.84375,5376.88888888889,231.84375,3.41,COPD_IFNpositive,red
c__Bacteria_Rank_Firmicutes_Rank_Negativicutes,1.3379e-09,8.6962e-09,3305.12903225806,2813.22222222222,147.6875,3305.12903225806,147.6875,3.2,COPD_IFNnegative,darkgreen
p__Bacteria_Rank_Campylobacterota,2.807e-09,1.3684e-08,49.8387096774194,89.5555555555556,4.875,89.5555555555556,4.875,1.64,COPD_IFNpositive,red
c__Bacteria_Rank_Campylobacterota_Rank_Campylobacteria,2.807e-09,1.3684e-08,49.8387096774194,89.5555555555556,4.875,89.5555555555556,4.875,1.64,COPD_IFNpositive,red
p__Bacteria_Rank_Proteobacteria,6.3755e-09,2.7627e-08,7760.67741935484,13650,1884.75,13650,1884.75,3.77,COPD_IFNpositive,red
c__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria,9.6511e-09,3.7639e-08,2268.83870967742,2624.88888888889,34958.5625,34958.5625,2268.83870967742,4.21,TB_IFNpositive,blue
p__Bacteria_Rank_Actinobacteriota,1.3276e-08,4.7068e-08,2469.64516129032,2888.88888888889,34978.59375,34978.59375,2469.64516129032,4.21,TB_IFNpositive,blue
c__Bacteria_Rank_Actinobacteriota_Rank_Coriobacteriia,5.1684e-07,1.6797e-06,200.806451612903,264,20.03125,264,20.03125,2.09,COPD_IFNpositive,red
p__Bacteria_Rank_Firmicutes,3.1353e-06,9.4059e-06,25604.7419354839,25888,11709.375,25888,11709.375,3.85,COPD_IFNpositive,red
k__Unknown,5.4543e-06,1.2751e-05,18.2258064516129,12.2222222222222,43.53125,43.53125,12.2222222222222,1.22,TB_IFNpositive,blue
p__Unknown_Rank_Unknown,5.4543e-06,1.2751e-05,18.2258064516129,12.2222222222222,43.53125,43.53125,12.2222222222222,1.22,TB_IFNpositive,blue
c__Unknown_Rank_Unknown_Rank_Unknown,5.4543e-06,1.2751e-05,18.2258064516129,12.2222222222222,43.53125,43.53125,12.2222222222222,1.22,TB_IFNpositive,blue
p__Bacteria_Rank_Patescibacteria,5.5581e-06,1.2751e-05,462.677419354839,516,79.6875,516,79.6875,2.34,COPD_IFNpositive,red
c__Bacteria_Rank_Firmicutes_Rank_Bacilli,9.5903e-06,2.0779e-05,21499.5483870968,21381.3333333333,11402.46875,21499.5483870968,11402.46875,3.7,COPD_IFNnegative,darkgreen
c__Bacteria_Rank_Firmicutes_Rank_Clostridia,1.03e-05,2.1143e-05,800.064516129032,1692.11111111111,159.21875,1692.11111111111,159.21875,2.89,COPD_IFNpositive,red
c__Bacteria_Rank_Patescibacteria_Rank_Saccharimonadia,1.8513e-05,3.6101e-05,361.677419354839,324.555555555556,72.34375,361.677419354839,72.34375,2.16,COPD_IFNnegative,darkgreen
p__Bacteria_Rank_Spirochaetota,2.2581e-05,4.003e-05,22.258064516129,11.7777777777778,1.71875,22.258064516129,1.71875,1.05,COPD_IFNnegative,darkgreen
c__Bacteria_Rank_Spirochaetota_Rank_Spirochaetia,2.2581e-05,4.003e-05,22.258064516129,11.7777777777778,1.71875,22.258064516129,1.71875,1.05,COPD_IFNnegative,darkgreen
c__Bacteria_Rank_Patescibacteria_Rank_Gracilibacteria,0.00052799,0.00089529,101,191.444444444444,7.34375,191.444444444444,7.34375,1.97,COPD_IFNpositive,red
p__Bacteria_Rank_Synergistota,0.0061518,0.0095967,2.7741935483871,5.66666666666667,1,5.66666666666667,1,0.523,COPD_IFNpositive,red
c__Bacteria_Rank_Synergistota_Rank_Synergistia,0.0061518,0.0095967,2.7741935483871,5.66666666666667,1,5.66666666666667,1,0.523,COPD_IFNpositive,red
c__Bacteria_Rank_Firmicutes_Rank_Syntrophomonadia,0.030197,0.045296,0,1.33333333333333,0,1.33333333333333,0,0.222,COPD_IFNpositive,red
c__Bacteria_Rank_Proteobacteria_Rank_Alphaproteobacteria,0.032603,0.047093,314.774193548387,293.888888888889,1597.15625,1597.15625,293.888888888889,2.81,TB_IFNpositive,blue
p__Bacteria_Rank_Desulfobacterota,0.046292,0.062255,0.225806451612903,1,0,1,0,0.176,COPD_IFNpositive,red
c__Bacteria_Rank_Desulfobacterota_Rank_Desulfovibrionia,0.046292,0.062255,0.225806451612903,1,0,1,0,0.176,COPD_IFNpositive,red
