"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"OTU2",1,1,0,1
"OTU16",1,1,0,1
"OTU9",1,1,0,1
"OTU8",2,0.625,4,2
"OTU129",4,0.833333333333333,6,4
"OTU14",1,1,0,1
"OTU12",2,1,0,2
"OTU61",2,1,0,2
"OTU19",3,0.5,0,3
"OTU65",3,0.5,0,3
"OTU68",5,0.7,12,5
"OTU20",1,1,0,1
"OTU86",3,0.5,6,3
"OTU140",3,0.636363636363636,4,3
"OTU69",3,0.8,0,3
"OTU100",3,0.8,0,3
"OTU296",4,1,3,4
"OTU53",2,1,0,2
"OTU116",2,1,0,2
"OTU32",4,0.833333333333333,6.5,4
"OTU31",2,0.5,0.5,2
"OTU22",2,0.625,1.5,2
"OTU55",2,0.555555555555556,0,2
"OTU59",2,0.555555555555556,0,2
"OTU219",3,0.8,5,3
"OTU94",1,1,0,1
"OTU39",1,1,0,1
"OTU52",3,0.538461538461538,4,3
"OTU158",3,0.538461538461538,4,3
"OTU249",1,0.318181818181818,0,1
"OTU36",2,0.75,0,2
"OTU76",2,0.75,0,2
"OTU380",3,1,0.5,3
"OTU84",3,0.583333333333333,12,3
"OTU81",1,1,0,1
"OTU92",1,1,0,1
"OTU77",2,0.368421052631579,0,2
"OTU64",3,0.5,10,3
"OTU57",1,0.4,0,1
"OTU289",2,0.666666666666667,4,2
"OTU114",1,1,0,1
"OTU147",2,1,1,2
"OTU44",1,1,0,1
"OTU264",19,1,0,19
"OTU213",19,1,0,19
"OTU222",19,1,0,19
"OTU66",19,1,0,19
"OTU419",19,1,0,19
"OTU525",19,1,0,19
"OTU216",19,1,0,19
"OTU538",19,1,0,19
"OTU336",19,1,0,19
"OTU465",19,1,0,19
"OTU458",19,1,0,19
"OTU435",19,1,0,19
"OTU556",19,1,0,19
"OTU574",19,1,0,19
"OTU536",19,1,0,19
"OTU666",19,1,0,19
"OTU461",19,1,0,19
"OTU425",19,1,0,19
"OTU631",19,1,0,19
"OTU707",1,1,0,1
"OTU101",1,1,0,1
"OTU205",1,1,0,1
"OTU134",3,0.625,0,3
"OTU622",3,0.625,0,3
"OTU182",1,1,0,1
"OTU174",1,1,0,1
"OTU200",2,1,0,2
"OTU218",2,1,0,2
"OTU111",2,0.75,2,2
"OTU139",1,1,0,1
"OTU112",1,1,0,1
"OTU120",2,0.75,2,2
"OTU297",1,1,0,1
"OTU483",1,1,0,1
"OTU121",1,0.5,0,1
"OTU386",2,0.571428571428571,3,2
"OTU201",2,0.75,2,2
"OTU318",1,1,0,1
