source,target,correlation,direct,cor
OTU78,OTU170,0.806422018348624,undirected,+
OTU158,OTU170,0.9081694007389,undirected,+
OTU57,OTU170,0.739904132139829,undirected,+
OTU263,OTU170,0.906151246515036,undirected,+
OTU102,OTU170,0.783032419665936,undirected,+
OTU449,OTU170,0.787155963302752,undirected,+
OTU119,OTU170,0.819266055045871,undirected,+
OTU49,OTU170,0.81743119266055,undirected,+
OTU167,OTU170,0.819266055045871,undirected,+
OTU232,OTU170,0.791743119266055,undirected,+
OTU316,OTU170,0.603890827534137,undirected,+
OTU239,OTU170,0.909178477850832,undirected,+
OTU215,OTU170,0.909178477850832,undirected,+
OTU196,OTU170,0.640259427520925,undirected,+
OTU209,OTU170,0.801834862385321,undirected,+
OTU186,OTU170,0.789908256880734,undirected,+
OTU160,OTU170,0.81916906464233,undirected,+
OTU267,OTU170,0.909178477850832,undirected,+
OTU177,OTU170,0.796789943876758,undirected,+
OTU172,OTU170,0.999082568807339,undirected,+
OTU154,OTU170,0.636132174313054,undirected,+
OTU223,OTU170,0.9081694007389,undirected,+
OTU169,OTU170,0.906151246515036,undirected,+
OTU178,OTU170,0.862511951504771,undirected,+
OTU226,OTU170,0.909178477850832,undirected,+
OTU101,OTU170,0.819266055045871,undirected,+
OTU352,OTU170,0.796789943876758,undirected,+
OTU253,OTU170,0.783032419665936,undirected,+
OTU264,OTU170,0.9081694007389,undirected,+
OTU181,OTU170,0.631770847005469,undirected,+
OTU195,OTU170,0.906151246515036,undirected,+
OTU199,OTU170,0.909178477850832,undirected,+
OTU242,OTU170,0.630006736603593,undirected,+
OTU168,OTU170,0.909178477850832,undirected,+
OTU240,OTU170,0.663947052161085,undirected,+
OTU249,OTU170,0.800229324929463,undirected,+
OTU124,OTU170,0.909178477850832,undirected,+
OTU189,OTU170,0.688695128893666,undirected,+
OTU549,OTU170,0.603428112935402,undirected,+
OTU366,OTU170,0.783032419665936,undirected,+
OTU173,OTU170,0.781885959315034,undirected,+
OTU588,OTU170,0.902114938067307,undirected,+
OTU334,OTU170,0.709252177298593,undirected,+
OTU190,OTU170,0.728835370669382,undirected,+
