"","KO","Means","SD"
"num.edges(L)","20815","20815","0"
"num.pos.edges","20815","0","0"
"num.neg.edges","0","0","0"
"num.vertices(n)","471","471","0"
"Connectance(edge_density)","0.18805619550978","0.18805619550978","0"
"average.degree(Average K)","88.3864118895966","88.3864118895966","0"
"average.path.length","2.40034889859364","1.8119438948367","9.03464786983221e-07"
"diameter","11.9193326841346","2.01","0.1"
"edge.connectivity","0","63.91","2.7928299249863"
"mean.clustering.coefficient(Average.CC)","0.672582852564527","0.1880688690353","0.000448710535419946"
"no.clusters","5","1","0"
"centralization.degree","0.271518272575326","0.0565608257668157","0.00627427313898889"
"centralization.betweenness","0.154971163711932","0.00119815597755652","0.000161316306845455"
"centralization.closeness","1.35100572389956","0.0355842246652131","0.00409222299016168"
"RM(relative.modularity)","0.791491512721288","0.0104181292353469","0.0810793491517174"
"the.number.of.keystone.nodes","Not.calculated","0","0"
