source,target,correlation,direct,cor
OTU49,OTU30,0.88456498080345,undirected,+
OTU57,OTU30,0.87750781774712,undirected,+
OTU65,OTU30,0.916221397941846,undirected,+
OTU68,OTU30,0.909970767806239,undirected,+
OTU149,OTU30,0.814831281723586,undirected,+
OTU161,OTU30,0.806438923813965,undirected,+
OTU164,OTU30,0.811194544041705,undirected,+
OTU202,OTU30,0.829803716259138,undirected,+
OTU219,OTU30,0.834024152073184,undirected,+
OTU289,OTU30,0.835237420938583,undirected,+
OTU68,OTU65,0.991532258064516,undirected,+
OTU77,OTU65,0.824881544669915,undirected,+
OTU161,OTU65,0.845207292070362,undirected,+
OTU164,OTU65,0.840405755344583,undirected,+
OTU194,OTU65,0.808284864053896,undirected,+
OTU219,OTU65,0.820061481299524,undirected,+
OTU177,OTU65,0.817936944631328,undirected,+
OTU289,OTU65,0.810506704433285,undirected,+
OTU161,OTU68,0.855499931013913,undirected,+
OTU164,OTU68,0.850102744829328,undirected,+
OTU194,OTU68,0.821298758720424,undirected,+
OTU169,OTU68,0.811945021928857,undirected,+
OTU219,OTU68,0.804958308174546,undirected,+
OTU177,OTU68,0.833346763122152,undirected,+
OTU289,OTU68,0.825456229888934,undirected,+
OTU10,OTU5,0.802822580645161,undirected,+
OTU14,OTU5,0.933965122197762,undirected,+
OTU30,OTU5,0.911180567187324,undirected,+
OTU49,OTU5,0.869354838709677,undirected,+
OTU57,OTU5,0.843145161290323,undirected,+
OTU65,OTU5,0.869758064516129,undirected,+
OTU68,OTU5,0.849193548387097,undirected,+
OTU202,OTU5,0.811443375240856,undirected,+
OTU289,OTU5,0.804850127233851,undirected,+
OTU30,OTU14,0.892417826174632,undirected,+
OTU49,OTU14,0.890412344478695,undirected,+
OTU57,OTU14,0.877306184516939,undirected,+
OTU65,OTU14,0.81439661670051,undirected,+
OTU149,OTU14,0.805335355554231,undirected,+
OTU202,OTU14,0.820249030164539,undirected,+
OTU57,OTU49,0.987903225806452,undirected,+
OTU149,OTU49,0.809294580747692,undirected,+
OTU202,OTU49,0.919026602365188,undirected,+
OTU219,OTU49,0.896393734660904,undirected,+
OTU149,OTU57,0.814951157947127,undirected,+
OTU202,OTU57,0.893688467791503,undirected,+
OTU219,OTU57,0.87598404124877,undirected,+
OTU219,OTU202,0.937498189089537,undirected,+
OTU19,OTU10,0.84233870967742,undirected,+
OTU30,OTU10,0.890009078018334,undirected,+
OTU65,OTU10,0.814516129032258,undirected,+
OTU68,OTU10,0.816129032258065,undirected,+
OTU164,OTU161,0.946208774890334,undirected,+
OTU289,OTU161,0.845703162340538,undirected,+
OTU289,OTU164,0.801619433198381,undirected,+
OTU177,OTU169,0.930883160690056,undirected,+
OTU77,OTU72,0.947877815080241,undirected,+
OTU16,OTU11,0.992640392180393,undirected,+
OTU31,OTU11,0.806854838709678,undirected,+
OTU37,OTU11,0.910374034266601,undirected,+
OTU148,OTU11,0.886470084761569,undirected,+
OTU182,OTU11,0.814181785074667,undirected,+
OTU182,OTU148,0.873214212685971,undirected,+
OTU214,OTU148,0.878219524026962,undirected,+
OTU31,OTU16,0.810767218557254,undirected,+
OTU37,OTU16,0.886973180076628,undirected,+
OTU148,OTU16,0.869931400771248,undirected,+
OTU148,OTU37,0.891831771699755,undirected,+
OTU182,OTU37,0.894388738815424,undirected,+
OTU31,OTU22,0.929838709677419,undirected,+
OTU115,OTU53,0.873336093645365,undirected,+
OTU116,OTU53,0.95,undirected,+
OTU135,OTU53,0.884630971530848,undirected,+
OTU146,OTU53,0.8875,undirected,+
OTU196,OTU53,0.88920254509761,undirected,+
OTU135,OTU116,0.869302208686264,undirected,+
OTU146,OTU116,0.893951612903226,undirected,+
OTU196,OTU116,0.859764093491204,undirected,+
OTU296,OTU196,0.811686680545078,undirected,+
OTU116,OTU115,0.908430892789543,undirected,+
OTU146,OTU115,0.837434517509366,undirected,+
OTU196,OTU125,0.88593044902536,undirected,+
OTU523,OTU476,0.841714699055962,undirected,+
OTU367,OTU476,0.80593220338983,undirected,+
OTU431,OTU476,0.81271186440678,undirected,+
OTU400,OTU476,0.803591744867491,undirected,+
OTU476,OTU497,0.843721170329039,undirected,+
OTU523,OTU497,0.998812351543943,undirected,+
OTU431,OTU367,0.839830508474576,undirected,+
OTU431,OTU478,0.843721170329039,undirected,+
OTU33,OTU28,0.989516129032258,undirected,+
OTU83,OTU28,0.873071886683141,undirected,+
OTU86,OTU28,0.826264312345996,undirected,+
OTU405,OTU28,0.855806564222646,undirected,+
OTU83,OTU33,0.883960081112908,undirected,+
OTU86,OTU33,0.838385549201928,undirected,+
OTU405,OTU33,0.88449042605502,undirected,+
OTU86,OTU83,0.97504978070866,undirected,+
OTU106,OTU46,0.820848880066297,undirected,+
OTU177,OTU46,0.806176819993595,undirected,+
OTU46,OTU51,0.92650469268107,undirected,+
OTU120,OTU55,0.862788591943917,undirected,+
OTU121,OTU55,0.840322580645161,undirected,+
OTU121,OTU120,0.921262228696368,undirected,+
OTU55,OTU59,0.812903225806452,undirected,+
OTU134,OTU54,0.800594276521874,undirected,+
OTU98,OTU97,0.95198749911041,undirected,+
OTU54,OTU97,0.815146237924295,undirected,+
OTU54,OTU98,0.830476075697615,undirected,+
OTU195,OTU93,0.821717171717172,undirected,+
OTU370,OTU93,0.82014845667392,undirected,+
OTU390,OTU370,0.865599294976218,undirected,+
OTU93,OTU74,0.936806148016595,undirected,+
OTU195,OTU186,0.957977753498761,undirected,+
OTU102,OTU139,0.811010101010101,undirected,+
OTU101,OTU139,0.83010101010101,undirected,+
OTU101,OTU102,0.925353535353535,undirected,+
OTU139,OTU132,0.921739601613623,undirected,+
OTU359,OTU338,0.961988304093567,undirected,+
OTU338,OTU324,0.85739876499304,undirected,+
OTU359,OTU324,0.831620088955967,undirected,+
OTU338,OTU342,0.822810426114038,undirected,+
OTU633,OTU509,1,undirected,+
OTU693,OTU509,1,undirected,+
OTU739,OTU509,1,undirected,+
OTU693,OTU633,1,undirected,+
OTU739,OTU633,1,undirected,+
OTU739,OTU693,1,undirected,+
OTU228,OTU9,0.821392950985285,undirected,+
OTU9,OTU6,0.843145161290323,undirected,+
OTU69,OTU15,0.958362743049647,undirected,+
OTU100,OTU15,0.921742713154577,undirected,+
OTU100,OTU69,0.923045932317861,undirected,+
OTU32,OTU29,0.987801194656053,undirected,+
OTU180,OTU29,0.911612420193964,undirected,+
OTU180,OTU32,0.915759954751272,undirected,+
OTU156,OTU284,0.830136799368728,undirected,+
OTU578,OTU284,0.802465572723104,undirected,+
OTU156,OTU85,0.802465572723104,undirected,+
OTU578,OTU159,0.801104888119553,undirected,+
OTU60,OTU58,0.989514014922363,undirected,+
OTU256,OTU58,0.825725096489632,undirected,+
OTU426,OTU417,1,undirected,+
OTU643,OTU417,0.802465572723104,undirected,+
OTU643,OTU426,0.802465572723104,undirected,+
OTU237,OTU99,0.823722872648583,undirected,+
OTU277,OTU99,0.834174277870832,undirected,+
OTU277,OTU237,0.906360123081324,undirected,+
OTU294,OTU151,1,undirected,+
OTU608,OTU151,0.830136799368728,undirected,+
OTU608,OTU294,0.830136799368728,undirected,+
OTU174,OTU45,0.816407679567338,undirected,+
OTU45,OTU40,0.863094475578531,undirected,+
OTU260,OTU249,0.835031995911334,undirected,+
OTU249,OTU64,0.822223900060686,undirected,+
OTU314,OTU351,0.835672514619883,undirected,+
OTU314,OTU311,0.815789473684211,undirected,+
OTU361,OTU350,0.878573606373179,undirected,+
OTU480,OTU350,0.849058661382338,undirected,+
OTU569,OTU361,0.805536982319484,undirected,+
OTU498,OTU406,0.812192915496573,undirected,+
OTU406,OTU201,0.807145652340602,undirected,+
OTU498,OTU486,0.82356002010049,undirected,+
OTU408,OTU66,0.809611158686724,undirected,+
OTU408,OTU402,0.91444904128027,undirected,+
OTU600,OTU535,0.802465572723104,undirected,+
OTU600,OTU590,0.998468606431853,undirected,+
OTU2,OTU1,0.981451612903226,undirected,+
OTU13,OTU12,0.997983870967742,undirected,+
OTU7,OTU8,0.9600497245488,undirected,+
OTU20,OTU17,0.991935483870968,undirected,+
OTU282,OTU279,1,undirected,+
OTU39,OTU35,0.901098905678281,undirected,+
OTU286,OTU278,1,undirected,+
OTU52,OTU41,0.921052631578947,undirected,+
OTU36,OTU34,0.93991935483871,undirected,+
OTU43,OTU44,0.970460736860498,undirected,+
OTU70,OTU23,0.826464353748552,undirected,+
OTU78,OTU61,0.9125,undirected,+
OTU111,OTU109,0.948433245188217,undirected,+
OTU233,OTU76,0.832461420590182,undirected,+
OTU81,OTU79,0.944046783706805,undirected,+
OTU92,OTU80,0.95760229175118,undirected,+
OTU94,OTU91,0.971082397312115,undirected,+
OTU133,OTU131,0.96491935483871,undirected,+
OTU124,OTU119,0.943580474894515,undirected,+
OTU141,OTU137,0.938393904410859,undirected,+
OTU801,OTU776,1,undirected,+
OTU114,OTU104,0.936762523969438,undirected,+
OTU170,OTU172,0.928210787934737,undirected,+
OTU138,OTU128,0.884700879071313,undirected,+
OTU152,OTU150,0.898387096774194,undirected,+
OTU192,OTU176,0.869105851981366,undirected,+
OTU142,OTU147,0.902024291497976,undirected,+
OTU209,OTU157,0.898250445473997,undirected,+
OTU175,OTU165,0.887765873427777,undirected,+
OTU136,OTU130,0.897202261300353,undirected,+
OTU236,OTU211,0.894252548340187,undirected,+
OTU220,OTU184,0.831124267149667,undirected,+
OTU212,OTU199,0.966670083105227,undirected,+
OTU166,OTU160,0.847645346104081,undirected,+
OTU218,OTU200,0.885088584654242,undirected,+
OTU315,OTU302,1,undirected,+
OTU231,OTU235,0.912784594376119,undirected,+
OTU240,OTU226,0.852150731677387,undirected,+
OTU262,OTU257,0.879118528027385,undirected,+
OTU305,OTU310,0.847269601086685,undirected,+
OTU283,OTU275,0.845736685996183,undirected,+
OTU376,OTU385,1,undirected,+
OTU242,OTU238,0.88269964598528,undirected,+
OTU217,OTU244,0.857984803850234,undirected,+
OTU392,OTU388,0.829798154979148,undirected,+
OTU356,OTU293,0.912265749393742,undirected,+
OTU326,OTU261,0.946049823440115,undirected,+
OTU450,OTU348,0.829289624077521,undirected,+
OTU287,OTU448,1,undirected,+
OTU269,OTU255,0.999017199017199,undirected,+
OTU495,OTU460,1,undirected,+
OTU430,OTU517,0.826525504103704,undirected,+
OTU364,OTU375,0.909680398556783,undirected,+
OTU48,OTU50,0.802465572723104,undirected,+
OTU687,OTU661,0.906439256994229,undirected,+
OTU333,OTU321,0.830136799368728,undirected,+
OTU461,OTU684,0.83845079658386,undirected,+
OTU264,OTU428,0.86538479720188,undirected,+
OTU621,OTU580,0.820884520884521,undirected,+
OTU682,OTU677,0.802465572723104,undirected,+
