"","KO","Means","SD"
"num.edges(L)","227","227","0"
"num.pos.edges","227","0","0"
"num.neg.edges","0","0","0"
"num.vertices(n)","246","246","0"
"Connectance(edge_density)","0.00753276920524307","0.00753276920524307","0"
"average.degree(Average K)","1.84552845528455","1.84552845528455","0"
"average.path.length","1.6268721198358","7.46033207379495","0.540951390534512"
"diameter","4.32337781705615","18.42","2.50728232284772"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.635103223867269","0.00742289239868649","0.00723703835101667"
"no.clusters","86","48.05","3.83596747439892"
"centralization.degree","0.0455284552845528","0.0193243736518998","0.00334171576114555"
"centralization.betweenness","0.0028295275095174","0.124425893705983","0.035854747318663"
"centralization.closeness","0.323056334477971","NaN",NA
"RM(relative.modularity)","0.218752014855127","-0.00829666978374653","0.053122977821367"
"the.number.of.keystone.nodes","Not.calculated","0","0"
