"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"OTU2",1,1,0,1
"OTU10",5,0.488888888888889,21,5
"OTU14",7,0.488888888888889,8.05952380952381,7
"OTU30",13,0.594594594594595,38.6523809523809,13
"OTU49",7,0.423076923076923,1.2,7
"OTU57",7,0.423076923076923,1.2,7
"OTU65",12,0.647058823529412,86.1047619047619,12
"OTU68",11,0.611111111111111,49.5119047619048,11
"OTU202",6,0.415094339622642,0.366666666666667,6
"OTU289",6,0.488888888888889,0.5,6
"OTU9",2,1,1,2
"OTU228",1,0.666666666666667,0,1
"OTU19",1,0.333333333333333,0,1
"OTU16",4,0.7,3,4
"OTU31",3,0.583333333333333,6,3
"OTU37",4,0.636363636363636,0.333333333333333,4
"OTU148",5,0.7,6.33333333333333,5
"OTU182",3,0.583333333333333,0,3
"OTU69",2,1,0,2
"OTU100",2,1,0,2
"OTU149",4,0.4,0,4
"OTU13",1,1,0,1
"OTU7",1,1,0,1
"OTU33",4,1,1,4
"OTU83",3,0.8,0,3
"OTU86",3,0.8,0,3
"OTU405",2,0.666666666666667,0,2
"OTU20",1,1,0,1
"OTU161",5,0.478260869565217,0,5
"OTU164",5,0.478260869565217,0,5
"OTU219",6,0.488888888888889,8.53571428571429,6
"OTU32",2,1,0,2
"OTU180",2,1,0,2
"OTU98",2,0.75,0,2
"OTU54",3,1,2,3
"OTU282",1,1,0,1
"OTU39",1,1,0,1
"OTU46",3,0.349206349206349,41,3
"OTU106",1,0.261904761904762,0,1
"OTU177",4,0.478260869565217,58.75,4
"OTU286",1,1,0,1
"OTU115",3,0.538461538461538,0,3
"OTU116",5,0.777777777777778,5.5,5
"OTU135",2,0.5,0,2
"OTU146",3,0.538461538461538,0,3
"OTU196",4,0.7,11,4
"OTU156",2,0.571428571428571,3,2
"OTU578",2,0.571428571428571,3,2
"OTU52",1,1,0,1
"OTU36",1,1,0,1
"OTU60",1,0.666666666666667,0,1
"OTU256",1,0.666666666666667,0,1
"OTU249",2,1,1,2
"OTU43",1,1,0,1
"OTU77",2,0.415094339622642,21,2
"OTU194",2,0.415094339622642,0,2
"OTU169",2,0.415094339622642,0,2
"OTU55",3,1,2,3
"OTU120",2,0.75,0,2
"OTU121",2,0.75,0,2
"OTU134",1,0.6,0,1
"OTU426",2,1,0,2
"OTU643",2,1,0,2
"OTU70",1,1,0,1
"OTU237",2,1,0,2
"OTU277",2,1,0,2
"OTU78",1,1,0,1
"OTU93",3,0.714285714285714,8,3
"OTU111",1,1,0,1
"OTU294",2,1,0,2
"OTU608",2,1,0,2
"OTU233",1,1,0,1
"OTU195",2,0.555555555555556,4,2
"OTU370",2,0.555555555555556,4,2
"OTU45",2,1,1,2
"OTU81",1,1,0,1
"OTU174",1,0.666666666666667,0,1
"OTU92",1,1,0,1
"OTU94",1,1,0,1
"OTU133",1,1,0,1
"OTU124",1,1,0,1
"OTU139",3,1,2,3
"OTU102",2,0.75,0,2
