source,target,correlation,direct,cor
OTU389,OTU512,1,undirected,+
OTU493,OTU512,1,undirected,+
OTU499,OTU512,1,undirected,+
OTU287,OTU512,1,undirected,+
OTU681,OTU512,1,undirected,+
OTU251,OTU512,1,undirected,+
OTU534,OTU512,1,undirected,+
OTU449,OTU512,1,undirected,+
OTU294,OTU512,1,undirected,+
OTU636,OTU512,1,undirected,+
OTU720,OTU512,1,undirected,+
OTU551,OTU512,1,undirected,+
OTU779,OTU512,1,undirected,+
OTU760,OTU512,1,undirected,+
OTU598,OTU512,1,undirected,+
OTU634,OTU512,1,undirected,+
OTU669,OTU512,1,undirected,+
OTU382,OTU512,1,undirected,+
OTU619,OTU512,1,undirected,+
OTU751,OTU512,1,undirected,+
OTU493,OTU389,1,undirected,+
OTU499,OTU389,1,undirected,+
OTU287,OTU389,1,undirected,+
OTU681,OTU389,1,undirected,+
OTU251,OTU389,1,undirected,+
OTU534,OTU389,1,undirected,+
OTU449,OTU389,1,undirected,+
OTU294,OTU389,1,undirected,+
OTU636,OTU389,1,undirected,+
OTU720,OTU389,1,undirected,+
OTU551,OTU389,1,undirected,+
OTU779,OTU389,1,undirected,+
OTU760,OTU389,1,undirected,+
OTU598,OTU389,1,undirected,+
OTU634,OTU389,1,undirected,+
OTU669,OTU389,1,undirected,+
OTU382,OTU389,1,undirected,+
OTU619,OTU389,1,undirected,+
OTU751,OTU389,1,undirected,+
OTU499,OTU493,1,undirected,+
OTU287,OTU493,1,undirected,+
OTU681,OTU493,1,undirected,+
OTU251,OTU493,1,undirected,+
OTU534,OTU493,1,undirected,+
OTU449,OTU493,1,undirected,+
OTU294,OTU493,1,undirected,+
OTU636,OTU493,1,undirected,+
OTU720,OTU493,1,undirected,+
OTU551,OTU493,1,undirected,+
OTU779,OTU493,1,undirected,+
OTU760,OTU493,1,undirected,+
OTU598,OTU493,1,undirected,+
OTU634,OTU493,1,undirected,+
OTU669,OTU493,1,undirected,+
OTU382,OTU493,1,undirected,+
OTU619,OTU493,1,undirected,+
OTU751,OTU493,1,undirected,+
OTU287,OTU499,1,undirected,+
OTU681,OTU499,1,undirected,+
OTU251,OTU499,1,undirected,+
OTU534,OTU499,1,undirected,+
OTU449,OTU499,1,undirected,+
OTU294,OTU499,1,undirected,+
OTU636,OTU499,1,undirected,+
OTU720,OTU499,1,undirected,+
OTU551,OTU499,1,undirected,+
OTU779,OTU499,1,undirected,+
OTU760,OTU499,1,undirected,+
OTU598,OTU499,1,undirected,+
OTU634,OTU499,1,undirected,+
OTU669,OTU499,1,undirected,+
OTU382,OTU499,1,undirected,+
OTU619,OTU499,1,undirected,+
OTU751,OTU499,1,undirected,+
OTU681,OTU287,1,undirected,+
OTU251,OTU287,1,undirected,+
OTU534,OTU287,1,undirected,+
OTU449,OTU287,1,undirected,+
OTU294,OTU287,1,undirected,+
OTU636,OTU287,1,undirected,+
OTU720,OTU287,1,undirected,+
OTU551,OTU287,1,undirected,+
OTU779,OTU287,1,undirected,+
OTU760,OTU287,1,undirected,+
OTU598,OTU287,1,undirected,+
OTU634,OTU287,1,undirected,+
OTU669,OTU287,1,undirected,+
OTU382,OTU287,1,undirected,+
OTU619,OTU287,1,undirected,+
OTU751,OTU287,1,undirected,+
OTU251,OTU681,1,undirected,+
OTU534,OTU681,1,undirected,+
OTU449,OTU681,1,undirected,+
OTU294,OTU681,1,undirected,+
OTU636,OTU681,1,undirected,+
OTU720,OTU681,1,undirected,+
OTU551,OTU681,1,undirected,+
OTU779,OTU681,1,undirected,+
OTU760,OTU681,1,undirected,+
OTU598,OTU681,1,undirected,+
OTU634,OTU681,1,undirected,+
OTU669,OTU681,1,undirected,+
OTU382,OTU681,1,undirected,+
OTU619,OTU681,1,undirected,+
OTU751,OTU681,1,undirected,+
OTU534,OTU251,1,undirected,+
OTU449,OTU251,1,undirected,+
OTU294,OTU251,1,undirected,+
OTU636,OTU251,1,undirected,+
OTU720,OTU251,1,undirected,+
OTU551,OTU251,1,undirected,+
OTU779,OTU251,1,undirected,+
OTU760,OTU251,1,undirected,+
OTU598,OTU251,1,undirected,+
OTU634,OTU251,1,undirected,+
OTU669,OTU251,1,undirected,+
OTU382,OTU251,1,undirected,+
OTU619,OTU251,1,undirected,+
OTU751,OTU251,1,undirected,+
OTU449,OTU534,1,undirected,+
OTU294,OTU534,1,undirected,+
OTU636,OTU534,1,undirected,+
OTU720,OTU534,1,undirected,+
OTU551,OTU534,1,undirected,+
OTU779,OTU534,1,undirected,+
OTU760,OTU534,1,undirected,+
OTU598,OTU534,1,undirected,+
OTU634,OTU534,1,undirected,+
OTU669,OTU534,1,undirected,+
OTU382,OTU534,1,undirected,+
OTU619,OTU534,1,undirected,+
OTU751,OTU534,1,undirected,+
OTU294,OTU449,1,undirected,+
OTU636,OTU449,1,undirected,+
OTU720,OTU449,1,undirected,+
OTU551,OTU449,1,undirected,+
OTU779,OTU449,1,undirected,+
OTU760,OTU449,1,undirected,+
OTU598,OTU449,1,undirected,+
OTU634,OTU449,1,undirected,+
OTU669,OTU449,1,undirected,+
OTU382,OTU449,1,undirected,+
OTU619,OTU449,1,undirected,+
OTU751,OTU449,1,undirected,+
OTU636,OTU294,1,undirected,+
OTU720,OTU294,1,undirected,+
OTU551,OTU294,1,undirected,+
OTU779,OTU294,1,undirected,+
OTU760,OTU294,1,undirected,+
OTU598,OTU294,1,undirected,+
OTU634,OTU294,1,undirected,+
OTU669,OTU294,1,undirected,+
