"","KO","Means","SD"
"num.edges(L)","854","854","0"
"num.pos.edges","847","0","0"
"num.neg.edges","7","0","0"
"num.vertices(n)","362","362","0"
"Connectance(edge_density)","0.0130698948592767","0.0130698948592767","0"
"average.degree(Average K)","4.71823204419889","4.71823204419889","0"
"average.path.length","1.23884859527013","3.9511144544249","0.0233791497067745"
"diameter","5.64586333718787","8.09","0.570220584643798"
"edge.connectivity","0","0.04","0.196946385566932"
"mean.clustering.coefficient(Average.CC)","0.797122545700745","0.0138196544777869","0.00398763425416527"
"no.clusters","99","4.15","1.74873691791556"
"centralization.degree","0.0423317671905848","0.0201711023706402","0.00312507520674664"
"centralization.betweenness","0.000404599241701474","0.0329021162313827","0.00615315271636348"
"centralization.closeness","0.260763714751674","NaN",NA
"RM(relative.modularity)","1.27572313439117","0.00762184859314356","0.0525324135445473"
"the.number.of.keystone.nodes","Not.calculated","0","0"
