"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"OTU4",1,1,0,1
"OTU2",9,0.162086371284352,364.091876750701,9
"OTU34",11,0.188642297650131,1639.84901960784,11
"OTU17",9,0.162086371284352,213.914845938376,9
"OTU20",8,0.161723559037493,195.734733893558,8
"OTU36",12,0.190759075907591,2157.96499448265,12
"OTU24",6,0.140359397765906,860,6
"OTU76",10,0.161995515695067,859.252380952381,10
"OTU28",10,0.161904761904762,290.023809523809,10
"OTU136",6,0.187540558079169,598.869892199305,6
"OTU63",1,0.666666666666667,0,1
"OTU145",1,0.666666666666667,0,1
"OTU39",7,0.162542182227222,32.9443977591036,7
"OTU53",10,0.163832199546485,1450.69890077242,10
"OTU143",8,0.189757058437295,2023.63857906801,8
"OTU71",8,0.276819923371648,1.94858816502746,8
"OTU52",71,0.34445768772348,99.2899680285056,71
"OTU74",77,0.353733170134639,274.375958487381,77
"OTU93",60,0.33294930875576,36.3200500991753,60
"OTU135",72,0.346107784431138,179.658120413444,72
"OTU80",75,0.365360303413401,215.946798196292,75
"OTU153",73,0.363979848866499,180.315128575048,73
"OTU94",76,0.365360303413401,249.810362459219,76
"OTU230",73,0.363979848866499,180.315128575048,73
"OTU167",70,0.355473554735547,108.937174892261,70
"OTU232",59,0.31515812431843,65.9144115327499,59
"OTU209",70,0.352009744214373,156.853384035053,70
"OTU186",59,0.316538882803943,261.530521318321,59
"OTU126",71,0.34445768772348,99.2899680285056,71
"OTU155",59,0.31515812431843,65.9144115327499,59
"OTU423",67,0.352009744214373,88.9161001131649,67
"OTU208",8,0.224553224553225,9348.19859519568,8
"OTU37",18,0.289289289289289,280.720784940688,18
"OTU16",2,0.225077881619938,0,2
"OTU69",53,0.303890641430074,141.46967524643,53
"OTU57",66,0.312770562770563,344.048614775412,66
"OTU190",66,0.312770562770563,344.048614775412,66
"OTU100",53,0.303890641430074,141.46967524643,53
"OTU19",1,0.110179184140297,0,1
"OTU64",5,0.141044411908248,1633.39393939395,5
"OTU148",72,0.359006211180124,122.557001520974,72
"OTU49",73,0.34777376654633,129.71646746039,73
"OTU101",88,0.369093231162197,425.338559411492,88
"OTU112",65,0.353300733496333,92.3533938127291,65
"OTU32",9,0.276555023923445,1.76077686730663,9
"OTU170",74,0.366751269035533,1643.89496550211,74
"OTU172",75,0.366751269035533,1765.54135142141,75
"OTU56",2,0.123240938166311,288,2
"OTU82",115,0.396433470507545,250.51329610461,115
"OTU162",115,0.396433470507545,250.51329610461,115
"OTU45",69,0.355911330049261,130.981382552832,69
"OTU213",115,0.396433470507545,250.51329610461,115
"OTU90",72,0.386880856760375,4013.67194318571,72
