"","ME1","ME2","ME3","ME4","ME5","ME6","ME7","ME8","ME9","ME10","ME11","ME12","ME13","ME14","ME15","ME16","ME17","ME18","ME19","ME20","ME21","ME22","ME23","ME24","ME25","ME26","ME27","ME28","ME29","ME30","ME31"
"P02-A10-HLM405",-0.120299851098163,-0.0926884626065383,-0.0412419786661057,-0.0303751171372577,0.0732120409330091,-0.0778587311970566,-0.0356973984184759,-0.0322077989098495,-0.0560354043769993,-0.0673697631019859,-0.0867710891408793,-0.030981956411403,-0.00465405752042579,-0.0540868104006411,0.0194438446159886,-0.0404182976585282,-0.0511663029830028,-0.0251699072133205,-0.0693456560733361,-0.0610304015955445,-0.0342172484790023,-0.0849733851772867,-0.0579157050077525,-0.0414966517642395,-0.0547637845869162,-0.0551826891357738,0.266080827619508,-0.08744390851749,-0.0561603324900554,-0.041963816832401,-0.031750031750048
"P02-A11-HLM413",0.230108702324832,-0.0335093684108394,-0.0274197725284596,-0.0303751171372562,0.0192034487823196,0.0517865541301901,-0.0373334816366719,-0.0322077989098497,-0.0560354043769989,-0.0689359737417041,-0.0867710891408794,-0.030981956411403,-0.0166813879627122,0.0556756814752205,-0.0420455459470623,-0.040418297658528,-0.046454742959461,-0.0397622069403596,-0.085869526260931,-0.0996685545901641,-0.0309338734237441,-0.0849733851772869,0.00710612186480841,-0.0592149719278722,-0.0519277824660866,-0.0551826891357746,-0.146707088163384,-0.0874439085174898,-0.0561603324900555,-0.041963816832401,-0.0317500317500476
"P02-A12-HLM421",0.0317607606598768,0.0644115469053021,-0.0349066626486919,-0.0303751171372562,-0.020930869507641,-0.0453927794791572,-0.0356973984184769,-0.0322077989098494,-0.0359907418993846,-0.0689359737417041,-0.0867710891408793,-0.0309820741118911,0.176504876997942,-0.054086810400642,-0.0420455459470623,-0.0554195972616777,-0.0535983495560303,-0.0251699072133205,-0.0693456560733364,-0.0495058162062918,-0.0322611952545932,-0.0849733851772869,-0.0453097479882492,-0.0631658369120095,-0.0547637845869162,-0.0551826891357746,0.258275143856225,-0.0874439085174897,-0.0561603324900555,-0.041963816832401,-0.0317500317500476
"P02-B10-HLM406",0.0132261525475382,-0.0184791971783164,-0.0274197725284592,-0.0303751171372562,-0.106627645024885,-0.0927043421591136,0.000141594138928134,-0.0322077989098494,-0.0560354043769994,0.064806310166077,-0.0867710891408793,-0.030981956411403,-0.0757801738077304,0.134202126727275,-0.0438488287620334,-0.0404182976585281,-0.0552197139380484,-0.0251699072133205,-0.0693456560733363,-0.162570168764943,-0.0329597856918822,-0.0849733851772869,0.102313861932257,-0.0638908264861907,-0.0547637845869162,-0.0551826891357745,0.698891263064999,-0.0874439085174898,-0.0561603324900555,-0.041963816832401,-0.0317500317500476
"P02-B11-HLM414",-0.12030070359248,-0.0926884626065385,-0.0274197725284592,-0.0303751171372562,-0.102738927451927,-0.105640680896274,-0.0356973984184759,-0.0322077989098494,-0.0560354043769994,-0.0689359737417041,-0.0867710891408793,-0.030981956411403,-0.0757801738077304,-0.054086810400642,-0.0420455459470623,-0.0404182976585281,-0.0544090317470393,-0.0251699072133205,0.103289661151372,-0.0777319525021219,-0.030759225814422,-0.0849733851772869,-0.109987230828168,-0.0636902334806517,-0.0547637845869162,-0.0551826891357745,-0.146707088163384,-0.0874439085174898,-0.0561603324900555,-0.041963816832401,-0.0317500317500476
"P02-B12-HLM422",-0.120299851098163,-0.0926884626065385,-0.0274197725284592,0.984031744526754,-0.108463166871525,-0.109016660745367,-0.0356973984184759,-0.0322077989098494,-0.0493538502177944,-0.0689359737417041,-0.0867710891408793,-0.030981956411403,-0.0757801738077304,-0.054086810400642,-0.0420455459470623,-0.0404182976585281,-0.0552197139380484,-0.0382461337621999,-0.0693456560733363,-0.0725549869847977,-0.0308640143800153,-0.0849733851772869,-0.0893911456868329,-0.0634410020656068,-0.0547637845869162,-0.0551826891357745,-0.146707088163384,-0.0874439085174898,-0.0561603324900555,-0.041963816832401,-0.0317500317500476
"P02-C10-HLM407",-0.120301556086796,-0.0926884626065385,-0.0274197725284592,-0.0303751171372562,-0.270258037495887,0.252233278695019,-0.0356973984184759,-0.0322077989098494,0.646906821642813,0.020486583970103,-0.0867710891408793,-0.030981956411403,-0.0908965229170034,-0.054086810400642,-0.0420455459470623,-0.0404182976585281,-0.0519769851740121,-0.0251699072133205,-0.0693456560733363,-0.233048142830395,-0.0310037324674731,0.5083192892174,0.219193104608292,-0.0631326326408143,-0.045288016177198,-0.0551826891357745,-0.146707088163384,-0.0874439085174898,-0.0561603324900555,-0.041963816832401,-0.0317500317500476
"P02-C11-HLM415",-0.120299851098163,0.0644115469053022,-0.0274197725284592,-0.0303751171372562,-0.288881675841102,0.512879557527254,0.978668294073539,-0.0322077989098494,-0.0560354043769994,0.141402080264378,-0.0867710891408793,-0.030981956411403,0.0309090006232263,0.87671098721308,-0.0420455459470623,-0.0404182976585281,0.545097231552603,-0.0251699072133205,-0.0693456560733363,-0.104402032864177,-0.031073591511202,-0.0849733851772869,0.453220135326437,0.529282899654026,-0.0547637845869162,0.829473470689548,-0.146707088163384,-0.0874439085174898,0.626323427439869,-0.041963816832401,-0.0317500317500476
"P02-C12-HLM423",-0.120299851098163,0.408201113026833,-0.0274197725284592,-0.0303751171372562,0.228495227279972,-0.109016660745367,-0.04224173129126,-0.0205422978622571,-0.0560354043769994,-0.0689359737417041,0.131154044156176,-0.0344662038605312,-0.0757801738077304,-0.0588750873887042,-0.0438488287620334,-0.0404182976585281,-0.0555247801830719,-0.0470583568038793,0.297193678462745,0.425399801025276,-0.030759225814422,-0.0849733851772869,-0.125757719076184,-0.0637973718252841,-0.0547637845869162,-0.0551826891357745,-0.146707088163384,0.34658441793984,-0.0561603324900555,-0.041963816832401,-0.0317500317500476
"P02-D09-HLM400",-0.0489134271790256,0.544393054096221,-0.0274197725284592,-0.0303751171372562,0.324429064539371,-0.109016660745367,-0.0504221473822401,-0.0322077989098494,-0.0560354043769994,-0.0689359737417041,0.203294753994022,-0.030982015261647,-0.0757801738077304,-0.111546134257388,-0.0456521115770045,-0.0704208968648275,-0.05964317449089,-0.0470583568038793,0.438864473656122,0.335810823373268,-0.030759225814422,-0.0849733851772869,-0.125884896336605,-0.0635100641984612,-0.0547637845869162,-0.0551826891357745,0.0392680315457189,0.449329765832918,-0.0561603324900555,-0.041963816832401,-0.0317500317500476
