"","ID","group","degree"
"1","OTU82",24,115
"2","OTU162",24,115
"3","OTU213",24,115
"4","OTU222",24,115
"5","OTU128",24,115
"6","OTU138",24,115
"7","OTU224",24,115
"8","OTU192",24,115
"9","OTU140",24,115
"10","OTU61",24,115
"11","OTU113",24,115
"12","OTU58",24,115
"13","OTU185",24,115
"14","OTU60",24,115
"15","OTU295",24,115
"16","OTU171",24,115
"17","OTU182",24,115
"18","OTU92",24,115
"19","OTU163",24,115
"20","OTU91",24,115
"21","OTU158",24,115
"22","OTU263",24,115
"23","OTU239",24,115
"24","OTU215",24,115
"25","OTU267",24,115
"26","OTU223",24,115
"27","OTU169",24,115
"28","OTU226",24,115
"29","OTU264",24,115
"30","OTU195",24,115
"31","OTU199",24,115
"32","OTU168",24,115
"33","OTU124",24,115
"34","OTU588",24,115
"35","OTU313",24,115
"36","OTU174",24,115
"37","OTU180",24,115
"38","OTU378",24,115
"39","OTU373",24,115
"40","OTU339",24,115
"41","OTU266",24,115
"42","OTU176",25,112
"43","OTU255",25,112
"44","OTU269",25,112
"45","OTU102",25,112
"46","OTU253",25,112
"47","OTU366",25,112
"48","OTU234",25,112
"49","OTU368",25,112
"50","OTU212",25,112
"51","OTU273",25,112
"52","OTU418",25,112
"53","OTU320",25,112
"54","OTU184",25,112
"55","OTU324",25,112
"56","OTU463",25,112
"57","OTU425",25,112
"58","OTU344",25,112
"59","OTU203",25,112
"60","OTU503",25,112
"61","OTU173",25,110
"62","OTU291",25,110
"63","OTU435",25,110
"64","OTU482",25,110
"65","OTU164",25,110
"66","OTU252",25,106
"67","OTU107",25,106
"68","OTU371",24,97
"69","OTU328",24,97
"70","OTU382",24,97
"71","OTU249",24,96
"72","OTU312",24,96
"73","OTU220",24,89
"74","OTU101",24,88
"75","OTU74",24,77
"76","OTU94",24,76
"77","OTU80",24,75
"78","OTU172",24,75
"79","OTU170",24,74
"80","OTU153",24,73
"81","OTU230",24,73
"82","OTU49",24,73
"83","OTU90",24,72
"84","OTU135",24,72
"85","OTU148",24,72
"86","OTU52",24,71
"87","OTU126",24,71
"88","OTU167",24,70
"89","OTU209",24,70
"90","OTU177",24,70
"91","OTU352",24,70
"92","OTU260",24,70
"93","OTU257",24,70
"94","OTU45",24,69
"95","OTU119",24,69
"96","OTU423",24,67
"97","OTU57",24,66
