source,target,correlation,direct,cor
OTU2,OTU1,0.997611953990752,undirected,+
OTU34,OTU1,0.84654417659353,undirected,+
OTU34,OTU2,0.843980820641549,undirected,+
OTU10,OTU5,0.844703352647027,undirected,+
OTU14,OTU5,0.937564665833552,undirected,+
OTU49,OTU5,0.81051211448207,undirected,+
OTU57,OTU5,0.817173559076755,undirected,+
OTU100,OTU5,0.810764657110796,undirected,+
OTU9,OTU6,0.946857685917132,undirected,+
OTU14,OTU10,0.860972452029829,undirected,+
OTU19,OTU10,0.830115123617538,undirected,+
OTU30,OTU10,0.893079566768378,undirected,+
OTU57,OTU10,0.805424100747582,undirected,+
OTU65,OTU10,0.817794273555316,undirected,+
OTU68,OTU10,0.805283063570226,undirected,+
OTU72,OTU10,0.824719918195825,undirected,+
OTU77,OTU10,0.807364577011071,undirected,+
OTU16,OTU11,0.99031931988882,undirected,+
OTU148,OTU11,0.904579035950205,undirected,+
OTU69,OTU15,0.939582470872639,undirected,+
OTU100,OTU15,0.948475742694737,undirected,+
OTU30,OTU14,0.838411400672517,undirected,+
OTU148,OTU16,0.863489750297236,undirected,+
OTU13,OTU12,0.997824727612436,undirected,+
OTU7,OTU8,0.997634414921464,undirected,+
OTU89,OTU8,0.871517510511208,undirected,+
OTU151,OTU8,0.878106405021405,undirected,+
OTU643,OTU8,0.933889007076006,undirected,+
OTU181,OTU8,0.826409353391776,undirected,+
OTU201,OTU8,0.855965315747594,undirected,+
OTU308,OTU8,0.879445067503617,undirected,+
OTU313,OTU8,0.849529331871018,undirected,+
OTU327,OTU8,0.864426724022003,undirected,+
OTU346,OTU8,0.893524886001492,undirected,+
OTU509,OTU8,0.878108693586272,undirected,+
OTU348,OTU8,0.842294682056813,undirected,+
OTU448,OTU8,0.884135596178848,undirected,+
OTU377,OTU8,0.871809382336292,undirected,+
OTU387,OTU8,0.86817514487839,undirected,+
OTU272,OTU8,0.823156198919902,undirected,+
OTU548,OTU8,0.877360507197305,undirected,+
OTU343,OTU8,0.83226596135706,undirected,+
OTU345,OTU8,0.869910038676244,undirected,+
OTU478,OTU8,0.861854742511653,undirected,+
OTU340,OTU8,0.847083592272591,undirected,+
OTU419,OTU8,0.836063186806876,undirected,+
OTU466,OTU8,0.874716104742377,undirected,+
OTU450,OTU8,0.861512165139768,undirected,+
OTU633,OTU8,0.878108693586272,undirected,+
OTU401,OTU8,0.809756864934573,undirected,+
OTU693,OTU8,0.878108693586272,undirected,+
OTU469,OTU8,0.878390867810858,undirected,+
OTU699,OTU8,0.868257424156569,undirected,+
OTU482,OTU8,0.86957670212353,undirected,+
OTU294,OTU8,0.877078085911014,undirected,+
OTU606,OTU8,0.837306396793584,undirected,+
OTU608,OTU8,0.847778193937267,undirected,+
OTU570,OTU8,0.872247996695543,undirected,+
OTU739,OTU8,0.878108693586272,undirected,+
OTU287,OTU8,0.933474515648005,undirected,+
OTU636,OTU8,0.964515247292786,undirected,+
OTU568,OTU8,0.875085705040635,undirected,+
OTU89,OTU7,0.836172787599073,undirected,+
OTU151,OTU7,0.843159744185797,undirected,+
OTU643,OTU7,0.919619006215944,undirected,+
OTU201,OTU7,0.820661247559868,undirected,+
OTU308,OTU7,0.844781172770883,undirected,+
OTU313,OTU7,0.813869400422179,undirected,+
OTU327,OTU7,0.829365458403629,undirected,+
OTU346,OTU7,0.861305809643399,undirected,+
OTU509,OTU7,0.843161474478284,undirected,+
OTU348,OTU7,0.80787183560989,undirected,+
OTU448,OTU7,0.849944166349732,undirected,+
OTU377,OTU7,0.83652560515902,undirected,+
OTU387,OTU7,0.832916759134224,undirected,+
OTU548,OTU7,0.842365453570926,undirected,+
OTU345,OTU7,0.83447222087596,undirected,+
OTU478,OTU7,0.826993927635298,undirected,+
OTU340,OTU7,0.812049736729315,undirected,+
OTU419,OTU7,0.801028985835158,undirected,+
OTU466,OTU7,0.839616848339831,undirected,+
OTU450,OTU7,0.826742193221595,undirected,+
OTU633,OTU7,0.843161474478284,undirected,+
OTU693,OTU7,0.843161474478284,undirected,+
OTU469,OTU7,0.843698471707974,undirected,+
OTU699,OTU7,0.83401145984857,undirected,+
OTU482,OTU7,0.834797740153782,undirected,+
OTU294,OTU7,0.842177331435229,undirected,+
OTU606,OTU7,0.802672388620157,undirected,+
OTU608,OTU7,0.813794097777818,undirected,+
OTU570,OTU7,0.837119686745157,undirected,+
OTU739,OTU7,0.843161474478284,undirected,+
OTU287,OTU7,0.906629312743319,undirected,+
OTU636,OTU7,0.956343247544877,undirected,+
OTU568,OTU7,0.840076670701019,undirected,+
OTU33,OTU28,0.990759220715495,undirected,+
OTU20,OTU17,0.998223418215734,undirected,+
OTU354,OTU17,0.821231793183499,undirected,+
OTU351,OTU17,0.812276545524239,undirected,+
OTU397,OTU17,0.838730023345194,undirected,+
OTU421,OTU17,0.863366613828143,undirected,+
OTU354,OTU20,0.833691707067465,undirected,+
OTU351,OTU20,0.82567154077307,undirected,+
OTU397,OTU20,0.850866591159134,undirected,+
OTU421,OTU20,0.858336022462927,undirected,+
OTU416,OTU20,0.808604323212687,undirected,+
OTU110,OTU33,0.803003903480484,undirected,+
OTU405,OTU33,0.820350047916733,undirected,+
OTU31,OTU22,0.9126941386962,undirected,+
OTU45,OTU22,0.830366648065178,undirected,+
