"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"OTU2",2,0.270142180094787,0,2
"OTU34",5,0.365384615384615,164,5
"OTU10",9,0.191956124314442,695.920239443399,9
"OTU14",3,0.162916989914663,6.08888888888889,3
"OTU49",9,0.229759299781182,554.411973631677,9
"OTU57",11,0.231023102310231,1325.97801539759,11
"OTU100",3,0.16030534351145,416,3
"OTU9",1,1,0,1
"OTU19",1,0.161166538756715,0,1
"OTU30",8,0.192131747483989,122.824347575373,8
"OTU65",10,0.226537216828479,1640.28089499249,10
"OTU68",8,0.22508038585209,412.749097683946,8
"OTU72",2,0.161290322580645,0,2
"OTU77",2,0.161290322580645,0,2
"OTU16",2,0.625,0,2
"OTU148",5,1,8,5
"OTU69",2,0.138339920948617,0,2
"OTU13",1,1,0,1
"OTU7",34,0.223880597014925,0,34
"OTU89",48,0.273794002607562,92.3949659407241,48
"OTU151",46,0.273081924577373,62.6246354248545,46
"OTU643",38,0.228013029315961,0.341784989858012,38
"OTU181",42,0.241379310344828,6.81329514569327,42
"OTU201",48,0.274869109947644,75.3827608585835,48
"OTU308",48,0.274869109947644,75.3827608585835,48
"OTU313",48,0.244186046511628,26.6272290798969,48
"OTU327",48,0.274869109947644,75.3827608585835,48
"OTU346",47,0.274509803921569,68.6120413805647,47
"OTU509",46,0.273081924577373,62.6246354248545,46
"OTU348",48,0.274869109947644,75.3827608585835,48
"OTU448",46,0.273081924577373,62.6246354248545,46
"OTU377",48,0.274869109947644,75.3827608585835,48
"OTU387",48,0.274869109947644,75.3827608585835,48
"OTU272",48,0.273794002607562,109.939576682958,48
"OTU548",46,0.273081924577373,62.6246354248545,46
"OTU343",47,0.24390243902439,23.5191888657308,47
"OTU345",48,0.274869109947644,75.3827608585835,48
"OTU478",48,0.274869109947644,75.3827608585835,48
"OTU340",48,0.244186046511628,26.6272290798969,48
"OTU419",45,0.241935483870968,18.0643630646036,45
"OTU466",48,0.273794002607562,92.3949659407241,48
