source,target,correlation,direct,cor
OTU2,OTU1,0.996363513880454,undirected,+
OTU16,OTU11,0.928647983937225,undirected,+
OTU29,OTU11,0.964823545627293,undirected,+
OTU32,OTU11,0.973529016512345,undirected,+
OTU22,OTU11,0.982609741530163,undirected,+
OTU31,OTU11,0.963458328655741,undirected,+
OTU82,OTU11,0.950294690084506,undirected,+
OTU253,OTU11,0.917660101142926,undirected,+
OTU148,OTU11,0.903475776099528,undirected,+
OTU264,OTU11,0.917660101142926,undirected,+
OTU153,OTU11,0.91628848872045,undirected,+
OTU74,OTU11,0.894947552229312,undirected,+
OTU182,OTU11,0.915883904220058,undirected,+
OTU71,OTU11,0.899285582566419,undirected,+
OTU213,OTU11,0.917660101142926,undirected,+
OTU168,OTU11,0.917584507419919,undirected,+
OTU222,OTU11,0.917660101142926,undirected,+
OTU239,OTU11,0.91198493666327,undirected,+
OTU267,OTU11,0.919099642622332,undirected,+
OTU140,OTU11,0.994298619723185,undirected,+
OTU215,OTU11,0.907657070746213,undirected,+
OTU199,OTU11,0.913737069897501,undirected,+
OTU212,OTU11,0.91479198791901,undirected,+
OTU214,OTU11,0.84758014383209,undirected,+
OTU230,OTU11,0.910624255275354,undirected,+
OTU162,OTU11,0.986558128751286,undirected,+
OTU197,OTU11,0.994529070240365,undirected,+
OTU383,OTU11,0.875667565405586,undirected,+
OTU430,OTU11,0.910761027374719,undirected,+
OTU401,OTU11,0.917548353259712,undirected,+
OTU210,OTU11,0.915954350440195,undirected,+
OTU66,OTU11,0.917660101142926,undirected,+
OTU419,OTU11,0.917660101142926,undirected,+
OTU90,OTU11,0.938236273798362,undirected,+
OTU525,OTU11,0.917660101142926,undirected,+
OTU216,OTU11,0.917660101142926,undirected,+
OTU538,OTU11,0.917660101142926,undirected,+
OTU224,OTU11,0.839782233752179,undirected,+
OTU354,OTU11,0.889640273152093,undirected,+
OTU307,OTU11,0.908561467159738,undirected,+
OTU266,OTU11,0.913857395474251,undirected,+
OTU517,OTU11,0.919926307700394,undirected,+
OTU336,OTU11,0.917660101142926,undirected,+
OTU465,OTU11,0.917660101142926,undirected,+
OTU421,OTU11,0.910608336593561,undirected,+
OTU458,OTU11,0.917660101142926,undirected,+
OTU435,OTU11,0.917660101142926,undirected,+
OTU184,OTU11,0.872472183858815,undirected,+
OTU395,OTU11,0.981396880368256,undirected,+
OTU556,OTU11,0.917660101142926,undirected,+
OTU735,OTU11,0.858654608057958,undirected,+
OTU463,OTU11,0.888997379489259,undirected,+
OTU574,OTU11,0.917660101142926,undirected,+
OTU659,OTU11,0.841984983090858,undirected,+
OTU295,OTU11,0.912393465033215,undirected,+
OTU536,OTU11,0.917660101142926,undirected,+
OTU357,OTU11,0.868573574299102,undirected,+
OTU666,OTU11,0.917660101142926,undirected,+
OTU461,OTU11,0.917660101142926,undirected,+
OTU425,OTU11,0.917660101142926,undirected,+
OTU631,OTU11,0.917660101142926,undirected,+
OTU5,OTU6,0.885059202123714,undirected,+
OTU9,OTU6,0.978548276419691,undirected,+
OTU14,OTU6,0.972838798335613,undirected,+
OTU61,OTU6,0.895093744391206,undirected,+
OTU80,OTU6,0.842652523713627,undirected,+
OTU92,OTU6,0.856259600192083,undirected,+
OTU78,OTU6,0.923862364687203,undirected,+
OTU65,OTU6,0.869653576503361,undirected,+
OTU68,OTU6,0.879745079040004,undirected,+
OTU271,OTU6,0.889854828287871,undirected,+
OTU309,OTU6,0.881185721582281,undirected,+
OTU325,OTU6,0.854418693470172,undirected,+
OTU406,OTU6,0.954373420277109,undirected,+
OTU446,OTU6,0.868413758267668,undirected,+
OTU203,OTU6,0.942937581008271,undirected,+
OTU692,OTU6,0.84101566612219,undirected,+
OTU404,OTU6,0.886977244040713,undirected,+
OTU587,OTU6,0.876178278755547,undirected,+
OTU489,OTU6,0.838895005456925,undirected,+
OTU8,OTU7,0.99999996679994,undirected,+
OTU79,OTU7,0.946182881963597,undirected,+
OTU81,OTU7,0.948485128951818,undirected,+
OTU217,OTU7,0.999999480073794,undirected,+
OTU70,OTU7,0.999940062375903,undirected,+
OTU221,OTU7,0.999997166074586,undirected,+
OTU109,OTU7,0.971814620299849,undirected,+
OTU111,OTU7,0.985598603991932,undirected,+
OTU103,OTU7,0.999948081376095,undirected,+
OTU198,OTU7,0.938743960195727,undirected,+
OTU120,OTU7,0.987960100084421,undirected,+
OTU167,OTU7,0.9506063079069,undirected,+
OTU121,OTU7,0.991173529707063,undirected,+
OTU105,OTU7,0.960662790300212,undirected,+
OTU157,OTU7,0.985637663583828,undirected,+
OTU201,OTU7,0.982756227916428,undirected,+
OTU248,OTU7,0.992753170663159,undirected,+
OTU292,OTU7,0.961513421101272,undirected,+
OTU54,OTU7,0.999354520358297,undirected,+
OTU209,OTU7,0.988568370733016,undirected,+
OTU290,OTU7,0.996666262139926,undirected,+
OTU119,OTU7,0.910750151404609,undirected,+
