"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"OTU4",1,1,0,1
"OTU2",1,1,0,1
"OTU27",3,1,0,3
"OTU95",3,1,0,3
"OTU96",3,1,0,3
"OTU42",17,0.278358809332261,307.569045083572,17
"OTU254",29,0.327962085308057,810.781138260564,29
"OTU343",4,0.218434343434343,345,4
"OTU272",85,0.327341532639546,258.208071499511,85
"OTU173",89,0.344621513944223,322.490236464055,89
"OTU588",11,0.257824143070045,304.478326546152,11
"OTU273",47,0.335596508244423,262.382797047632,47
"OTU291",63,0.315981735159817,123.284631618135,63
"OTU401",54,0.311151079136691,658.675596762394,54
"OTU435",55,0.312556458897922,85.7497921231476,55
"OTU482",51,0.313974591651543,93.7926031431729,51
"OTU164",84,0.32703213610586,250.175850642437,84
"OTU523",17,0.278358809332261,307.569045083572,17
"OTU372",30,0.303242769500438,212.171081626358,30
"OTU342",44,0.301919720767888,44.4008593188106,44
"OTU572",5,0.239115411195577,345,5
"OTU503",78,0.353783231083845,1140.07944732281,78
"OTU21",2,1,0,2
"OTU141",2,1,0,2
"OTU50",5,1,0,5
"OTU589",5,1,0,5
"OTU592",5,1,0,5
"OTU597",5,1,0,5
"OTU678",5,1,0,5
"OTU63",3,1,0,3
"OTU144",3,1,0,3
"OTU145",3,1,0,3
"OTU39",11,0.264728385615914,323.937714393301,11
"OTU34",16,0.242636746143057,1014.39499449205,16
"OTU76",11,0.257057949479941,225.981670711062,11
"OTU89",15,0.295221843003413,4951.08716408435,15
"OTU133",9,0.304845814977974,830.687435679983,9
"OTU122",10,0.256867112100965,205.717336232414,10
"OTU233",8,0.235534377127297,37.2376069405329,8
"OTU104",14,0.241451500348918,4188.90910635334,14
"OTU207",8,0.296740994854202,2950.66426542317,8
"OTU391",5,0.229747675962815,0,5
"OTU36",14,0.242296918767507,933.962739878582,14
"OTU11",63,0.332692307692308,130.766119757442,63
"OTU37",56,0.321561338289963,53.536682087887,56
"OTU71",65,0.344965104685942,280.308366092426,65
"OTU52",50,0.312274368231047,18.0645715013944,50
"OTU29",61,0.326107445805844,115.077452897332,61
"OTU74",76,0.383592017738359,726.374212352167,76
"OTU13",69,0.361169102296451,397.114913029054,69
"OTU12",76,0.373247033441208,610.217787742191,76
"OTU5",66,0.348088531187123,329.821016364987,66
"OTU16",72,0.385300668151448,713.16028304759,72
"OTU136",48,0.329523809523809,1583.18509538005,48
"OTU30",41,0.294718909710392,6.18536368760455,41
"OTU130",57,0.343253968253968,3500.3178114074,57
"OTU32",70,0.364594309799789,436.014378115,70
"OTU14",57,0.325187969924812,175.536387018888,57
"OTU15",74,0.37980241492865,731.740056118147,74
"OTU162",48,0.308928571428571,13.6757226233928,48
"OTU140",68,0.347738693467337,237.029466419534,68
"OTU135",61,0.332372718539865,182.871045549981,61
"OTU61",74,0.367303609341826,438.766426848108,74
"OTU214",57,0.325187969924812,61.9953577306263,57
"OTU58",62,0.342235410484669,211.246906864482,62
"OTU185",58,0.319778188539741,85.5976665250112,58
"OTU60",47,0.307009760425909,10.2530737892026,47
"OTU150",61,0.327651515151515,103.472880559058,61
"OTU171",61,0.326107445805844,115.077452897332,61
"OTU69",74,0.38232044198895,636.592474060515,74
"OTU152",52,0.314259763851044,24.2007866746033,52
"OTU125",49,0.319188191881919,136.82823585009,49
"OTU57",61,0.327962085308057,260.770899014492,61
"OTU263",69,0.360041623309053,419.910371086029,69
"OTU49",71,0.36965811965812,924.56405433711,71
"OTU196",57,0.327341532639546,129.389310444497,57
"OTU177",53,0.320964749536178,42.3189926476115,53
"OTU193",45,0.303508771929825,8.17787083880565,45
