"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC"
"?",0,0,0,0,2,253,0,0,141,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,21,0,0,94,109,0,0,9,23,8,0,0,36,4,1,209,2,3,107,287,44,40,8,37,1,9,37,9,1,26,10,8,223,0,13,9,1,0,2,105,114,38,10,5,1,0,0
"Actinobacteria",911,2890,918,4126,634,1937,681,3566,609,5510,2652,1596,1031,5219,1723,1434,3036,5714,1671,895,5555,1925,1190,7319,682,3533,763,2366,1862,802,1688,2617,48282,34576,39781,349,3579,8113,7366,3798,1336,15964,3519,53114,46996,27160,19496,96340,68390,14903,27446,1679,13901,19849,10776,49359,693,72518,238053,21658,52567,1221,1766,1175,17800,42665,15938,13018,6636,33665,125,7
"Alphaproteobacteria",608,10,47,0,4283,22,5,7,203,76,2,0,12,14,2,0,1,1,1,7,0,17,0,5,0,1064,0,0,2535,220,233,1,3,7,2,56,0,6,0,1,51023,0,0,0,1,1,1,6,6,0,12,9,3,0,4,1,33,2,1,4,3,2378,470,16,2,1,1,8,4,3,0,68
"Anaerolineae",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Bacilli",18130,12769,28008,15803,29566,72762,25077,29767,16391,29304,10120,11995,10597,29746,25110,33199,30809,16286,2263,12190,22682,8706,14348,42376,14131,12686,14284,19234,17255,16704,33254,4499,805,27319,1305,782,25029,57816,14966,11332,1068,2666,8914,2,5,1700,141,42,5,143504,4,11,577,56439,6427,1598,28351,7,729,11684,2370,28357,17319,21213,9,658,1679,48,631,3002,65232,0
"Bacteroidia",10490,10262,4577,12179,70,9066,16660,9972,1087,18139,15122,7255,6550,17838,3859,30997,29114,20186,2241,651,6228,8266,6570,5718,18163,7467,9959,14614,1641,5954,2754,8565,102,15,1,384,4134,13426,3,1,0,0,7132,0,0,1,60,8,1,1,3,1,0,0,3056,2408,1883,0,3,9,736,3915,14800,11981,0,0,0,0,0,6,1,0
"Campylobacteria",69,36,5,43,4,52,27,25,70,127,341,71,30,80,56,29,177,296,5,2,15,52,3,68,33,42,64,95,28,13,6,171,0,0,0,3,10,66,0,0,1,0,58,0,0,2,4,0,0,0,0,1,0,0,38,43,3,0,0,0,9,47,51,36,0,0,0,0,0,0,0,0
"Chlamydiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Clostridia",1862,93,528,456,83,488,494,189,938,1410,3850,281,370,665,497,60,5584,2336,705,238,23,1862,327,809,334,2576,388,297,6875,262,1180,1062,33,242,7,280,75,498,302,13,1,539,939,1,0,414,7,2,0,3,0,18,8,15,771,196,6,2,13,455,253,639,1058,353,0,24,2,320,60,451,4,0
"Coriobacteriia",150,10,281,86,27,94,477,1267,471,301,223,36,58,69,12,55,600,89,76,28,20,275,5,338,155,979,64,345,929,118,238,40,8,31,4,49,12,89,16,3,7,126,40,0,1,128,1,0,0,0,0,0,0,0,99,12,1,0,41,37,24,72,436,25,0,6,3,9,0,44,1,1
"Cyanobacteriia",0,0,0,0,0,0,1,0,7,0,0,0,1,0,0,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,3,0,0,0,0
"Desulfovibrionia",0,7,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacteriia",2527,6224,939,5639,316,6411,9903,655,2185,3129,17968,4033,8477,9668,8258,1759,4570,9290,2293,857,5323,2123,2985,2627,835,2098,3644,3380,364,2194,920,4108,147,361,147,93,2755,7177,910,21,29,650,1724,3,0,226,65,0,0,9,0,2,30,52,815,659,220,0,45,545,288,1970,3803,2987,0,56,14,540,9,54,18,0
"Gammaproteobacteria",1600,31383,217,1496,25695,30344,73,5768,47678,1331,536,3813,5426,9451,2428,13208,54,4460,111,724,7081,430,12125,1141,942,314,7732,2001,68429,6386,2722,950,119,8,19,3186,16533,5358,56,12,1,5,4274,6,7,15,16,17,12,5,16,24,3,0,2165,1848,13242,17,4,10,455,6110,6190,4328,20,18,6,14,11,19,1,32
