"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC"
"?",1772,4640,918,1445,455,3156,896,1817,871,2446,1620,1132,2327,3438,2813,1729,3279,5287,1751,846,5174,1515,1154,942,1210,1659,920,1802,2809,982,809,1408,169,261,162,105,1928,2401,771,18,25152,379,543,108,288,531,57,20,39,14,19,48,52,61,508,273,92,227,41,756,272,1103,2269,2176,108,205,784,169,40,270,22,17
"[Eubacterium] brachy group",0,1,0,1,0,8,2,0,47,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,3,6,0,2,183,1,3,0,4,0,2,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,5,15,0,0,0,1,22,2,3,3,0,0,0,0,10,15,0,0
"[Eubacterium] nodatum group",31,2,14,38,5,22,0,36,20,92,52,103,52,39,17,8,1113,105,8,9,6,64,6,23,90,159,69,23,280,38,34,92,0,20,2,68,4,25,0,0,0,10,58,1,0,51,1,0,0,1,0,6,1,0,95,13,0,2,0,36,23,49,63,61,0,3,0,17,5,33,0,0
"[Eubacterium] saphenum group",0,2,6,0,0,10,0,0,0,0,0,0,0,2,6,0,8,0,0,0,0,1,0,0,0,0,0,22,2547,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,13,5,0,0,0,0,2,0,0,0
"[Eubacterium] yurii group",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Abiotrophia",11,7,5,1,0,286,1,17,138,10,1,12,6,13,3,11,8,25,1,11,7,6,2,138,3,71,6,1,6,0,12,3,9,13,3,0,8,19,0,1,0,4,36,0,0,0,0,0,0,0,0,1,1,2,43,19,74,0,1,56,27,60,19,6,0,2,0,0,0,0,1,0
"Acholeplasma",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,1,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Acinetobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,2,0,0,0,0,0,0,0,3,4,1,1,1,0,0,5,0,0,1,1,1,0,0,0,0,7,1,0,2,0,1,0,0
"Actinobacillus",0,34,0,5,6,815,0,57,6,8,0,26,1,3,0,2,0,0,0,0,0,0,8,0,14,0,39,195,0,53,4,2,0,0,0,0,160,39,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,125,21,2,0,0,0,5,133,12,52,0,0,0,0,0,2,0,0
"Actinomyces",497,156,341,3399,50,128,325,2843,286,4497,2441,701,473,1945,70,246,2597,1513,1075,94,253,1309,190,6106,292,3148,241,1395,947,302,1394,1665,24,43,28,261,1746,7272,127,1,47,507,80,1,0,126,4,2,0,1,0,0,6,11,53,4,55,0,31,106,11,679,546,341,0,3,0,1,1,35,8,0
