"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC"
"?",0,0,0,0,3.29109758104328e-05,0.00205402157940458,0,0,0.00196842149348746,0,0,0,0,0,0,0,0,0,0,0.000438678949677258,0,0,0,1.55397740516853e-05,0,0.000629892918203905,0,0,0.000901782459371822,0.00301346382461088,0,0,0.000181035523192662,0.000366592285623207,0.000193826622086544,0,0,0.000361907251213897,0.00016246953696182,6.58241179568194e-05,0.00389090570604114,9.534706331045e-05,0.000106700810926163,0.00201003137151767,0.0060673967274111,0.00146106591399635,0.00200320512820513,8.29617339002385e-05,0.000540524747268159,6.31189603044859e-06,0.000327248927350738,0.0207166853303471,0.000619195046439629,1.30948327789854e-05,0.00102100922835264,0.00017648512230419,0.000179163307354654,0.00306449174785967,0,0.000375885499494,0.000157919671527083,2.16651862122755e-05,0,4.31573950196366e-05,0.00585414808206958,0.00261581882012804,0.00214060387561965,0.000711490572749911,0.000674946004319654,2.67143963882136e-05,0,0
"Actinobacteria",0.0230942783988643,0.0440515204633793,0.0245303690243968,0.0915667998224589,0.0104327793319072,0.0157258490091173,0.0114152572204435,0.0669595914075409,0.00850190559953093,0.0844509157789869,0.0470212765957447,0.048015884954421,0.0284948316842629,0.0669729362095294,0.0388439254232703,0.0161726891324942,0.0356576582925196,0.0887418658466508,0.153007966303452,0.0560882371373065,0.114713474445018,0.0714259211160996,0.0308098591549296,0.113735606284285,0.0145279481935924,0.10597198476259,0.018730361351139,0.0490240769135137,0.0178629674398972,0.0221724585994305,0.0379112857944975,0.103701061974956,0.971195236754234,0.55109977685687,0.963827106653099,0.0651970857463105,0.0663490415631604,0.0815598202527319,0.299187652315191,0.25,0.0248720096807223,0.761060259344012,0.125160051216389,0.997764544549434,0.993530928924781,0.901876141457745,0.97636217948718,0.999066680493622,0.999094255828902,0.0940661865417753,0.99796378445204,0.940089585666293,0.956381148950808,0.259919335830081,0.423169055566464,0.87111291518125,0.0155200214995969,0.996550729019225,0.995941813130954,0.626225242157004,0.922373708129354,0.0264531923651884,0.0321757825310644,0.0253549695740365,0.992417484388938,0.97898166632248,0.89781433077963,0.926218427605834,0.895788336933045,0.899340154409211,0.00191184117952953,0.0636363636363636
"Alphaproteobacteria",0.0154130859127437,0.000152427406447679,0.0012559121395933,0,0.0704788546980418,0.000178610572122137,8.38124612367367e-05,0.000131440588853838,0.00283396853317698,0.0011648402176412,3.54609929078014e-05,0,0.000331656624841081,0.000179655318439052,4.50887120409406e-05,0,1.17449467366665e-05,1.55306030533166e-05,9.15667063455728e-05,0.000438678949677258,0,0.000630774368298022,0,7.76988702584264e-05,0,0.0319145745223312,0,0,0.0243193461117827,0.0060822205634348,0.00523301516002246,3.96259312093834e-05,6.0345174397554e-05,0.000111571565189672,4.84566555216359e-05,0.0104614235008406,0,6.03178752023162e-05,0,6.58241179568194e-05,0.949883645164293,0,0,0,2.11407551477739e-05,3.3206043499917e-05,5.00801282051282e-05,6.22213004251789e-05,8.76526617191609e-05,0,0.000436331903134318,0.00503919372900336,0.000206398348813209,0,0.000157078342823483,1.7648512230419e-05,0.000739048642837947,2.74842309225082e-05,4.18369780314028e-06,0.000115657076767385,5.26398905090277e-05,0.0515198128127911,0.00856320373137048,0.000345259160157093,0.000111507582515611,2.29457791239302e-05,5.63316809373592e-05,0.000569192458199929,0.000539956803455724,8.01431891646408e-05,0,0.618181818181818
"Anaerolineae",0,0,0,0,0,8.11866236918805e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59343041884917e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15786975098183e-05,0,0,0,0,0,0,0,0
"Bacilli",0.459604025654676,0.194634555293042,0.748416749058066,0.350710164225477,0.486522955405628,0.590730111306861,0.420353018086729,0.558941715487457,0.228825508508886,0.449137864970496,0.179432624113475,0.36087126568188,0.292880437786745,0.381716221592003,0.566088779674009,0.374419181666441,0.36185006400996,0.252931401326313,0.207215456460031,0.763928056652253,0.468394424367579,0.323030685317799,0.371478873239437,0.658513465214216,0.301018234492161,0.380515312396893,0.350648075412412,0.398533007334963,0.165534641877242,0.46180641950734,0.746861313868613,0.178277064511016,0.016192621796677,0.435431941345234,0.0316179677278674,0.146086306743882,0.463998368618145,0.581223045449519,0.607879772542648,0.745918904686677,0.0198827143256074,0.12709763539283,0.317043676198606,3.75706798414517e-05,0.000105703775738869,0.0564502739498589,0.00706129807692308,0.000435549102976252,7.30438847659674e-05,0.905782327953494,0.000145443967711439,0.00615901455767077,0.0396972824217406,0.739059267213158,0.252385627331632,0.0282023225442095,0.634932365851474,9.61948082287787e-05,0.00304991569848927,0.337834321237531,0.0415855135021319,0.614359685421496,0.315544947709799,0.457748910275776,0.00050178412132025,0.015098322663546,0.094580892293826,0.00341515474919957,0.0851781857451404,0.0801966179574173,0.997705790584565,0
"Bacteroidia",0.265926432935331,0.156421004496608,0.122304465168479,0.270284065690191,0.00115188415336515,0.0736037930390589,0.279263120840807,0.187246507435782,0.0151749940668146,0.278013640892022,0.268120567375887,0.218267697584163,0.18102924105909,0.228906540736843,0.0869986698829948,0.349584968647088,0.34194237929131,0.313500753234248,0.205200988920429,0.040797142319985,0.128611254517295,0.306704760491262,0.170101491300746,0.0888564280275365,0.386907805044308,0.223971924772789,0.244476630007855,0.302805519870706,0.0157428193173315,0.164607005612231,0.0618528916339135,0.339396100808369,0.00205173592951684,0.000239081925406439,2.42283277608179e-05,0.0717354754343359,0.0766378703051426,0.134971298744383,0.000121852152721365,6.58241179568194e-05,0,0,0.253663394508465,0,0,3.3206043499917e-05,0.00300480769230769,8.29617339002385e-05,1.46087769531935e-05,6.31189603044859e-06,0.000109082975783579,0.000559910414333707,0,0,0.120007853917141,0.0424976174508489,0.0421705634686016,0,1.25510934094209e-05,0.000260228422726616,0.0129143198048815,0.0848192040210586,0.269649819626134,0.258534374865133,0,0,0,0,0,0.000160286378329282,1.52947294362363e-05,0
"Campylobacteria",0.0017491824473344,0.000548738663211645,0.000133607674424819,0.000954283177984909,6.58219516208656e-05,0.000422170443197779,0.000452587290678378,0.000469430674477993,0.000977230528681716,0.00194650931105832,0.00604609929078014,0.00213604500737086,0.000829141562102703,0.00102660181965173,0.00126248393714634,0.000327062750936076,0.00207885557238998,0.0045970585037817,0.000457833531727864,0.000125336842764931,0.000309757356737223,0.00192942747949983,7.76719138359569e-05,0.0010567046355146,0.000702965235173824,0.00125978583640781,0.00157109190887667,0.00196842236127802,0.000268616051727777,0.000359403942384783,0.000134755755193711,0.00677603423680456,0,0,0,0.000560433401830749,0.000185384301657336,0.000663496627225478,0,0,1.86167737131155e-05,0,0.00206288234457249,0,0,6.6412086999834e-05,0.000200320512820513,0,0,0,0,0.000559910414333707,0,0,0.00149224425682309,0.000758886025908016,6.71862402579952e-05,0,0,0,0.000157919671527083,0.00101826375197695,0.000929198702765733,0.000776833110353459,0,0,0,0,0,0,0,0
"Chlamydiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00909090909090909
"Clostridia",0.0472025756077775,0.00141757487996342,0.0141089704192609,0.0101198402130493,0.00136580549613296,0.00396190723616377,0.00828067117018958,0.00354889589905363,0.013094889084335,0.021610851406238,0.0682624113475177,0.00845392460663678,0.0102260792659333,0.00853362762585497,0.0112045449421737,0.000676681553660847,0.065583782577546,0.0362794887325475,0.0645545279736288,0.0149150842890268,0.000474961280330408,0.0690883455159363,0.0084662386081193,0.0125716772078134,0.00711486025903204,0.0772668646330124,0.00952474469756481,0.00615390990841656,0.0659548341295881,0.00724337176190871,0.0265019651880966,0.0420827389443652,0.000663796918373094,0.00385718839655722,0.000169598294325726,0.0523071175042032,0.00139038226243002,0.00500638364179224,0.0122664500406174,0.000855713533438652,1.86167737131155e-05,0.0256960335621663,0.033397353819889,1.87853399207259e-05,0,0.0137473020089656,0.000350560897435897,2.07404334750596e-05,0,1.89356880913458e-05,0,0.0100783874580067,0.000550395596835225,0.000196422491684781,0.0302768505792264,0.00345910839716212,0.00013437248051599,2.74842309225082e-05,5.43880714408237e-05,0.01315599248229,0.00443929743292801,0.013844053989644,0.0192763181867872,0.00761728022096586,0,0.000550698698974324,0.000112663361874718,0.0227676983279972,0.00809935205183585,0.0120481927710843,6.11789177449451e-05,0
"Coriobacteriia",0.00380257053768347,0.000152427406447679,0.00750875130267483,0.00190856635596982,0.000444298173440843,0.000763154262703677,0.00799570880198468,0.0237907465825447,0.00657536541441555,0.0046133803356579,0.00395390070921986,0.00108306507415987,0.00160300702006523,0.000885444069449613,0.000270532272245643,0.00062029142418911,0.00704696804199993,0.00138222367174517,0.00695906968226353,0.00175471579870903,0.000413009808982963,0.0102037030165857,0.000129453189726595,0.00525244362946963,0.00330180640763463,0.0293650079486487,0.00157109190887667,0.00714848120674651,0.00891229685911088,0.00326228193856957,0.00534531162268389,0.00158503724837534,0.000160920465060144,0.000494102645839975,9.69133110432718e-05,0.00915374556323557,0.000222461161988803,0.000894715148834357,0.000649878147847279,0.000197472353870458,0.000130317415991809,0.00600686498855835,0.00142267747901551,0,2.11407551477739e-05,0.00425037356798937,5.00801282051282e-05,0,0,0,0,0,0,0,0.00388768898488121,0.000211782146765028,2.23954134193317e-05,0,0.000171531609928752,0.00106982796009831,0.000421119124072222,0.00155989340728384,0.00794373792952665,0.000539467437745458,0,0.000137674674743581,0.000168995042812078,0.00064034151547492,0,0.0011754334410814,1.52947294362363e-05,0.00909090909090909
