"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC"
"?",0.00352371536492002,0.0255011050986967,0.00555807925607247,0.0115401686640036,0.000691130492019088,0.00488743474625121,0.00455939789127848,0.0125056331680937,0.00573773924697408,0.00590083531305081,0.00530141843971631,0.00138391648364873,0.0253993698524128,0.00921375133137423,0.00888247627206529,0.00179320611720125,0.00145637339534665,0.002158753824411,0.0511857888471752,0.00407344738986025,0.000516262261228704,0.00957292864828763,0,0.00261068204068313,0.00189587593728698,0.0116680164372057,0.00309308719560094,0.00412332684099291,0.00891229685911088,0.0040640291946587,0.00220101066816395,0.04113171659534,0.00162931970873396,0.000573796620975454,0.000290739933129815,0.00485708948253316,0.00520929887657113,0.00400108572175364,0.000406173842404549,6.58241179568194e-05,0.00390952247975426,0.0066742944317315,0.00373452838241571,0.00201003137151767,0.0060673967274111,0.00537937904698655,0.00210336538461538,8.29617339002385e-05,0.000540524747268159,6.31189603044859e-06,0.000509053886990037,0.0218365061590146,0.000619195046439629,6.54741638949271e-05,0.00879638719811506,0.0023296036144153,0.00064946698916062,0.00306449174785967,3.34695824251223e-05,0.00271794130403354,0.0015265568247618,0.00779946703641918,0.00477353059067886,0.0187087307410125,0.00585414808206958,0.00277643927399555,0.00388688598467778,0.00177872643187478,0.00107991360691145,0.000881575080811049,0,0
"[Eubacterium] coprostanoligenes group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50887120409406e-05,0,0,0,0,0,0,3.7104374605766e-05,0,0,0,0,0,2.07202353818739e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78285383836924e-05,0,0,5.46587472215137e-05,0,0,0,0,0,0,0,0,0
"Acholeplasmataceae",0,3.04854812895359e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000140939360839999,0,0,0,0,3.7104374605766e-05,0,0,2.13019768234492e-05,0,0,0.00120177365214869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82195824071712e-05,0,0,0,0,0,0,0,0,0
"Actinomycetaceae",0.0126245341851091,0.0023778675405838,0.00911204339577265,0.0754771415889924,0.000822774395260819,0.00103918878325607,0.00544780998038788,0.0534024335286165,0.00436961650681967,0.0689248218254272,0.0432801418439716,0.0210896838051686,0.0130727986291526,0.0249720892630282,0.00157810492143292,0.00278567239590382,0.0305251165685964,0.0235599248318812,0.0985257760278363,0.00595350003133421,0.00522457408363449,0.0486438351081592,0.00494511184755592,0.0948858603595904,0.00624147920927062,0.0945139326314526,0.00591614296936371,0.0289461688284779,0.00944952896256643,0.00843216941748915,0.0313082537900056,0.0659771754636234,0.000482761395180432,0.000685368186165126,0.000678393177302903,0.0487577059592752,0.0323680990693708,0.0731153177244076,0.00515840779853777,6.58241179568194e-05,0.000874988364516429,0.0241704805491991,0.00284535495803101,1.87853399207259e-05,0,0.00431678565498921,0.000300480769230769,2.07404334750596e-05,0,6.31189603044859e-06,0,0,0.000412796697626419,0.00014404316056884,0.00208128804241115,8.82425611520949e-05,0.00127653856490191,0,0.000129694631897349,0.00306491253433569,0.000193012931866435,0.0147106614381351,0.010002550741537,0.00735833585084804,0,6.88373373717905e-05,0,7.11490572749911e-05,0.000134989200863931,0.000935003873587476,0.00012235783548989,0
"Aerococcaceae",0.000278855172763455,0.000106699184513376,0.000133607674424819,2.21926320461607e-05,0,0.00232193743758778,1.67624922473473e-05,0.000319212858645035,0.00192654018511538,0.000153268449689631,1.77304964539007e-05,0.000361021691386624,0.000165828312420541,0.000166822795693405,6.76330680614108e-05,0.000124058284837822,9.39595738933324e-05,0.000388265076332914,9.15667063455728e-05,0.000689352635207119,0.000144553433144037,0.000222626247634596,5.17812758906379e-05,0.00214448881913257,6.39059304703477e-05,0.00212963796154654,0.000147289866457188,2.07202353818739e-05,5.7560582513095e-05,0,0.000269511510387423,0.00011887779362815,0.000181035523192662,0.000207204335352247,7.26849832824538e-05,0,0.000148307441325869,0.000191006604807335,0,6.58241179568194e-05,0,0.0001906941266209,0.00128040973111396,0,0,0,0,0,0,0,0,0.000559910414333707,6.87994496044032e-05,2.61896655579708e-05,0.00168859218535244,0.000335321732377961,0.00165726059303055,0,4.18369780314028e-06,0.00161919907474339,0.00047375901458125,0.00129991117273653,0.000346172065736253,0.00012947218505891,0,4.58915582478603e-05,0,0,0,0,1.52947294362363e-05,0
"Anaerolineaceae",0,0,0,0,0,8.11866236918805e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59343041884917e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15786975098183e-05,0,0,0,0,0,0,0,0
"Anaerovoracaceae",0.000811215048039141,0.000121941925158143,0.00077492451166395,0.000909897913892588,0.00018101036695738,0.000446526430305343,0.000117337445731431,0.000713534625206549,0.00125643925116221,0.00151735765192735,0.00157801418439716,0.00312885465868408,0.00160300702006523,0.000667291182773622,0.00119485086908492,9.02242071547796e-05,0.0134597089602199,0.0017860193511314,0.000824100357110155,0.00100269474211945,0.000123902942694889,0.00259730622240362,0.000155343827671914,0.000404034125343818,0.00202368779822768,0.00524910765169921,0.00169383346425766,0.0010360117690937,0.0315815729388515,0.00140996931243261,0.00098820887142055,0.00372483753368204,0.000120690348795108,0.000541919030921262,9.69133110432718e-05,0.0128899682421072,7.41537206629343e-05,0.000281483417610809,0.00016246953696182,0,0,0.000619755911517925,0.00213401621852326,1.87853399207259e-05,0,0.00275610161049311,5.00801282051282e-05,0,0,6.31189603044859e-06,0,0.00335946248600224,6.87994496044032e-05,0,0.0041625760848223,0.000600049415834245,0,2.74842309225082e-05,0,0.00127222784444123,0.000824691617974768,0.0012349156140997,0.00169442116386692,0.00157524491821674,0,6.88373373717905e-05,0,0.00120953397367485,0.00229481641468683,0.00149600619773996,1.52947294362363e-05,0
"Atopobiaceae",0.00380257053768347,0.000152427406447679,0.00748202976778986,0.00190856635596982,0.000444298173440843,0.000755035600334489,0.00796218381748998,0.0237719693555656,0.00584942273596627,0.0046133803356579,0.00395390070921986,0.00108306507415987,0.00160300702006523,0.000885444069449613,0.000247987916225173,0.00062029142418911,0.0070234781485266,0.00133563186258522,0.00695906968226353,0.00150404211317917,0.000413009808982963,0.0102037030165857,0.000129453189726595,0.00523690385541794,0.00325920245398773,0.0292450283451813,0.00157109190887667,0.00712776097136463,0.00808726184308985,0.00326228193856957,0.0053228523301516,0.00158503724837534,0.000160920465060144,0.000494102645839975,4.84566555216359e-05,0.0087801232953484,0.000222461161988803,0.000894715148834357,0.000649878147847279,0.000197472353870458,0.000130317415991809,0.0059115179252479,0.00138711054204012,0,2.11407551477739e-05,0.00411754939398971,5.00801282051282e-05,0,0,0,0,0,0,0,0.00380914981346947,0.000158836610073771,2.23954134193317e-05,0,0.000171531609928752,0.00104091369090646,0.000421119124072222,0.00155989340728384,0.00792551834711948,0.000539467437745458,0,0.000137674674743581,0.000168995042812078,0.00064034151547492,0,0.00112200464830497,1.52947294362363e-05,0.00909090909090909
"Bacteroidaceae",0,1.52427406447679e-05,0,0,0,0,1.67624922473473e-05,0,1.39604361240245e-05,0,0,0,0,0,0,0,0.000622482177043327,0,0,0,0,7.4208749211532e-05,0,0,0,0,0,0.000145041647673118,2.87802912565475e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05940489216759e-05,0,0,0,0,5.26398905090277e-05,0,1.82195824071712e-05,0.00012947218505891,0,0,0,0,0,0,0,0
"Bacteroidales Incertae Sedis",2.53504702512232e-05,0,0,0,0,0,0,0,2.7920872248049e-05,0,0,0,0,1.28325227456466e-05,0,0,0,0,0,0,0,3.7104374605766e-05,0,3.10795481033706e-05,0,0,0,0,1.91868608376983e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7648512230419e-05,0,0,0,0,0,0,1.82195824071712e-05,0,0,0,0,0,0,0,0,0
