"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC"
"?",0.692879052906431,0.692111881716333,0.862116879993587,0.634953395472703,0.562415665624486,0.781794711503333,0.584357242234775,0.819194081418056,0.278050006282196,0.687393670013028,0.442801418439716,0.567375673155029,0.546901774362943,0.67469554839786,0.71138715422594,0.651001488699418,0.622388217469434,0.55902405690413,0.698837102829411,0.865200225606317,0.741559112028911,0.595228377425698,0.779411764705882,0.784307936162608,0.553254942058623,0.641470949938511,0.666486645718775,0.628133935601508,0.247059613576623,0.591910646650632,0.820011229646266,0.535425582501189,0.0237156535382387,0.443401338858782,0.0338469738818627,0.602465906968055,0.784027288569204,0.745740050063836,0.636311941510967,0.748091100579252,0.972372707809737,0.198846300533944,0.604211125337886,0.00221667011064565,0.00680732315758319,0.0822845757927943,0.0142728365384615,0.00055999170382661,0.000891135394144802,0.905883318289981,0.00178168860446513,0.0565509518477044,0.0405228758169935,0.845205981719613,0.37337522089142,0.839769157460026,0.863052046940787,0.00344927098077478,0.995046501801082,0.325979470868874,0.815198891052973,0.821738847845397,0.606056189192144,0.666868067843425,0.00758251561106155,0.019044996672862,0.0982424515547544,0.0606901458555674,0.0877429805615551,0.0840167766409318,0.557859961457282,0.563636363636364
"[Eubacterium] infirmum",0,0,0,0,0,0,0,1.87772269791197e-05,1.39604361240245e-05,0,0,0,0,1.28325227456466e-05,4.50887120409406e-05,0,0.000129194414103332,1.55306030533166e-05,0,0.000125336842764931,0,0.000111313123817298,0,0,2.13019768234492e-05,0,0,2.07202353818739e-05,7.67474433507934e-05,2.76464571065218e-05,6.73778775968557e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000314156685646966,0,0,0,0,2.89142691918462e-05,3.50932603393518e-05,0,0,0,0,0,0,0,0,2.67143963882136e-05,0,0
"[Eubacterium] nodatum",0,0,0,0,0,1.62373247383761e-05,0,0,6.98021806201226e-05,0,0,0,0,0,0,0,1.17449467366665e-05,0,0,0,0,3.7104374605766e-05,0,0,0,0,0,0,0.000729100711832537,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55669369753877e-05,0,0,3.3206043499917e-05,0,0,0,0,0,0,0,0,0.000196347928529354,3.52970244608379e-05,0,0,0,0,0.000157919671527083,0,0,0,0,0,0,0,0.000134989200863931,0,0,0
"Abiotrophia defectiva",0.000278855172763455,0.000106699184513376,0.000133607674424819,2.21926320461607e-05,0,0.00232193743758778,1.67624922473473e-05,0.000319212858645035,0.00192654018511538,0.000153268449689631,1.77304964539007e-05,0.000361021691386624,0.000165828312420541,0.000166822795693405,6.76330680614108e-05,0.000124058284837822,9.39595738933324e-05,0.000388265076332914,9.15667063455728e-05,0.000689352635207119,0.000144553433144037,0.000222626247634596,5.17812758906379e-05,0.00214448881913257,6.39059304703477e-05,0.00212963796154654,0.000147289866457188,2.07202353818739e-05,5.7560582513095e-05,0,0.000269511510387423,0.00011887779362815,0.000181035523192662,0.000207204335352247,7.26849832824538e-05,0,0.000148307441325869,0.000191006604807335,0,6.58241179568194e-05,0,0.0001906941266209,0.00128040973111396,0,0,0,0,0,0,0,0,0.000559910414333707,6.87994496044032e-05,2.61896655579708e-05,0.00168859218535244,0.000335321732377961,0.00165726059303055,0,4.18369780314028e-06,0.00161919907474339,0.00047375901458125,0.00129991117273653,0.000346172065736253,0.00012947218505891,0,4.58915582478603e-05,0,0,0,0,1.52947294362363e-05,0
"Actinobaculum sp.",0,0,0,0,0,0,0,0,0.000307129594728539,0,0,0,0,1.28325227456466e-05,0,0,2.34898934733331e-05,4.65918091599497e-05,0,0,0,0,0,0,0,0,0,0,9.59343041884917e-06,8.29393713195654e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100160256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces dentalis",0,0,0,0,0,0,1.67624922473473e-05,0,8.37626167441471e-05,0,0,0,0,0,0,0,0,0,0,6.26684213824654e-05,0,3.7104374605766e-05,0,7.76988702584264e-05,0,5.99898017337053e-05,0,0,1.91868608376983e-05,0,2.24592925322852e-05,3.96259312093834e-05,0,0,0,0,3.70768603314671e-05,1.0052979200386e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16651862122755e-05,0,0,0,0,0,0,0,0,0,0
"Actinomyces graevenitzii",2.53504702512232e-05,0,0,0.000110963160230803,0,0,1.67624922473473e-05,0,1.39604361240245e-05,0,3.54609929078014e-05,3.00851409488853e-05,2.76380520700901e-05,0.000153990272947759,0,1.12780258943475e-05,0,0,0.00228916765863932,6.26684213824654e-05,0,0.000111313123817298,0,0,0,0,0,0,0,0,0,0.00126802979870027,0,3.18775900541919e-05,0,0,9.26921508286678e-05,6.03178752023162e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49955586368265e-05,0,0,0,0,0,0,0,0,0,0
"Actinomyces massiliensis",0,0,0,0,0,0,0,1.87772269791197e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59343041884917e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces pacaensis",2.53504702512232e-05,0,8.01646046548914e-05,8.87705281846427e-05,0,0,5.0287476742042e-05,0.000488207901457113,0,0.000551766418882673,7.09219858156028e-05,3.00851409488853e-05,5.52761041401802e-05,0.000282315500404224,0,2.25560517886949e-05,0.000469797869466662,0.000481448694652813,0.000640966944419009,6.26684213824654e-05,2.06504904491482e-05,0.00018552187302883,0.000155343827671914,0.00026417615887865,0.000106509884117246,0.000269954107801674,0.00012274155538099,8.28809415274958e-05,0,5.52929142130436e-05,0.000112296462661426,0.000435885243303218,2.0115058132518e-05,4.78163850812879e-05,0,0.000747244535774332,0.000852767787623744,0.000180953625606949,0.000649878147847279,0,0,0.0001906941266209,0.000355669369753877,0,0,0.000166030217499585,0,0,0,0,0,0,6.87994496044032e-05,0,0.000353426271352837,0,0,0,0,5.78285383836924e-05,3.50932603393518e-05,0.000173321489698204,1.82195824071712e-05,0.000172629580078546,0,0,0,0,0,0,4.58841883087088e-05,0
"Actinomyces timonensis",0,0,0,2.21926320461607e-05,1.64554879052164e-05,0,0,0,4.18813083720735e-05,1.53268449689631e-05,0,0,0,0,0,0,2.34898934733331e-05,0,0,0,0,0,0,4.66193221550559e-05,0,0.000209964306067968,0,0,7.67474433507934e-05,0,0,0,0,0,0,0.000186811133943583,0,2.01059584007721e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89142691918462e-05,0,4.3330372424551e-05,1.82195824071712e-05,0,0,0,0,0,0,0,0,0
