"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU120",0.000253504702512232,0,0.000507709162814312,0.000288504216600089,9.87329274312983e-05,0.000121779935537821,0.000117337445731431,0.00219693555655701,0.00043277351984476,0.000551766418882673,0.000709219858156028,3.00851409488853e-05,0.000193466364490631,0.000141157750202112,2.25443560204703e-05,2.25560517886949e-05,0.000798656378093325,7.76530152665828e-05,0.000732533650764582,0.000689352635207119,0,0.0021891581017402,5.17812758906379e-05,0.000341875029137076,8.52079072937969e-05,0.00245958187108192,0.000343676355066771,0.000124321412291244,0.00245591818722539,0.000248818113958696,0.000247052217855138,0.000277381518465684,0.000281610813855252,0.000270959515460631,0,0.000560433401830749,5.56152904972007e-05,0.000221165542408493,0.00113728675873274,0,3.7233547426231e-05,0.000715102974828375,0.000391236306729264,0,0,0.000763739000498091,0,2.07404334750596e-05,0,1.89356880913458e-05,0,0,0,1.30948327789854e-05,0.000667582956999804,0.000141188097843352,0,0,4.18369780314028e-06,0.000954170883330924,0.000333385973223842,0.000259982234547306,0.000637685384250993,6.47360925294549e-05,0,0.000367132465982882,0.0193217665615142,0.000426894343649947,0.000944924406047516,0.00197686533272781,1.52947294362363e-05,0,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","?","?"
"OTU524",0,0,2.67215348849638e-05,0,0,8.11866236918805e-06,6.70499689893893e-05,0,0,0,0,0,2.76380520700901e-05,0,0,0,0,0,0,0.000313342106912327,0,0,0,0,0,2.99949008668526e-05,0,0,0.000134308025863888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3330372424551e-05,1.82195824071712e-05,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Bulleidia","Bulleidia extructa"
"OTU598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7104374605766e-05,0,0,0,0,0,0,8.63408737696426e-05,0,0,0,0,0,0,0,0,1.0052979200386e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15786975098183e-05,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae UCG-006","?"
"OTU662",0,6.09709625790717e-05,0,0,0,0,1.67624922473473e-05,0,0,0,0,0,0,0,0,0,0,9.31836183198994e-05,0,0,0,0,0,0,0,0,0,8.28809415274958e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28783296286849e-05,2.15786975098183e-05,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","?","?"
"OTU725",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4208749211532e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82195824071712e-05,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Eggerthia","Eggerthia catenaformis"
"OTU460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000828809415274958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Acholeplasmataceae","Acholeplasma","Mycoplasmataceae genomosp."
"OTU736",0,3.04854812895359e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39595738933324e-05,0,0,0,0,3.7104374605766e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Acholeplasmataceae","Acholeplasma","?"
"OTU444",0,0,0,0,0,1.62373247383761e-05,0,0,4.18813083720735e-05,0,0.00076241134751773,0,2.76380520700901e-05,0,2.25443560204703e-05,0,0,0,0,0,0,0,0,0,0,2.99949008668526e-05,2.4548311076198e-05,0,9.59343041884917e-06,0,0,0.000673640830559518,0,0,0,0,1.85384301657336e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7648512230419e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","RF39","?","?","?"
"OTU653",0,0,0,0,0,8.11866236918805e-06,0,0,0,0,0,0,0,0,0,0,1.17449467366665e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.76464571065218e-05,0,7.92518624187668e-05,0,0,0,0,0,0,0,0,0,0,0.000142267747901551,0,0,0,0,0,0,0,0,0,0,0,7.85391714117416e-05,0,0,0,0,0,0,0,0,2.15786975098183e-05,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","RF39","Firmicutes oral clone FM046","?","?"
"OTU564",0,1.52427406447679e-05,2.67215348849638e-05,4.43852640923214e-05,0,1.62373247383761e-05,0,0,0,0,0,0,0,0,2.25443560204703e-05,0,5.87247336833327e-05,1.55306030533166e-05,0,0,0,0,0,0,0,0,0,4.14404707637479e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7648512230419e-05,0,0,0,0,0,0,3.64391648143425e-05,2.15786975098183e-05,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group","Clostridiales bacterium feline oral taxon 148","?","?"
"OTU277",5.07009405024463e-05,0,0.000106886139539855,0.00144252108300044,1.64554879052164e-05,8.11866236918805e-06,0,0,0,0,1.77304964539007e-05,0,8.29141562102703e-05,0.000179655318439052,0.000225443560204703,0,0.000317113561889997,7.76530152665828e-05,0.000457833531727864,6.26684213824654e-05,0,0.000296834996846128,0,0,2.13019768234492e-05,5.99898017337053e-05,9.81932443047918e-05,6.21607061456218e-05,9.59343041884917e-06,2.76464571065218e-05,8.98371701291409e-05,0.000475511174512601,0,0,0,0,1.85384301657336e-05,0.000160847667206177,0,0,0,0,3.55669369753877e-05,0,0,0,5.00801282051282e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64391648143425e-05,4.31573950196366e-05,0,0,0,7.11490572749911e-05,0,0,0,0,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","?"
"OTU13",0.0172129693005805,0.0267052816096334,0.00101541832562862,0.0292276964047936,0.000329109758104328,0.0140046925868494,0.0670667314816367,0.000469430674477993,0.00834834080216666,0.00907349222162618,0.153386524822695,0.0441950720539126,0.101873859930352,0.0360593889152669,0.0522352728994296,0.0028758966030586,0.0148573576218832,0.0284210035875693,0.00155663400787474,0.00238140001253368,0.00402684563758389,0.0211494935252866,0.0235345898922949,0.0106292054513527,0.00242842535787321,0.0231560634692102,0.0333366064414768,0.0105880402801376,0.000498858381780157,0.0230847916839457,0.0031892195395845,0.0321762561420193,0,0,0,0.00410984494675883,0.00945459938452412,0.0100228202627849,0,0,0,0,0.0149736804666382,3.75706798414517e-05,0,0,0,0,0,0,0,0,0,0,0.00589043785588062,0.00379443012954008,0.00167965600644988,0,4.18369780314028e-06,5.78285383836924e-05,0.00122826411187731,0.0129991117273653,0.0202237364719601,0.0219455353674852,0,2.29457791239302e-05,0,0,0,2.67143963882136e-05,0,0,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium periodonticum"
