"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC","Kingdom","Phylum"
"?",0,0,0,0,3.29109758104328e-05,0.00202154692992783,0,0,0.00192654018511538,0,0,0,0,0,0,0,0,0,0,0.000313342106912327,0,0,0,1.55397740516853e-05,0,0.000629892918203905,0,0,0.000901782459371822,0.00301346382461088,0,0,0.000181035523192662,0.000366592285623207,0.000193826622086544,0,0,0.000361907251213897,0.00016246953696182,6.58241179568194e-05,0.00389090570604114,9.534706331045e-05,0.000106700810926163,0.00201003137151767,0.0060673967274111,0.00146106591399635,0.00200320512820513,8.29617339002385e-05,0.000540524747268159,6.31189603044859e-06,0.000327248927350738,0.0207166853303471,0.000619195046439629,1.30948327789854e-05,0.00102100922835264,0.00017648512230419,0.000179163307354654,0.00306449174785967,0,0.000375885499494,0.000157919671527083,2.16651862122755e-05,0,4.31573950196366e-05,0.00585414808206958,0.00261581882012804,0.00214060387561965,0.000711490572749911,0.000674946004319654,2.67143963882136e-05,0,0,"?","?"
"Actinobacteriota",0.0268968489365478,0.044203947869827,0.0320391203270716,0.0934753661784288,0.010877077505348,0.0164890032718209,0.0194109660224282,0.0907503379900856,0.0150772710139465,0.0890642961146448,0.0509751773049645,0.0490989500285809,0.0300978387043281,0.067858380278979,0.0391144576955159,0.0167929805566834,0.0427046263345196,0.090124089518396,0.159967035985716,0.0578429529360155,0.115126484254001,0.0816296241326852,0.0309393123446562,0.118988049913754,0.017829754601227,0.135336992711239,0.0203014532600157,0.0561725581202602,0.026775264299008,0.0254347405380001,0.0432565974171814,0.105286099223332,0.971356157219294,0.55159387950271,0.963924019964142,0.074350831309546,0.0665715027251492,0.0824545354015662,0.299837530463038,0.25019747235387,0.0250023270967141,0.767067124332571,0.126582728695405,0.997764544549434,0.993552069679929,0.906126515025735,0.976412259615385,0.999066680493622,0.999094255828902,0.0940661865417753,0.99796378445204,0.940089585666293,0.956381148950808,0.259919335830081,0.427056744551345,0.871324697328015,0.0155424169130162,0.996550729019225,0.996113344740883,0.627295070117103,0.922794827253426,0.0280130857724722,0.040119520460591,0.025894437011782,0.992417484388938,0.979119340997224,0.897983325822443,0.926858769121309,0.895788336933045,0.900515587850293,0.00192713590896577,0.0727272727272727,"Bacteria","Actinobacteriota"
"Bacteroidota",0.265926432935331,0.156421004496608,0.122304465168479,0.270284065690191,0.00115188415336515,0.0736037930390589,0.279263120840807,0.187246507435782,0.0151749940668146,0.278013640892022,0.268120567375887,0.218267697584163,0.18102924105909,0.228906540736843,0.0869986698829948,0.349584968647088,0.34194237929131,0.313500753234248,0.205200988920429,0.040797142319985,0.128611254517295,0.306704760491262,0.170101491300746,0.0888564280275365,0.386907805044308,0.223971924772789,0.244476630007855,0.302805519870706,0.0157428193173315,0.164607005612231,0.0618528916339135,0.339396100808369,0.00205173592951684,0.000239081925406439,2.42283277608179e-05,0.0717354754343359,0.0766378703051426,0.134971298744383,0.000121852152721365,6.58241179568194e-05,0,0,0.253663394508465,0,0,3.3206043499917e-05,0.00300480769230769,8.29617339002385e-05,1.46087769531935e-05,6.31189603044859e-06,0.000109082975783579,0.000559910414333707,0,0,0.120007853917141,0.0424976174508489,0.0421705634686016,0,1.25510934094209e-05,0.000260228422726616,0.0129143198048815,0.0848192040210586,0.269649819626134,0.258534374865133,0,0,0,0,0,0.000160286378329282,1.52947294362363e-05,0,"Bacteria","Bacteroidota"
"Basidiomycota",0,0,0,0,0,0,0,0,0,0,1.77304964539007e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24592925322852e-05,3.96259312093834e-05,2.0115058132518e-05,1.5938795027096e-05,0,0,9.26921508286678e-05,0,0,0,0,0,0,0,4.22815102955478e-05,0,0,0,1.46087769531935e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eukaryota","Basidiomycota"
"Campylobacterota",0.0017491824473344,0.000548738663211645,0.000133607674424819,0.000954283177984909,6.58219516208656e-05,0.000422170443197779,0.000452587290678378,0.000469430674477993,0.000977230528681716,0.00194650931105832,0.00604609929078014,0.00213604500737086,0.000829141562102703,0.00102660181965173,0.00126248393714634,0.000327062750936076,0.00207885557238998,0.0045970585037817,0.000457833531727864,0.000125336842764931,0.000309757356737223,0.00192942747949983,7.76719138359569e-05,0.0010567046355146,0.000702965235173824,0.00125978583640781,0.00157109190887667,0.00196842236127802,0.000268616051727777,0.000359403942384783,0.000134755755193711,0.00677603423680456,0,0,0,0.000560433401830749,0.000185384301657336,0.000663496627225478,0,0,1.86167737131155e-05,0,0.00206288234457249,0,0,6.6412086999834e-05,0.000200320512820513,0,0,0,0,0.000559910414333707,0,0,0.00149224425682309,0.000758886025908016,6.71862402579952e-05,0,0,0,0.000157919671527083,0.00101826375197695,0.000929198702765733,0.000776833110353459,0,0,0,0,0,0,0,0,"Bacteria","Campylobacterota"
"Chloroflexi",0,0,0,0,0,8.11866236918805e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59343041884917e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15786975098183e-05,0,0,0,0,0,0,0,0,"Bacteria","Chloroflexi"
"Cyanobacteria",0,0,0,0,0,0,1.67624922473473e-05,0,9.77230528681716e-05,0,0,0,2.76380520700901e-05,0,0,1.12780258943475e-05,0,0.000108714221373216,0,0,0,0,0,3.10795481033706e-05,0,0,0,0,0,0,0,0,2.0115058132518e-05,0,0,0,1.85384301657336e-05,0,0,0,0,0,0,0,0,3.3206043499917e-05,0,0,0,0,0.000181804959639299,0.00111982082866741,0,0,0,0,0,0,0,0.000231314153534769,0,0,0,0,0,9.17831164957206e-05,0,0.000213447171824973,0,0,0,0,"Bacteria","Cyanobacteria"
"Desulfobacterota",0,0.000106699184513376,0,0,0,3.24746494767522e-05,0,0,0,0,0,0,0,0,2.25443560204703e-05,0,1.17449467366665e-05,0,0,0,0,0,0,0,0,0,0,2.07202353818739e-05,1.91868608376983e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Desulfobacterota"
"Firmicutes",0.576393642102061,0.19865863882326,0.791999572455442,0.452152685308478,0.488727990784927,0.605051431726109,0.532980203496656,0.578977016674178,0.254038056148874,0.553712928193731,0.341205673758865,0.484972472096032,0.357525841578686,0.449587434393727,0.625966589264378,0.462083276943204,0.555277591816121,0.377300470577273,0.407288709825108,0.792442188381275,0.498275684047496,0.506140773997254,0.407596313173157,0.729157278053177,0.55212593728698,0.512372896607577,0.451394344069128,0.516451866893208,0.257612387037357,0.554670868928147,0.804491858506457,0.342249167855445,0.0208593152834212,0.440580172138986,0.0317875660221931,0.219689893517654,0.498683771458233,0.648145727986489,0.656133225020309,0.74730121116377,0.0206460020478451,0.163853928299008,0.398883198178973,5.63560197621776e-05,0.000169126041182191,0.0711605512203221,0.0142728365384615,0.000497770403401431,7.30438847659674e-05,0.905801263641585,0.000399970911206458,0.0173572228443449,0.0405228758169935,0.7392818793704,0.320086393088553,0.0363382866824327,0.63974737973663,0.000123679039151287,0.00366073557774775,0.351337284950123,0.0479373936235546,0.641982797842147,0.474164632146631,0.520996072677053,0.00050178412132025,0.0158325875955118,0.0973411446597566,0.0288153681963714,0.0994870410367171,0.0954505382950872,0.997766969502309,0,"Bacteria","Firmicutes"
"Fusobacteriota",0.0640606383248409,0.0948708177730356,0.025091521256981,0.1251442521083,0.00519993417804838,0.0520487444488646,0.165998960725481,0.0122990836713234,0.0305035529309936,0.0479576979078857,0.318581560283688,0.121333373446855,0.234287767398154,0.124064829904911,0.186171292017044,0.0198380475481572,0.0536744065865661,0.144279302365311,0.209962457650398,0.0537068371247728,0.109922560660816,0.0787725872880413,0.0772835542667771,0.0408229864337773,0.0177871506475801,0.0629293020186568,0.0894540455616654,0.0700343955907339,0.0034920086724611,0.0606563268917088,0.0206625491297024,0.162783325408147,0.00295691354548015,0.00575390500478164,0.00356156418084024,0.0173734354567532,0.051073375106596,0.0721502317211706,0.036961819658814,0.00138230647709321,0.00053988643768035,0.0309877955758963,0.0613173993455684,5.63560197621776e-05,0,0.00750456583098124,0.00325520833333333,0,0,5.68070642740373e-05,0,0.00111982082866741,0.00206398348813209,0.000680931304507241,0.0320047123502847,0.0116303695598461,0.00492699095225298,0,0.000188266401141313,0.0157582767095562,0.00505342948886666,0.0426804168381827,0.0692890718944722,0.0644555694618273,0,0.00128496363094009,0.000788643533123028,0.0384204909284952,0.00121490280777538,0.00144257740496353,0.000275305129852253,0,"Bacteria","Fusobacteriota"
