"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC"
"?",139,1673,208,520,42,602,272,666,411,385,299,46,919,718,394,159,124,139,559,65,25,258,0,168,89,389,126,199,929,147,98,1038,81,36,12,26,281,398,10,1,210,140,105,107,287,162,42,8,37,1,14,39,9,5,224,132,29,223,8,94,87,360,262,867,105,121,69,25,8,33,0,0
"[Eubacterium] coprostanoligenes group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
"Acholeplasmataceae",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,1,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Actinomycetaceae",498,156,341,3401,50,128,325,2844,313,4497,2441,701,473,1946,70,247,2599,1517,1076,95,253,1311,191,6106,293,3151,241,1397,985,305,1394,1665,24,43,28,261,1746,7273,127,1,47,507,80,1,0,130,6,2,0,1,0,0,6,11,53,5,57,0,31,106,11,679,549,341,0,3,0,1,1,35,8,0
"Aerococcaceae",11,7,5,1,0,286,1,17,138,10,1,12,6,13,3,11,8,25,1,11,7,6,2,138,3,71,6,1,6,0,12,3,9,13,3,0,8,19,0,1,0,4,36,0,0,0,0,0,0,0,0,1,1,2,43,19,74,0,1,56,27,60,19,6,0,2,0,0,0,0,1,0
"Anaerolineaceae",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Anaerovoracaceae",32,8,29,41,11,55,7,38,90,99,89,104,58,52,53,8,1146,115,9,16,6,70,6,26,95,175,69,50,3292,51,44,94,6,34,4,69,4,28,4,0,0,13,60,1,0,83,1,0,0,1,0,6,1,0,106,34,0,2,0,44,47,57,93,73,0,3,0,17,17,56,1,0
"Atopobiaceae",150,10,280,86,27,93,475,1266,419,301,223,36,58,69,11,55,598,86,76,24,20,275,5,337,153,975,64,344,843,118,237,40,8,31,2,47,12,89,16,3,7,124,39,0,1,124,1,0,0,0,0,0,0,0,97,9,1,0,41,36,24,72,435,25,0,6,3,9,0,42,1,1
"Bacteroidaceae",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,53,0,0,0,0,2,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,1,6,0,0,0,0,0,0,0,0
"Bacteroidales Incertae Sedis",1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
