"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC"
"?",0,0,0,0,2,249,0,0,138,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,21,0,0,94,109,0,0,9,23,8,0,0,36,4,1,209,2,3,107,287,44,40,8,37,1,9,37,9,1,26,10,8,223,0,13,9,1,0,2,105,114,38,10,5,1,0,0
"Actinobacteriota",1061,2900,1199,4212,661,2031,1158,4833,1080,5811,2875,1632,1089,5288,1735,1489,3636,5803,1747,923,5575,2200,1195,7657,837,4512,827,2711,2791,920,1926,2657,48290,34607,39785,398,3591,8202,7382,3801,1343,16090,3559,53114,46997,27288,19497,96340,68390,14903,27446,1679,13901,19849,10875,49371,694,72518,238094,21695,52591,1293,2202,1200,17800,42671,15941,13027,6636,33709,126,8
"Bacteroidota",10490,10262,4577,12179,70,9066,16660,9972,1087,18139,15122,7255,6550,17838,3859,30997,29114,20186,2241,651,6228,8266,6570,5718,18163,7467,9959,14614,1641,5954,2754,8565,102,15,1,384,4134,13426,3,1,0,0,7132,0,0,1,60,8,1,1,3,1,0,0,3056,2408,1883,0,3,9,736,3915,14800,11981,0,0,0,0,0,6,1,0
"Basidiomycota",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,5,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campylobacterota",69,36,5,43,4,52,27,25,70,127,341,71,30,80,56,29,177,296,5,2,15,52,3,68,33,42,64,95,28,13,6,171,0,0,0,3,10,66,0,0,1,0,58,0,0,2,4,0,0,0,0,1,0,0,38,43,3,0,0,0,9,47,51,36,0,0,0,0,0,0,0,0
"Chloroflexi",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Cyanobacteria",0,0,0,0,0,0,1,0,7,0,0,0,1,0,0,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,3,0,0,0,0
"Desulfobacterota",0,7,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes",22737,13033,29639,20374,29700,74526,31796,30834,18197,36127,19244,16120,12936,35035,27766,40972,47278,24294,4448,12645,24129,13641,15743,46922,25919,17082,18388,24925,26853,20063,35820,8637,1037,27642,1312,1176,26900,64473,16154,11353,1109,3437,11215,3,8,2143,285,48,5,143507,11,31,589,56456,8151,2059,28566,9,875,12151,2732,29632,26025,24144,9,690,1728,405,737,3573,65236,0
"Fusobacteriota",2527,6224,939,5639,316,6411,9903,655,2185,3129,17968,4033,8477,9668,8258,1759,4570,9290,2293,857,5323,2123,2985,2627,835,2098,3644,3380,364,2194,920,4108,147,361,147,93,2755,7177,910,21,29,650,1724,3,0,226,65,0,0,9,0,2,30,52,815,659,220,0,45,545,288,1970,3803,2987,0,56,14,540,9,54,18,0
