"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC"
"?",27332,45406,32263,28611,34178,96296,34861,43627,19917,44849,24974,18859,19788,52577,31555,57723,52992,35995,7632,13806,35910,16042,30104,50471,25972,21386,27150,30315,25753,21410,36511,13512,1179,27819,1397,3225,42292,74181,15666,11365,52231,4171,16988,118,322,2478,285,54,61,143520,49,101,589,64545,9508,47583,38537,251,237839,11274,46459,37929,33264,30904,136,830,1744,853,650,3145,36474,62
"[Eubacterium] infirmum",0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,11,1,0,2,0,3,0,0,1,0,0,1,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0
"[Eubacterium] nodatum",0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
"Abiotrophia defectiva",11,7,5,1,0,286,1,17,138,10,1,12,6,13,3,11,8,25,1,11,7,6,2,138,3,71,6,1,6,0,12,3,9,13,3,0,8,19,0,1,0,4,36,0,0,0,0,0,0,0,0,1,1,2,43,19,74,0,1,56,27,60,19,6,0,2,0,0,0,0,1,0
"Actinobaculum sp.",0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces dentalis",0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,2,0,0,2,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Actinomyces graevenitzii",1,0,0,5,0,0,1,0,1,0,2,1,1,12,0,1,0,0,25,1,0,3,0,0,0,0,0,0,0,0,0,32,0,2,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Actinomyces massiliensis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces pacaensis",1,0,3,4,0,0,3,26,0,36,4,1,2,22,0,2,40,31,7,1,1,5,6,17,5,9,5,4,0,2,5,11,1,3,0,4,46,18,16,0,0,4,10,0,0,5,0,0,0,0,0,0,1,0,9,0,0,0,0,2,2,8,1,8,0,0,0,0,0,0,3,0
"Actinomyces timonensis",0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,7,0,0,8,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
"Aggregatibacter actinomycetemcomitans",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Aggregatibacter aphrophilus",6,106,3,18,0,431,0,29,4,12,7,30,25,146,20,265,2,18,0,28,21,5,44,12,13,5,14,29,9,157,5,39,0,0,0,1,10,12,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,32,45,39,0,0,0,14,28,96,40,0,0,0,0,0,0,0,0
"Aggregatibacter segnis",2,762,2,45,0,176,0,53,72,55,0,87,28,7,22,1153,0,29,0,0,8,1,36,30,11,0,25,15,6,321,0,0,0,0,0,1,17,32,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,106,104,75,0,0,0,20,46,231,97,0,0,0,0,0,0,0,0
"Alloprevotella rava",100,11,39,171,0,21,2,593,4,314,775,2,42,7,5,71,686,407,23,3,26,6,293,5,854,294,150,108,26,105,89,51,0,0,0,11,18,168,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,1,19,297,353,0,0,0,0,0,0,0,0
"Alloscardovia omnicolens",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaeroglobus geminatus",0,1,0,0,0,1,3,0,3,0,0,0,0,4,7,2,28,4,0,0,0,15,0,5,0,0,1,8,105,5,6,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0
"Anaerolineaceae bacterium",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Bacteroidales genomosp.",0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
"Bacteroidales oral",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides sp.",0,5,1,3,0,18,0,1,11,2,42,3,7,25,13,4,9,16,0,5,5,4,0,14,1,9,1,3,29,3,5,27,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,8,2,0,0,0,3,21,6,14,0,0,0,0,0,0,0,0
