OTU	P01-A01-HLM069	P01-A02-HLM002	P01-A03-HLM038	P01-A04-HLM091	P01-A05-HLM061	P01-A06-HLM094	P01-A07-HLM102	P01-A08-HLM056	P01-A09-HLM053	P01-A10-HLM019	P01-A11-HLM137	P01-A12-HLM131	P01-B01-HLM062	P01-B02-HLM064	P01-B03-HLM037	P01-B04-HLM089	P01-B05-HLM107	P01-B06-HLM097	P01-B07-HLM098	P01-B08-HLM106	P01-B09-HLM054	P01-B10-HLM020	P01-B11-HLM136	P01-B12-HLM122	P01-C01-HLM080	P01-C02-HLM044	P01-C03-HLM045	P01-C04-HLM074	P01-C05-HLM114	P01-C06-HLM084	P01-C07-HLM104	P01-C08-HLM096	P01-C09-HLM035	P01-C10-HLM021	P01-C11-HLM117	P01-C12-HLM128	P01-D01-HLM079	P01-D02-HLM043	P01-D03-HLM025	P01-D04-HLM073	P01-D05-HLM090	P01-D06-HLM093	P01-D07-HLM105	P01-D08-HLM086	P01-D09-HLM055	P01-D10-HLM022	P01-D11-HLM101	P01-D12-HLM135	P01-E01-HLM065	P01-E02-HLM042	P01-E03-HLM049	P01-E05-HLM095	P01-E06-HLM100	P01-E07-HLM103	P01-E08-HLM112	P01-E09-HLM057	P01-E10-HLM023	P01-E11-HLM120	P01-E12-HLM138	P01-F01-HLM066	P01-F02-HLM041	P01-F03-HLM048	P01-F05-HLM092	P01-F06-HLM081	P01-F07-HLM087	P01-F08-HLM050	P01-F09-HLM058	P01-F10-HLM024	P01-F11-HLM116	P01-F12-HLM140	P01-G01-HLM068	P01-G03-HLM067	P01-G04-HLM109	P01-G05-HLM083	P01-G06-HLM075	P01-G07-HLM072	P01-G08-HLM051	P01-G09-HLM059	P01-G10-HLM018	P01-G11-HLM123	P01-G12-HLM178	P01-H01-HLM063	P01-H02-HLM039	P01-H03-HLM070	P01-H04-HLM110	P01-H05-HLM082	P01-H06-HLM078	P01-H07-HLM099	P01-H08-HLM052	P01-H09-HLM029	P01-H10-HLM017	P01-H11-HLM124	P01-H12-HLM148	P02-A01-HLM146	P02-A02-HLM016	P02-A03-HLM171	P02-A04-HLM004	P02-A05-HLM167	P02-A06-HLM172	P02-A07-HLM154	P02-A08-HLM085	P02-A09-HLM134	P02-A10-HLM405	P02-A11-HLM413	P02-A12-HLM421	P02-B01-HLM145	P02-B02-HLM177	P02-B03-HLM032	P02-B04-HLM001	P02-B05-HLM165	P02-B06-HLM013	P02-B07-HLM155	P02-B08-HLM003	P02-B09-HLM130	P02-B10-HLM406	P02-B11-HLM414	P02-B12-HLM422	P02-C01-HLM143	P02-C02-HLM182	P02-C03-HLM033	P02-C04-HLM006	P02-C05-HLM129	P02-C06-HLM010	P02-C07-HLM157	P02-C08-HLM111	P02-C09-HLM127	P02-C10-HLM407	P02-C11-HLM415	P02-C12-HLM423	P02-D01-HLM115	P02-D02-HLM186	P02-D03-HLM030	P02-D04-HLM173	P02-D05-HLM166	P02-D06-HLM189	P02-D07-HLM158	P02-D08-HLM005	P02-D09-HLM400	P02-D10-HLM408	P02-D11-HLM416	P02-D12-HLM424	P02-E01-HLM144	P02-E02-HLM184	P02-E03-HLM014	P02-E04-HLM174	P02-E05-HLM149	P02-E06-HLM190	P02-E07-HLM159	P02-E08-HLM132	P02-E09-HLM401	P02-E10-HLM409	P02-E11-HLM417	P02-E12-HLM425	P02-F01-HLM179	P02-F02-HLM187	P02-F03-HLM027	P02-F04-HLM175	P02-F05-HLM163	P02-F06-HLM126	P02-F07-HLM161	P02-F08-HLM007	P02-F09-HLM402	P02-F10-HLM410	P02-F11-HLM418	P02-F12-HLM426	P02-G01-HLM142	P02-G02-HLM188	P02-G03-HLM036	P02-G04-HLM147	P02-G05-HLM164	P02-G06-HLM141	P02-G07-HLM118	P02-G08-HLM008	P02-G09-HLM403	P02-G10-HLM411	P02-G11-HLM419	P02-G12-HLM427	P02-H01-HLM180	P02-H02-HLM176	P02-H03-HLM031	P02-H04-HLM162	P02-H05-HLM009	P02-H06-HLM152	P02-H07-HLM119	P02-H08-HLM011	P02-H09-HLM404	P02-H10-HLM412	P02-H11-HLM420	P02-H12-HLM428	P03-A01-HLM429	P03-B01-HLM430	P03-C01-HLM431	P03-D01-NEC
OTU1	3535	29248	2826	1357	11970	5904	5920	4279	11938	16310	6244	8808	1805	12257	2761	1992	20050	8446	3482	391	1394	29611	9606	5960	1994	5927	2344	3077	6969	5311	9648	3421	10557	9749	7363	3212	4528	6698	5463	10157	2113	4549	3833	4283	11894	4232	8691	2270	2412	11017	2504	3529	11085	13691	5748	3275	6643	5451	4505	362	6514	2970	8410	5342	3853	6201	4984	5744	4787	9264	4535	3191	11569	2189	15747	23475	14926	9789	3335	10761	9978	1467	12026	6341	4345	2424	10655	12290	3938	13266	1563	7811	5929	7118	7418	262	5488	10108	12980	2583	4325	1563	164	13534	376	266	3775	12538	10678	5331	3882	5308	25768	12312	6874	5550	324	3629	1377	4636	14079	5316	7122	5123	24555	3263	949	2802	0	9134	17092	7442	11468	9343	19794	27441	7169	2	490	28	9	3223	4669	13122	8730	8469	6610	5883	11059	0	76	2	1	163	23064	5740	2661	5078	7113	15539	5304	169	156	1462	303	6322	7875	12443	5244	4841	8205	8151	6264	0	78	3551	456	380	12289	933	6043	14173	9164	10575	1758	1	131	13	4	237	1147	31	0
OTU2	4420	27781	2856	2034	12041	5417	5628	4227	11667	15288	6404	9541	1705	11729	2663	1918	20003	8019	3801	407	1383	28680	8337	5348	1659	5441	2197	2707	6727	5323	9680	3252	10220	8320	6913	3085	4393	6366	5463	9607	2012	4272	4645	3965	11934	4009	7372	2124	2355	11271	3111	4889	10099	13972	5486	2989	7378	10802	4774	390	6392	2624	9607	5229	3572	6133	4805	6176	4457	9750	3988	2811	10813	2108	16064	25045	14513	11781	3438	10048	10178	1530	11612	6159	4122	2381	9713	12073	3937	12806	1531	7212	5206	6512	7269	30	4924	9531	12689	2749	4017	1430	176	13427	389	239	3203	11561	9855	5204	3692	5730	25621	11903	6450	5708	361	3453	935	4256	13347	5437	6898	4150	24946	2864	900	2822	0	8126	15934	7261	10746	9308	19297	25387	6632	0	443	20	3	2912	4502	12316	7992	10078	6601	5622	11024	2	20	1	0	177	22480	5417	2670	5210	6454	15336	5351	169	123	1565	301	6269	7410	11548	4421	4486	7789	9080	5792	1	100	3401	454	352	11797	913	5930	13656	8558	8710	1827	0	180	145	1	260	1172	21	0
OTU3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	25330	18023	20357	0	0	0	0	0	0	0	0	0	3394	1902	638	0	1	0	0	0	0	0	0	1	7896	1663	27594	0	0	0	0	0	0	0	0	24451	13749	10195	49941	0	0	0	1	0	0	0	0	35473	3404	14098	861	0	0	0	0	0	0	0	0	7180	569	5554	3093	0	0	0	1	0	0	0	0	37534	477	10683	4538	0	0	0	0	2	1	0	0	9189	22068	8178	6681	3386	17435	47	0
OTU4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	22786	16339	18961	0	0	0	0	0	0	0	0	0	3109	1869	621	0	0	0	0	0	0	0	0	0	7246	1641	25516	0	0	0	1	0	0	2	0	22516	13044	9262	46388	0	0	0	1	0	0	0	0	32911	3296	13335	801	0	0	0	1	0	0	0	0	6663	622	5022	2846	0	0	0	0	0	0	0	0	34974	488	10204	4331	0	0	0	0	0	1	0	0	8597	20503	7712	6297	3218	16101	36	0
OTU5	9383	185	428	6681	749	3587	206	4768	1778	1616	4518	25	1364	626	303	1427	5259	544	2962	109	4015	524	803	275	6881	12482	505	1143	1521	12162	892	715	2895	379	3954	2891	23	191	2169	6722	699	1705	1681	771	4302	1186	911	204	1757	6181	841	20327	470	12167	734	1719	10219	3525	5241	910	89	508	2519	65	290	882	8251	1906	403	2061	372	3171	202	2343	1959	4407	522	1259	1606	13	4046	6545	2995	1156	1965	358	1935	5245	3445	946	648	4747	232	1418	4758	1	20	981	1000	205	4829	3447	38	1	0	110	491	1056	903	2497	100	1139	4434	497	0	0	0	315	490	2725	1165	3756	238	594	607	936	0	369	0	227	3830	94	3523	729	126	45	1439	0	0	20	0	67	1394	487	997	8159	4653	121	3681	0	0	1	1	8	837	1183	54	2256	2790	563	2393	0	0	146	97	388	415	136	210	313	2173	8052	48	0	1	0	23	6	555	342	4398	3933	2433	1728	1245	0	0	0	0	0	0	1	0
OTU6	15765	264	268	2504	706	2915	49	2194	1789	4876	1519	5310	15212	99	190	1513	8138	712	1193	31	4596	137	106	56	9915	14380	1087	3335	1141	6206	409	584	3472	327	1042	504	79	232	1734	4159	1756	148	1843	646	3561	1057	238	75	4673	3215	8724	11277	870	2473	271	2397	8074	11704	3297	668	883	322	5987	110	3627	1187	1896	4528	340	1525	25	964	121	5070	4084	5502	369	4005	1657	311	3867	5590	4097	3068	1500	665	1273	6731	3095	574	149	1415	582	702	494	16	1656	5955	1365	875	2790	553	146	34	85	82	662	5453	1617	817	196	1177	2407	222	58	30	83	283	678	3366	951	1291	282	147	342	598	41	41	1	537	2149	44	2671	370	3	271	95	0	101	28	1	411	203	1026	495	4579	1015	72	5395	0	14	0	3	3	616	1210	344	1359	84	1287	2132	57	48	46	4	268	245	232	4124	718	73	5748	40	0	259	158	6	13	591	140	2052	3379	870	657	583	0	69	410	12	6	8	158	0
OTU7	0	0	14520	0	440	1	3	2	61	0	35	13040	343	0	0	0	1	1	0	0	5	0	1	0	0	0	2	0	3260	0	805	1183	111	0	191	1	20927	177	0	0	11139	1	2	11	2	0	0	0	0	3	0	0	3	0	1266	2	0	0	36	48	0	0	6	0	269	1	5	0	13	0	14	16	3	0	1	1	5421	0	0	16694	238	0	21	639	0	0	40	18	0	0	0	392	34094	569	0	9324	9755	1254	0	13258	0	0	0	1	0	0	0	0	0	50	0	0	152	0	0	0	0	196	1	1	12706	1637	6458	0	0	1	0	0	0	9739	0	51	0	9567	0	2266	0	0	1	0	1	4617	0	0	0	0	0	14351	0	0	0	0	0	3019	0	503	6561	4507	652	218	44	0	0	0	0	15772	0	0	12636	23903	33	42	8	1	0	0	0	17352	316	0	57	0	75	0	0	0	0	0	0	0	0	0	0
OTU8	0	0	14784	0	486	2	5	2	54	1	35	12611	248	0	0	0	3	0	2	0	8	0	0	0	0	0	1	0	3226	0	780	1151	110	0	195	1	23591	163	0	3	10950	0	3	11	2	0	1	0	0	1	0	0	3	1	1236	1	0	0	40	44	0	0	1	0	259	4	7	0	8	0	9	15	2	0	1	5	5532	0	0	16172	250	0	19	656	2	0	41	20	2	0	0	383	34004	553	0	9347	9076	1169	0	13199	0	0	0	0	0	0	0	0	0	56	0	0	159	0	0	0	0	210	0	0	12470	1602	6451	0	0	0	0	0	0	9749	1	48	0	9164	0	2178	0	0	0	0	1	4469	0	0	0	0	0	14063	0	0	0	0	0	3061	0	528	6313	4338	669	206	55	1	0	0	0	15385	0	0	12167	22917	39	46	7	2	0	0	0	17588	337	0	47	0	71	0	2	0	1	0	0	0	0	0	0
OTU9	13079	209	123	872	15	2787	68	1403	1312	4357	663	3168	14110	59	54	1162	5688	248	520	6	4021	28	63	39	9236	12117	970	2949	879	5268	213	428	2989	257	669	115	92	376	1163	3542	1641	13	219	636	1902	814	190	25	3804	1216	6488	7749	856	910	217	1891	5071	2454	1839	613	591	251	3727	118	3069	650	1352	2832	153	145	32	530	96	3914	2210	2851	93	454	847	304	1581	4694	3366	2767	1062	474	533	5902	2217	472	83	867	636	345	312	31	1530	4836	723	673	2071	399	99	5	43	81	30	4741	1033	477	90	116	961	127	63	0	3	226	461	3038	669	729	146	60	265	28	7	9	0	300	1491	34	2180	249	4	163	80	0	36	20	0	349	99	1044	429	910	34	16	3912	0	13	0	0	7	405	1042	163	419	1	274	1268	42	20	0	0	102	9	235	3481	627	3	3247	45	0	178	23	0	25	523	91	1112	1916	262	569	391	0	5	176	11	1	2	142	0
OTU10	3838	107	523	2185	692	1129	69	1861	546	2748	2032	25	493	637	42	503	2069	767	1467	87	2169	449	1355	1047	2884	7017	99	754	372	3672	1249	708	331	416	4209	1879	102	192	483	2494	332	2440	1858	888	3278	580	823	502	1373	2288	1054	5767	1059	3394	228	1042	4572	4506	2667	388	99	572	2950	29	960	611	2045	1074	660	647	119	1229	255	545	1655	2868	429	1682	381	54	3716	4781	1144	1058	763	251	1546	2230	1742	559	247	2242	666	1514	4222	0	14	512	1393	887	2749	1220	89	34	0	46	984	1563	882	1992	139	428	2897	245	449	4	20	403	493	1394	624	3269	268	1121	632	1158	90	602	0	759	2193	24	3558	739	251	27	686	0	10	65	1	55	323	613	691	4466	4100	133	2229	0	0	3	0	1	786	96	65	1298	2299	1140	1304	0	0	409	103	593	1301	89	1675	347	2364	3485	182	0	54	6	46	8	288	209	3486	3370	1190	1364	608	0	1	13	17	24	54	0	0
