"","Sample","Abundance","aa","Group"
"1","P02-A05-HLM167",2.33033272355147,"Streptococcus","COPD_IFNnegative"
"2","P01-D01-HLM079",2.1308128891753,"Stenotrophomonas","COPD_IFNnegative"
"3","P02-H02-HLM176",1.84133116495104,"Streptococcus","COPD_IFNnegative"
"4","P02-B08-HLM003",1.82620474416303,"Streptococcus","COPD_IFNnegative"
"5","P01-E06-HLM100",1.73286101695408,"Streptococcus","COPD_IFNnegative"
"6","P01-C09-HLM035",1.7081825098005,"Streptococcus","COPD_IFNnegative"
"7","P01-B10-HLM020",1.58711992547592,"Streptococcus","COPD_IFNnegative"
"8","P01-A12-HLM131",1.5026514568415,"Streptococcus","COPD_IFNnegative"
"9","P01-F12-HLM140",1.46978200409679,"Streptococcus","COPD_IFNnegative"
"10","P02-A01-HLM146",1.45197409081059,"Streptococcus","COPD_IFNnegative"
"11","P01-A06-HLM094",1.43778054179679,"Streptococcus","COPD_IFNnegative"
"12","P02-B04-HLM001",1.43230303515963,"Streptococcus","COPD_IFNnegative"
"13","P01-D04-HLM073",1.40191190030629,"Streptococcus","COPD_IFNnegative"
"14","P02-H06-HLM152",1.39878685954774,"Streptococcus","COPD_IFNnegative"
"15","P01-A12-HLM131",1.36161200082808,"Stenotrophomonas","COPD_IFNnegative"
"16","P03-D01-NEC",1.31964809384164,"others","COPD_IFNnegative"
"17","P01-H11-HLM124",1.22643741620002,"Streptococcus","COPD_IFNnegative"
"18","P01-E02-HLM042",1.1795572117329,"Streptococcus","COPD_IFNnegative"
"19","P01-E07-HLM103",1.17124117949233,"Streptococcus","COPD_IFNnegative"
"20","P01-G05-HLM083",1.16900406232461,"Streptococcus","COPD_IFNnegative"
"21","P01-E10-HLM023",1.13403143781259,"Streptococcus","COPD_IFNnegative"
"22","P01-H04-HLM110",1.13303319080918,"Streptococcus","COPD_IFNnegative"
"23","P01-D07-HLM105",1.13091015315278,"Streptococcus","COPD_IFNnegative"
"24","P01-A11-HLM137",1.11084861761379,"Streptococcus","COPD_IFNnegative"
"25","P01-H08-HLM052",1.10316942452424,"Streptococcus","COPD_IFNnegative"
"26","P01-G03-HLM067",0.989848961257048,"Streptococcus","COPD_IFNnegative"
"27","P02-H04-HLM162",0.972984473389418,"Streptococcus","COPD_IFNnegative"
"28","P01-G05-HLM083",0.961210813266697,"Neisseria","COPD_IFNnegative"
"29","P01-H01-HLM063",0.951923499791103,"Streptococcus","COPD_IFNnegative"
"30","P03-D01-NEC",0.93841642228739,"others","COPD_IFNnegative"
"31","P02-A09-HLM134",0.923284197178634,"Prevotella_7","COPD_IFNnegative"
"32","P02-B01-HLM145",0.909951007273582,"others","COPD_IFNnegative"
"33","P01-E07-HLM103",0.909663740200851,"Prevotella_7","COPD_IFNnegative"
"34","P01-H01-HLM063",0.889391890406139,"Prevotella_7","COPD_IFNnegative"
"35","P01-D08-HLM086",0.86935047011435,"Streptococcus","COPD_IFNnegative"
"36","P01-G03-HLM067",0.81114950549444,"Prevotella_7","COPD_IFNnegative"
"37","P02-B04-HLM001",0.796733887413123,"Neisseria","COPD_IFNnegative"
"38","P01-E10-HLM023",0.726368125275391,"Prevotella_7","COPD_IFNnegative"
"39","P01-H01-HLM063",0.697536666886558,"Veillonella","COPD_IFNnegative"
"40","P01-H11-HLM124",0.689315443526664,"Prevotella_7","COPD_IFNnegative"
"41","P01-D08-HLM086",0.687295946478466,"Fusobacterium","COPD_IFNnegative"
"42","P01-D04-HLM073",0.683972817098826,"Prevotella_7","COPD_IFNnegative"
"43","P01-A11-HLM137",0.683747834428647,"Prevotella_7","COPD_IFNnegative"
"44","P01-F01-HLM066",0.657212650383546,"Streptococcus","COPD_IFNnegative"
"45","P01-F01-HLM066",0.587208426499995,"others","COPD_IFNnegative"
"46","P01-A06-HLM094",0.580116890200571,"Prevotella_7","COPD_IFNnegative"
"47","P02-H04-HLM162",0.57473966567654,"Prevotella_7","COPD_IFNnegative"
"48","P01-H08-HLM052",0.573559410080328,"Prevotella_7","COPD_IFNnegative"
"49","P01-B10-HLM020",0.558302078665648,"Neisseria","COPD_IFNnegative"
"50","P02-A09-HLM134",0.555274339269553,"Streptococcus","COPD_IFNnegative"
"51","P01-F01-HLM066",0.528723885027662,"Prevotella_7","COPD_IFNnegative"
"52","P01-F01-HLM066",0.517204202616445,"Unknown","COPD_IFNnegative"
"53","P03-D01-NEC",0.498533724340176,"Unknown","COPD_IFNnegative"
"54","P01-E02-HLM042",0.498274439643057,"Prevotella_7","COPD_IFNnegative"
"55","P01-H08-HLM052",0.485739806907736,"Neisseria","COPD_IFNnegative"
"56","P01-H04-HLM110",0.458534952283918,"Prevotella_7","COPD_IFNnegative"
"57","P02-B01-HLM145",0.450154571147924,"Streptococcus","COPD_IFNnegative"
"58","P01-D01-HLM079",0.440474276545432,"Streptococcus","COPD_IFNnegative"
"59","P02-B01-HLM145",0.438102239925758,"others","COPD_IFNnegative"
"60","P02-B01-HLM145",0.419421126531399,"others","COPD_IFNnegative"
"61","P02-H06-HLM152",0.417652209867451,"Prevotella_7","COPD_IFNnegative"
"62","P02-H04-HLM162",0.409940604161353,"Veillonella","COPD_IFNnegative"
"63","P01-C09-HLM035",0.39032403436596,"Prevotella_7","COPD_IFNnegative"
"64","P01-D07-HLM105",0.369270842937125,"Prevotella_7","COPD_IFNnegative"
"65","P01-D08-HLM086",0.364287357285123,"Neisseria","COPD_IFNnegative"
"66","P01-D07-HLM105",0.363156765905577,"Veillonella","COPD_IFNnegative"
"67","P01-E06-HLM100",0.361218762431212,"Fusobacterium","COPD_IFNnegative"
"68","P02-A01-HLM146",0.358868849666593,"others","COPD_IFNnegative"
"69","P01-F12-HLM140",0.349392975502523,"Neisseria","COPD_IFNnegative"
"70","P01-F12-HLM140",0.348393758222726,"others","COPD_IFNnegative"
"71","P01-F12-HLM140",0.344663347044815,"Unknown","COPD_IFNnegative"
"72","P01-E10-HLM023",0.342876670860749,"Veillonella","COPD_IFNnegative"
"73","P01-E02-HLM042",0.339316738535693,"Neisseria","COPD_IFNnegative"
"74","P01-G05-HLM083",0.337914584279873,"Prevotella_7","COPD_IFNnegative"
"75","P01-F01-HLM066",0.31752970748868,"others","COPD_IFNnegative"
"76","P02-A09-HLM134",0.308954437848644,"Veillonella","COPD_IFNnegative"
"77","P01-H11-HLM124",0.308932025596843,"Veillonella","COPD_IFNnegative"
"78","P01-H04-HLM110",0.304593380415652,"others","COPD_IFNnegative"
"79","P01-F12-HLM140",0.302096690925442,"Prevotella_7","COPD_IFNnegative"
"80","P02-B08-HLM003",0.300746222917355,"Prevotella_7","COPD_IFNnegative"
"81","P01-D07-HLM105",0.294834381299076,"Fusobacterium","COPD_IFNnegative"
"82","P01-G03-HLM067",0.294321474695415,"Veillonella","COPD_IFNnegative"
"83","P01-C09-HLM035",0.288018433179724,"Neisseria","COPD_IFNnegative"
