,logFC,level,p,Genus,ord
Mycobacterium,-22.5513998913975,depleted,6.48200984079035e-94,Mycobacterium,508.565637061724
Brevibacillus,-20.3637610198543,depleted,1.18422184831661e-17,Brevibacillus,414.682762873736
Sphaerimonospora,-16.6535267556131,depleted,1.27025783298204e-06,Sphaerimonospora,277.339953399921
Paenibacillus,-14.9309528444887,depleted,0.00105190921782204,Paenibacillus,222.933352844346
Streptomyces,-13.0253086387723,depleted,7.09253130004185e-10,Streptomyces,169.658665135277
Microbacterium,-11.0968597840982,depleted,2.59213961709162e-10,Microbacterium,123.140297067935
Methyloversatilis,10.6348116471584,enriched,0.00342843310029595,Methyloversatilis,113.099218770535
Cutibacterium,-10.2457516647902,depleted,1.28957988833831e-21,Cutibacterium,104.975427176552
Bosea,-10.1564342351207,depleted,0.00249231865369141,Bosea,103.153156372331
Stenotrophomonas,9.86213246312731,enriched,8.53588515297032e-08,Stenotrophomonas,97.2616567202696
Staphylococcus,-8.83604023947047,depleted,1.07099036038872e-12,Staphylococcus,78.0756071135414
Caulobacter,8.24698995892939,enriched,0.000293948323479248,Caulobacter,68.0128433826822
Acinetobacter,-8.21939288422683,depleted,3.59254283060058e-14,Acinetobacter,67.5584193852786
Methylibium,-7.95863688696882,depleted,6.73231772353821e-20,Methylibium,63.3399010986208
Ralstonia,-7.73889519807847,depleted,1.31911656528153e-08,Ralstonia,59.890498886842
Mesorhizobium,-7.31452212601224,depleted,1.78828653997375e-05,Mesorhizobium,53.5022339319227
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,6.2423605964,enriched,0.000229111408003474,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,38.9670658154874
Sphingobium,5.5308450519764,enriched,0.00324773365548595,Sphingobium,30.5902469889718
Vishniacozyma,-5.35976863746405,depleted,0.00941305936323918,Vishniacozyma,28.7271198471432
Aquabacterium,-4.62237048157383,depleted,8.92132462094222e-08,Aquabacterium,21.3663088689251
Prevotella_7,4.53132807827376,enriched,2.53689640385994e-11,Prevotella_7,20.5329341529522
Fusobacterium,4.18142907152825,enriched,3.16291758862142e-10,Fusobacterium,17.4843490802216
Haemophilus,3.57730403513509,enriched,7.08702607498539e-07,Haemophilus,12.7971041597938
Reyranella,-3.43597682971998,depleted,9.10113173332335e-05,Reyranella,11.8059367743726
Prevotella,3.39365380593391,enriched,2.3484007411492e-10,Prevotella,11.5168861545297
Neisseria,3.33060568977333,enriched,9.2184252655724e-05,Neisseria,11.0929342607505
Bradyrhizobium,-2.96525400305352,depleted,0.00833630279252998,Bradyrhizobium,8.79273130262495
Porphyromonas,2.96427625366179,enriched,0.000160036940968573,Porphyromonas,8.78693370802318
[Eubacterium] brachy group,-2.95546356188466,depleted,0.00142033883258023,[Eubacterium] brachy group,8.73476486562794
Slackia,-2.88314623095633,depleted,0.000110026636227985,Slackia,8.31253218907771
Unknown,-2.85129143672074,depleted,3.04289357250463e-08,Unknown,8.12986285711703
Actinobacillus,2.75126974329589,enriched,0.00695785661623948,Actinobacillus,7.56948520037545
Peptostreptococcus,-2.74941737313884,depleted,3.73191252144418e-05,Peptostreptococcus,7.55929589171767
Stomatobaculum,2.5803826847394,enriched,1.62871751779268e-05,Stomatobaculum,6.6583747997029
Actinomyces,2.25760869997486,enriched,1.57261418727205e-06,Actinomyces,5.09679704220217
Mogibacterium,-2.11568772407863,depleted,0.00120468843382122,Mogibacterium,4.47613454581702
Aggregatibacter,2.05632301342269,enriched,0.00987697551037747,Aggregatibacter,4.22846433553178
Johnsonella,-2.01292231007054,depleted,0.00752554090481396,Johnsonella,4.05185622637974
Lachnoanaerobaculum,-1.9191748143724,depleted,0.000552512545371431,Lachnoanaerobaculum,3.68323196812132
Tropheryma,-1.77225523607744,depleted,0.00305329247148983,Tropheryma,3.1408886218039
Megasphaera,1.70722926377758,enriched,0.00206799419806567,Megasphaera,2.91463175909853
Veillonella,1.65250189186478,enriched,0.000327255522130102,Veillonella,2.73076250261666
Selenomonas,1.4457671896505,enriched,0.0100771547287498,Selenomonas,2.0902427666699
Campylobacter,1.36700347423271,enriched,0.00580355351818463,Campylobacter,1.8686984985643
