,logFC,level,p,Genus,ord
Brevibacillus,-20.9670478189038,depleted,6.56106018322881e-24,Brevibacillus,439.617094240198
Mycobacterium,-20.7411210416347,depleted,1.80708462423785e-189,Mycobacterium,430.194102063742
Cutibacterium,-9.21277481456181,depleted,3.97708081456893e-30,Cutibacterium,84.8752197838243
Microbacterium,-8.20421629828243,depleted,6.75403675638005e-11,Microbacterium,67.3091650690031
Staphylococcus,-7.59863958091267,depleted,1.41228205644958e-15,Staphylococcus,57.7393234806126
Pseudomonas,-7.08926437307884,depleted,3.99425945939222e-05,Pseudomonas,50.2576693514049
Ralstonia,-6.84521642361027,depleted,4.12716752120182e-12,Ralstonia,46.8569878860637
Acinetobacter,-6.79820586085015,depleted,3.8057093040659e-09,Acinetobacter,46.2156029264973
Methylibium,-6.55348049446644,depleted,1.26713534385866e-15,Methylibium,42.9481065913521
Streptomyces,-6.48551417181774,depleted,3.10146830741386e-08,Streptomyces,42.0618940728488
Stenotrophomonas,6.12004696917748,enriched,2.5145396742161e-09,Stenotrophomonas,37.4549749049385
Mesorhizobium,-5.72407635914454,depleted,9.61091712526949e-05,Mesorhizobium,32.7650501653174
Sphingomonas,5.37653675591677,enriched,0.000313716932014121,Sphingomonas,28.907147487724
Bosea,-4.59918685524522,depleted,0.00600143703636297,Bosea,21.1525197294604
Reyranella,-4.57228536138364,depleted,0.00847935973097753,Reyranella,20.9057934259231
Aquabacterium,-4.55632683509812,depleted,0.00854834300065684,Aquabacterium,20.7601142282352
Prevotella_7,4.48752596208918,enriched,1.45809160449815e-11,Prevotella_7,20.1378892604244
Escherichia-Shigella,-4.38327295378914,depleted,0.000251474516942305,Escherichia-Shigella,19.2130817874194
[Eubacterium] brachy group,-4.33619234861997,depleted,4.98757608184728e-06,[Eubacterium] brachy group,18.8025640842304
Enterobacter,-3.91724815827759,depleted,0.00192606150484733,Enterobacter,15.3448331335292
Bradyrhizobium,-3.86291366943122,depleted,0.0101024080009939,Bradyrhizobium,14.9221020174786
Slackia,-3.54447533723898,depleted,0.000193807158018509,Slackia,12.5633054162954
F0058,-3.41738665698323,depleted,0.000530207523018276,F0058,11.678531563327
Neisseria,2.92481218304487,enriched,0.000117836052052044,Neisseria,8.55452630608768
Fusobacterium,2.91904682858249,enriched,1.93505299187878e-05,Fusobacterium,8.52083438745752
Peptostreptococcus,-2.83571432415146,depleted,1.76614553085855e-05,Peptostreptococcus,8.04127572819778
Prevotella,2.59347298159799,enriched,4.85812547181423e-05,Prevotella,6.72610210627877
Actinomyces,2.4560417754208,enriched,1.40092472430061e-06,Actinomyces,6.03214120261216
Megasphaera,2.38147931855594,enriched,9.23868437728415e-05,Megasphaera,5.67144374470969
Stomatobaculum,2.27755685955954,enriched,0.000560496504933382,Stomatobaculum,5.18726524852673
Haemophilus,2.21178583274884,enriched,0.00294067126172592,Haemophilus,4.89199656994847
Veillonella,1.79490883580464,enriched,0.000680366757536222,Veillonella,3.22169772884956
Lachnoanaerobaculum,-1.63002512885404,depleted,0.00422522421820739,Lachnoanaerobaculum,2.65698192069562
Mogibacterium,-1.50185258202926,depleted,0.0160663713413982,Mogibacterium,2.25556117814794
