,0,1,3,mean,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU120,0.0137115936893829,0.00489906533353794,0.0288033293204356,0.0158046627811188,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,?,?
OTU524,0.000127301570137853,0.000541421636650568,0,0.00022290773559614,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia extructa
OTU598,6.87360513159704e-05,8.63408737696426e-05,0,5.1692308361871e-05,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae UCG-006,?
OTU662,0.000177337968665999,0.000170917073146318,0,0.000116085013937439,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,?,?
OTU725,9.24283316187033e-05,0,0,3.08094438729011e-05,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Eggerthia,Eggerthia catenaformis
OTU460,0.000828809415274958,0,0,0.000276269805091653,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Mycoplasmataceae genomosp.
OTU736,0.000131063948499098,3.04854812895359e-05,0,5.38498099295448e-05,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,?
OTU444,0.000855023513869312,0.00077200477793658,1.7648512230419e-05,0.000548225601345437,Bacteria,Firmicutes,Bacilli,RF39,?,?,?
OTU653,0.000148340626140962,0,0.000220806919313292,0.000123049181818085,Bacteria,Firmicutes,Bacilli,RF39,Firmicutes oral clone FM046,?,?
OTU564,0.000241350011622409,5.74948785830483e-05,1.7648512230419e-05,0.000105497800811959,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,Clostridiales bacterium feline oral taxon 148,?,?
OTU277,0.00417121448705703,0.000274531503061653,0.000156796122455507,0.0015341807041914,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,?
OTU13,0.587745193910668,0.29178407967928,0.0260360556554767,0.301855109748475,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium periodonticum
OTU78,0.0354335028002835,0.0173468616173324,0.00125018791393476,0.0180101841105169,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum
OTU224,0.00677075514870423,0.000441631149919089,0.00376718532787143,0.00365985720883158,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Streptobacillus,?
OTU204,0.00494679732099443,0,0,0.00164893244033148,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,?,?
OTU188,0.011241750748963,1.55397740516853e-05,0,0.00375243017433823,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,?,?
OTU526,8.38703927997869e-05,0,0,2.7956797599929e-05,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,?
OTU106,0.0440882336593496,0.00124420366834242,0.00638845504116265,0.0172402974562849,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,uncultured Leptotrichia sp.
OTU514,0.00022794916010437,0.000124955431493555,0,0.000117634863865975,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia sp. oral taxon 847
OTU455,0.000778277629778372,0.000226205284104483,0,0.000334827637960952,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,?
OTU64,0.092607654255021,0.0147292003213141,0.0183283714893078,0.0418884086885476,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,?
OTU46,0.145244042582524,0.0156625077414719,0.0337736961976244,0.0648934155072068,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,?
OTU237,0.00684752271418672,0.000318617255188411,0.00108961540379893,0.00275191845772469,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,?
OTU20,0.418716478110941,0.152899776274903,0.0803867571843976,0.217334337190081,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,?,?
OTU637,0.00014956873642938,0,0,4.98562454764601e-05,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,?
OTU472,0.000425001245189996,7.11962869782343e-05,5.52083807329668e-05,0.000183801970967066,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia goodfellowii
OTU694,0,0,0.000157078342823483,5.23594476078277e-05,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,?,?
OTU488,0.000320949940488674,0.000101042143057862,0.00015310578157845,0.000191699288374995,Bacteria,Firmicutes,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitaleaceae UCG-011,?
OTU707,1.82195824071712e-05,0.000111003652283023,1.7648512230419e-05,4.89572489735376e-05,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,?
OTU691,1.17449467366665e-05,2.87802912565475e-05,3.55669369753877e-05,2.53640583228672e-05,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Howardella,Eubacterium sp.
OTU260,0.00358481151535291,0.00214883423100973,0.000330670553940839,0.00202143876676783,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Catonella,?
OTU477,0.000185007543042554,2.67215348849638e-05,3.55669369753877e-05,8.24320049676352e-05,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Catonella,Catonella sp. oral clone FL037
OTU196,0.0114453650016908,0.00381085524211461,0.00110760431553418,0.00545460818644653,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,?,?
OTU250,0.0029496406856957,0.000543998057964377,0.00025637385628868,0.00125000419998292,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Eubacterium sp.
OTU275,0.00288457026871911,0.00128918699192258,7.80591077188591e-05,0.00141727212278685,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Shuttleworthia,Shuttleworthia satelles
OTU53,0.135979332099674,0.0357845851745768,0.0345943295739424,0.068786082282731,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus
OTU639,3.7104374605766e-05,0,1.7648512230419e-05,1.82509622787283e-05,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,?,?
OTU116,0.0488338504800555,0.0110937824511206,0.016075779773194,0.0253344709014567,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,?,?
OTU280,0.00147895867643913,0.00274542822121025,0.0019022994495692,0.00204222878240619,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Johnsonella,Eubacterium sp.
OTU528,9.14770251831224e-05,0.000140245198498356,0.000263974686904158,0.000165232303528545,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Johnsonella,?
OTU160,0.00634623755852241,0.00295785747402726,0.00109397633584285,0.00346602378946417,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,Clostridiales bacterium oral taxon 075,?,?
OTU428,0.000289679452052804,0.000375848976368106,0.00131119701309619,0.0006589084805057,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,?,?,?
OTU165,0.00953193151211711,0.00239997966483376,0.00206309508431569,0.00466500208708885,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,?,?,?
OTU198,0.00488485339520039,0.00500052620956874,0.000811380572480904,0.00356558672575001,Bacteria,Firmicutes,Bacilli,Lactobacillales,?,?,?
OTU376,0.00256630355025347,0.000317859925787857,0.000116064110299213,0.00100007586211351,?,Unknown,?,?,?,?,?
OTU801,0.00909090909090909,0,0,0.00303030303030303,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,?,?
OTU555,0.000183122447682107,0.000392150773222248,0.000504923006727701,0.000360065409210686,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,?
OTU427,0.000367694969377928,0.000214815478144862,0,0.000194170149174263,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Neisseria elongata
