,Pvalues,FDR,COPD_IFNnegative,COPD_IFNpositive,TB_IFNpositive,max,min,LDAscore,class,color
o__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Corynebacteriales,4.1538e-12,3.8215e-10,18.7096774193548,19.8888888888889,23843.53125,23843.53125,18.7096774193548,4.08,TB_IFNpositive,blue
o__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia_Rank_Bacteroidales,3.7759e-10,9.4859e-09,9505.03225806452,8282.77777777778,406.25,9505.03225806452,406.25,3.66,COPD_IFNnegative,darkgreen
p__Bacteria_Rank_Bacteroidota,4.1243e-10,9.4859e-09,9549.45161290323,8522.11111111111,423.28125,9549.45161290323,423.28125,3.66,COPD_IFNnegative,darkgreen
c__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia,4.1243e-10,9.4859e-09,9549.45161290323,8522.11111111111,423.28125,9549.45161290323,423.28125,3.66,COPD_IFNnegative,darkgreen
c__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria,5.32e-10,9.7889e-09,7445.90322580645,13356.1111111111,287.59375,13356.1111111111,287.59375,3.82,COPD_IFNpositive,red
o__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria_Rank_Actinomycetales,9.0171e-10,1.119e-08,1429.32258064516,1415.44444444444,49.25,1429.32258064516,49.25,2.84,COPD_IFNnegative,darkgreen
p__Bacteria_Rank_Fusobacteriota,1.3144e-09,1.119e-08,3429.51612903226,5376.88888888889,231.84375,5376.88888888889,231.84375,3.41,COPD_IFNpositive,red
c__Bacteria_Rank_Fusobacteriota_Rank_Fusobacteriia,1.3144e-09,1.119e-08,3429.51612903226,5376.88888888889,231.84375,5376.88888888889,231.84375,3.41,COPD_IFNpositive,red
o__Bacteria_Rank_Fusobacteriota_Rank_Fusobacteriia_Rank_Fusobacteriales,1.3144e-09,1.119e-08,3429.51612903226,5376.88888888889,231.84375,5376.88888888889,231.84375,3.41,COPD_IFNpositive,red
c__Bacteria_Rank_Firmicutes_Rank_Negativicutes,1.3379e-09,1.119e-08,3305.12903225806,2813.22222222222,147.6875,3305.12903225806,147.6875,3.2,COPD_IFNnegative,darkgreen
c__Bacteria_Rank_Campylobacterota_Rank_Campylobacteria,2.807e-09,1.8446e-08,49.8387096774194,89.5555555555556,4.875,89.5555555555556,4.875,1.64,COPD_IFNpositive,red
o__Bacteria_Rank_Campylobacterota_Rank_Campylobacteria_Rank_Campylobacterales,2.807e-09,1.8446e-08,49.8387096774194,89.5555555555556,4.875,89.5555555555556,4.875,1.64,COPD_IFNpositive,red
o__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Enterobacterales,3.7844e-09,2.3211e-08,1544.25806451613,880.888888888889,79.65625,1544.25806451613,79.65625,2.87,COPD_IFNnegative,darkgreen
p__Bacteria_Rank_Proteobacteria,6.3755e-09,3.5225e-08,7759.77419354839,13649.6666666667,1884.71875,13649.6666666667,1884.71875,3.77,COPD_IFNpositive,red
o__Bacteria_Rank_Firmicutes_Rank_Bacilli_Rank_Lactobacillales,6.5089e-09,3.5225e-08,20750.2258064516,20818.2222222222,2779.71875,20818.2222222222,2779.71875,3.96,COPD_IFNpositive,red
c__Bacteria_Rank_Actinobacteriota_Rank_Actinobacteria,9.6511e-09,4.9328e-08,2268.77419354839,2622.88888888889,34958.25,34958.25,2268.77419354839,4.21,TB_IFNpositive,blue
p__Bacteria_Rank_Actinobacteriota,1.3334e-08,6.4566e-08,2469.58064516129,2886.88888888889,34978.28125,34978.28125,2469.58064516129,4.21,TB_IFNpositive,blue
o__Bacteria_Rank_Proteobacteria_Rank_Gammaproteobacteria_Rank_Burkholderiales,3.7897e-08,1.7433e-07,3322.93548387097,4782.55555555556,188.21875,4782.55555555556,188.21875,3.36,COPD_IFNpositive,red
o__Bacteria_Rank_Bacteroidota_Rank_Bacteroidia_Rank_Flavobacteriales,3.33e-07,1.4589e-06,37.7741935483871,233.333333333333,16.78125,233.333333333333,16.78125,2.04,COPD_IFNpositive,red
c__Bacteria_Rank_Actinobacteriota_Rank_Coriobacteriia,5.1684e-07,2.0673e-06,200.806451612903,264,20.03125,264,20.03125,2.09,COPD_IFNpositive,red
o__Bacteria_Rank_Actinobacteriota_Rank_Coriobacteriia_Rank_Coriobacteriales,5.1684e-07,2.0673e-06,200.806451612903,264,20.03125,264,20.03125,2.09,COPD_IFNpositive,red
p__Bacteria_Rank_Firmicutes,3.1353e-06,1.2019e-05,25604.7419354839,25888,11709.375,25888,11709.375,3.85,COPD_IFNpositive,red
