source,target,correlation,direct,cor
OTU361,OTU344,0.702905192308432,undirected,+
OTU358,OTU344,0.740454249743496,undirected,+
OTU318,OTU344,0.777074584275872,undirected,+
OTU290,OTU344,0.646844325094448,undirected,+
OTU217,OTU344,0.663997596333052,undirected,+
OTU476,OTU344,0.706736785151069,undirected,+
OTU478,OTU344,0.645030980834225,undirected,+
OTU359,OTU344,0.619731089910848,undirected,+
OTU420,OTU344,0.600523560209424,undirected,+
OTU569,OTU344,0.650613985369392,undirected,+
OTU378,OTU344,0.737590663259965,undirected,+
OTU486,OTU344,0.786185746743673,undirected,+
OTU406,OTU344,0.742931937172775,undirected,+
OTU412,OTU344,0.60825153328211,undirected,+
OTU335,OTU344,0.710668801059502,undirected,+
OTU384,OTU344,0.669769519834728,undirected,+
OTU367,OTU344,0.666104415788001,undirected,+
OTU488,OTU344,0.703650132547679,undirected,+
OTU498,OTU344,0.784721684531248,undirected,+
OTU576,OTU344,0.777371836136045,undirected,+
OTU480,OTU344,0.64378985894061,undirected,+
OTU527,OTU344,0.601380875654882,undirected,+
OTU406,OTU486,0.795640604485124,undirected,+
OTU412,OTU486,0.634559090695866,undirected,+
OTU335,OTU486,0.624859824774657,undirected,+
OTU384,OTU486,0.716047967352842,undirected,+
OTU488,OTU486,0.696820594458208,undirected,+
OTU498,OTU486,0.82356002010049,undirected,+
OTU576,OTU486,0.603602170513688,undirected,+
OTU480,OTU486,0.628880526810913,undirected,+
OTU621,OTU486,0.684207642225033,undirected,+
OTU478,OTU476,0.753429963040557,undirected,+
OTU486,OTU476,0.638996758368239,undirected,+
OTU406,OTU476,0.625472046424933,undirected,+
OTU412,OTU476,0.721580186882716,undirected,+
OTU329,OTU476,0.749945943423829,undirected,+
OTU403,OTU476,0.620338983050847,undirected,+
OTU534,OTU476,0.642981859955183,undirected,+
OTU523,OTU476,0.841714699055962,undirected,+
OTU384,OTU476,0.726796999986584,undirected,+
OTU367,OTU476,0.80593220338983,undirected,+
OTU488,OTU476,0.754336260282616,undirected,+
OTU431,OTU476,0.81271186440678,undirected,+
OTU498,OTU476,0.783347810416444,undirected,+
OTU580,OTU476,0.654807571974645,undirected,+
OTU461,OTU476,0.701693531009047,undirected,+
OTU621,OTU476,0.630166729544937,undirected,+
OTU400,OTU476,0.803591744867491,undirected,+
OTU358,OTU361,0.604254031116932,undirected,+
OTU217,OTU361,0.785162044776031,undirected,+
OTU476,OTU361,0.725603451937638,undirected,+
OTU569,OTU361,0.805536982319484,undirected,+
OTU625,OTU361,0.612114253035007,undirected,+
OTU486,OTU361,0.718327350865427,undirected,+
OTU406,OTU361,0.643782325665666,undirected,+
OTU329,OTU361,0.632292027052157,undirected,+
OTU403,OTU361,0.670138476030363,undirected,+
OTU523,OTU361,0.728561043066012,undirected,+
OTU590,OTU361,0.615371576704942,undirected,+
OTU488,OTU361,0.789738824959881,undirected,+
OTU498,OTU361,0.716621253405995,undirected,+
OTU576,OTU361,0.635870363368241,undirected,+
OTU461,OTU361,0.671920397351828,undirected,+
OTU480,OTU361,0.671920397351828,undirected,+
OTU600,OTU361,0.61639294031773,undirected,+
OTU564,OTU361,0.711015426006019,undirected,+
OTU560,OTU361,0.687613742412107,undirected,+
OTU400,OTU361,0.688984887640204,undirected,+
OTU338,OTU261,0.705714152003781,undirected,+
OTU326,OTU261,0.946049823440115,undirected,+
OTU323,OTU261,0.78785046728972,undirected,+
OTU325,OTU261,0.617523364485981,undirected,+
OTU497,OTU261,0.601188413932028,undirected,+
OTU355,OTU261,0.714339547194939,undirected,+
OTU357,OTU261,0.6513170684464,undirected,+
OTU350,OTU261,0.790922601467942,undirected,+
OTU344,OTU261,0.724378923680261,undirected,+
OTU361,OTU261,0.757151176245493,undirected,+
OTU358,OTU261,0.708528037383178,undirected,+
OTU217,OTU261,0.66781468828506,undirected,+
OTU476,OTU261,0.707953335267826,undirected,+
OTU359,OTU261,0.650302522290892,undirected,+
OTU569,OTU261,0.644814354606849,undirected,+
OTU486,OTU261,0.690360896011208,undirected,+
OTU406,OTU261,0.661808808387975,undirected,+
OTU329,OTU261,0.617491241545064,undirected,+
OTU403,OTU261,0.620481767621401,undirected,+
OTU335,OTU261,0.605946619439389,undirected,+
OTU523,OTU261,0.604168282154739,undirected,+
OTU384,OTU261,0.713367611422591,undirected,+
OTU367,OTU261,0.67397157517497,undirected,+
OTU488,OTU261,0.732039052851599,undirected,+
OTU498,OTU261,0.712015487646656,undirected,+
OTU461,OTU261,0.6990225500682,undirected,+
OTU480,OTU261,0.755999993161852,undirected,+
OTU564,OTU261,0.650536729153547,undirected,+
OTU323,OTU326,0.770268443202457,undirected,+
OTU497,OTU326,0.606374087697617,undirected,+
OTU355,OTU326,0.704022331741106,undirected,+
OTU357,OTU326,0.624307625191235,undirected,+
OTU350,OTU326,0.701856942024101,undirected,+
OTU344,OTU326,0.766538851189071,undirected,+
OTU361,OTU326,0.709299727318119,undirected,+
OTU358,OTU326,0.733733015238401,undirected,+
OTU217,OTU326,0.707811763745864,undirected,+
OTU476,OTU326,0.738351293676064,undirected,+
OTU359,OTU326,0.639331313945595,undirected,+
OTU569,OTU326,0.607398894584017,undirected,+
OTU475,OTU326,0.634066899198914,undirected,+
OTU486,OTU326,0.696139121449788,undirected,+
OTU406,OTU326,0.728890601565017,undirected,+
