"","KO","Means","SD"
"num.edges(L)","2293","2293","0"
"num.pos.edges","2289","0","0"
"num.neg.edges","4","0","0"
"num.vertices(n)","468","468","0"
"Connectance(edge_density)","0.0209831805120884","0.0209831805120884","0"
"average.degree(Average K)","9.7991452991453","9.7991452991453","0"
"average.path.length","3.05759620424373","2.9338422656646","0.00337276554662778"
"diameter","10.2994479654022","5.05","0.21904291355759"
"edge.connectivity","0","2.05","0.743660072230789"
"mean.clustering.coefficient(Average.CC)","0.471168722809325","0.0211240910041075","0.00194962043914536"
"no.clusters","10","1.01","0.1"
"centralization.degree","0.0839418730211021","0.0227641428283827","0.00355268534087573"
"centralization.betweenness","0.0957534969864889","0.0119179156165436","0.00232590509972103"
"centralization.closeness","1.49133373885457","NaN",NA
"RM(relative.modularity)","1.58959376209932","0.00241304353835016","0.0475126694912388"
"the.number.of.keystone.nodes","Not.calculated","0","0"
