"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"OTU2",4,0.131938125568699,432,4
"OTU34",3,0.116653258246179,0,3
"OTU36",3,0.116653258246179,0,3
"OTU299",3,0.151673640167364,1724,3
"OTU10",27,0.252173913043478,1103.08652180109,27
"OTU15",11,0.219254032258065,56.1945916228695,11
"OTU14",23,0.235772357723577,323.773472340605,23
"OTU30",28,0.238748627881449,185.484208545924,28
"OTU49",25,0.232744783306581,140.741984045138,25
"OTU57",24,0.229309435951502,324.603674748782,24
"OTU65",35,0.246878547105562,652.906802511631,35
"OTU69",8,0.218483174284279,37.7193010836789,8
"OTU68",37,0.247581104154809,749.441702310759,37
"OTU72",18,0.230891719745223,365.785769300657,18
"OTU77",22,0.232371794871795,66.8318365979825,22
"OTU100",10,0.209638554216867,1.08424305163436,10
"OTU118",10,0.220476431829701,15.4733118762194,10
"OTU191",27,0.232495991448423,175.398157955789,27
"OTU149",23,0.247722095671982,443.301032962819,23
"OTU107",20,0.260167464114833,2154.32129596059,20
"OTU161",32,0.249712973593571,996.559629148299,32
"OTU164",28,0.243834080717489,191.554489189263,28
"OTU150",21,0.235135135135135,349.25685772597,21
"OTU194",32,0.248998282770464,680.88596878112,32
"OTU152",10,0.215027187345526,21.864336243437,10
"OTU169",35,0.270859277708593,2844.83312606945,35
"OTU202",28,0.234501347708895,597.095366719951,28
"OTU219",33,0.24438202247191,1241.88340474841,33
"OTU177",35,0.270859277708593,2002.68331232458,35
"OTU289",33,0.249712973593571,860.582545697421,33
"OTU9",7,0.227154046997389,895.630571226249,7
"OTU88",2,0.202419730107027,156.347132568207,2
"OTU225",3,0.192733717323881,0,3
"OTU228",4,0.197189483227561,52.9980404297516,4
"OTU168",5,0.231876332622601,897.974304613939,5
"OTU53",33,0.264116575591985,1442.86404118282,33
"OTU135",29,0.274621212121212,1871.65413635547,29
"OTU146",33,0.261261261261261,1588.20635515423,33
"OTU411",10,0.208333333333333,217.253655819289,10
"OTU19",11,0.23488120950324,1409.9157633402,11
"OTU112",21,0.273412947831552,2854.69248595394,21
"OTU259",7,0.226209048361934,53.7712346862374,7
"OTU331",7,0.25633470830878,423.007119099784,7
"OTU16",17,0.232869379014989,879.927895529197,17
"OTU17",11,0.219254032258065,1116.71344909938,11
"OTU20",12,0.219364599092284,1179.72345674227,12
"OTU22",21,0.24247491638796,1963.17233921109,21
"OTU29",18,0.236541598694943,387.419041905609,18
"OTU32",18,0.270690728064717,8812.83779752231,18
"OTU31",22,0.246738513896767,4572.27611355568,22
"OTU37",15,0.229793977812995,262.853491424978,15
"OTU140",11,0.218045112781955,1801.3838054855,11
"OTU173",15,0.231629392971246,4115.14374903084,15
"OTU148",10,0.205868433506862,24.3799232724258,10
"OTU180",12,0.227987421383648,883.602778345993,12
"OTU182",11,0.227748691099476,112.584839449244,11
"OTU214",7,0.204417293233083,0.551810425172371,7
"OTU266",5,0.21044992743106,157.913462053287,5
"OTU193",14,0.225974025974026,1299.35818506599,14
"OTU445",2,0.19222271321255,0,2
"OTU235",6,0.203651685393258,92.9661984121439,6
"OTU190",7,0.218263923733066,393.034450710239,7
"OTU363",7,0.226209048361934,1136.87134800609,7
"OTU13",6,0.253348864298195,848.794468592986,6
"OTU84",12,0.255731922398589,1688.71612231344,12
"OTU61",17,0.286372613561554,1313.56268263879,17
"OTU78",22,0.292338709677419,2563.42297178476,22
"OTU7",1,1,0,1
"OTU41",4,0.218922999496729,956.690577715102,4
"OTU379",4,0.22159959246052,50.2172211512835,4
"OTU386",3,0.206258890469417,137.866302156712,3
"OTU352",3,0.216525634644102,70.3200390382337,3
"OTU33",17,0.231137088204038,439.519702207392,17
"OTU51",31,0.24126455906822,551.879984182844,31
"OTU83",16,0.218373493975904,328.83553472482,16
"OTU55",20,0.272045028142589,2887.35135296268,20
"OTU86",11,0.212091662603608,96.8457953878654,11
"OTU115",31,0.250576036866359,520.268411894401,31
"OTU116",35,0.268187422934649,1597.66184579292,35
"OTU106",16,0.239933811362383,605.642296418614,16
"OTU108",8,0.210043457267021,13.7221348940933,8
"OTU110",8,0.209235209235209,6.4986433570096,8
"OTU143",16,0.23861766319254,668.318162699154,16
"OTU120",16,0.253496503496503,795.399237962988,16
"OTU121",24,0.260635110844817,2381.1507934798,24
