"","KO","Means","SD"
"num.edges(L)","854","854","0"
"num.pos.edges","847","0","0"
"num.neg.edges","7","0","0"
"num.vertices(n)","362","362","0"
"Connectance(edge_density)","0.0130698948592767","0.0130698948592767","0"
"average.degree(Average K)","4.71823204419889","4.71823204419889","0"
"average.path.length","1.23884859527013","3.94620748944772","0.0238885777347425"
"diameter","5.64586333718787","8.04","0.584652188756856"
"edge.connectivity","0","0.04","0.196946385566932"
"mean.clustering.coefficient(Average.CC)","0.797122545700745","0.0134089022102992","0.00422310782576246"
"no.clusters","99","4.1","1.77809340632492"
"centralization.degree","0.0423317671905848","0.0208082214842136","0.00314620960986165"
"centralization.betweenness","0.000404599241701474","0.0345441862134607","0.00693062529310369"
"centralization.closeness","0.260763714751674","NaN",NA
"RM(relative.modularity)","1.19118524367998","0.000331788773894473","0.0473573306100683"
"the.number.of.keystone.nodes","Not.calculated","0","0"
