"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"OTU4",3,0.111245465538089,2.97619047619048,3
"OTU459",12,0.12472885032538,693.146098346098,12
"OTU585",13,0.124932102118414,744.67866022866,13
"OTU2",29,0.26406429391504,16.3463555460188,29
"OTU35",57,0.3125,303.735759981994,57
"OTU39",58,0.314207650273224,343.406285957454,58
"OTU34",52,0.311231393775372,384.942888974779,52
"OTU17",31,0.264367816091954,145.212091178089,31
"OTU20",28,0.263912794033276,124.211135411296,28
"OTU10",35,0.308517773306506,146.358377312463,35
"OTU36",55,0.3125,441.398949985066,55
"OTU24",20,0.254988913525499,61.119772415491,20
"OTU19",31,0.307692307692308,204.626545453732,31
"OTU44",49,0.315934065934066,173.718259393829,49
"OTU43",52,0.317241379310345,208.337591465934,52
"OTU53",50,0.310391363022942,230.510013424114,50
"OTU76",44,0.308932169241101,302.442608230497,44
"OTU28",37,0.269478617457528,358.429007562682,37
"OTU146",36,0.291139240506329,86.0985197932395,36
"OTU136",51,0.318559556786704,196.068347667594,51
"OTU33",23,0.256839754327192,132.622440119249,23
"OTU130",64,0.336011687363039,503.395568944514,64
"OTU55",58,0.32122905027933,692.35901227613,58
"OTU59",57,0.317460317460317,550.389257853206,57
"OTU143",56,0.323260716795502,340.295984225447,56
"OTU111",49,0.316804407713499,203.463526525567,49
"OTU109",46,0.315284441398218,133.298091298836,46
"OTU56",21,0.284653465346535,536.962964008829,21
"OTU208",62,0.324400564174894,317.251352347474,62
"OTU88",10,0.240585774058577,12.4895414691889,10
"OTU233",24,0.322354590049054,203.798720219527,24
"OTU247",27,0.296965784377017,451.801956343743,27
"OTU108",24,0.277275467148885,154.499593839713,24
"OTU154",40,0.328571428571429,243.045057166514,40
"OTU300",41,0.31144211238998,112.17804348346,41
"OTU120",25,0.285006195786865,7.27645274243642,25
"OTU96",3,1,3,3
"OTU523",92,0.344569288389513,316.133746510016,92
"OTU342",92,0.344569288389513,316.133746510016,92
"OTU50",1,1,0,1
"OTU63",2,0.132297958009779,0,2
"OTU145",3,0.152317880794702,1371,3
"OTU533",1,0.116899618805591,0,1
"OTU71",154,0.368294635708567,962.431451270523,154
"OTU121",29,0.287141073657928,45.3452794783151,29
"OTU22",172,0.375203915171289,2286.57408214673,172
"OTU12",104,0.36078431372549,223.033989073338,104
"OTU89",66,0.338733431516937,413.90066842131,66
"OTU133",36,0.306462358427715,20.269008548878,36
"OTU105",56,0.349013657056146,493.695051465542,56
"OTU79",39,0.313351498637602,480.338950120743,39
"OTU123",52,0.349013657056146,670.541251285083,52
"OTU104",27,0.302233902759527,27.0081568055993,27
"OTU81",44,0.323488045007032,294.960931408194,44
"OTU142",114,0.370668815471394,2735.21654211038,114
"OTU114",35,0.32033426183844,607.522223445595,35
"OTU165",144,0.38655462184874,2102.80257174743,144
"OTU147",73,0.342261904761905,873.97407359686,73
"OTU270",65,0.354938271604938,601.347816733979,65
"OTU175",56,0.354118552732871,552.140536419904,56
"OTU343",42,0.338235294117647,272.935504209679,42
"OTU166",107,0.368589743589744,1127.56029861457,107
"OTU160",184,0.400696864111498,3220.06541931585,184
"OTU178",157,0.388185654008439,1449.4780090032,157
"OTU242",156,0.385906040268456,1513.94907044659,156
"OTU332",14,0.316804407713499,10.413382021624,14
"OTU238",143,0.38655462184874,2156.32580429335,143
"OTU391",23,0.309973045822102,49.7717045503801,23
"OTU393",43,0.344827586206897,171.161093077482,43
"OTU116",27,0.286783042394015,44.0134960546062,27
"OTU131",34,0.307281229124917,3189.36416237894,34
"OTU115",79,0.357420357420357,547.67211648468,79
"OTU11",97,0.335766423357664,2.81795381955086,97
"OTU37",140,0.357976653696498,68.9871312444933,140
"OTU52",204,0.412186379928315,542.995274437489,204
"OTU46",25,0.302432610124918,1075.58275611882,25
"OTU74",204,0.407801418439716,247.146101247529,204
"OTU5",75,0.323943661971831,0.679803489315538,75
"OTU64",30,0.314852840520192,405.686246345863,30
"OTU32",129,0.353302611367127,7.98647363634001,129
"OTU84",19,0.32280701754386,19.6541723750274,19
"OTU93",164,0.392156862745098,403.639349036862,164
"OTU14",87,0.328806290207291,12.1193319686983,87
"OTU15",91,0.342261904761905,4.03753304034875,91
"OTU82",213,0.414041404140414,225.764603869081,213
"OTU162",213,0.414041404140414,225.764603869081,213
"OTU40",171,0.377668308702791,119.498654553173,171
"OTU45",200,0.404929577464789,159.903726369339,200
"OTU31",89,0.343796711509716,1180.94360058882,89
"OTU213",215,0.414414414414414,238.885310527608,215
"OTU90",211,0.414414414414414,516.530545433013,211
"OTU222",215,0.414414414414414,238.885310527608,215
"OTU128",215,0.414414414414414,238.885310527608,215
"OTU138",214,0.414414414414414,232.012177264898,214
"OTU176",182,0.396551724137931,100.959258634839,182
"OTU224",214,0.414414414414414,232.012177264898,214
"OTU255",182,0.396551724137931,100.959258634839,182
"OTU192",215,0.414414414414414,238.885310527608,215
"OTU140",213,0.414041404140414,225.764603869081,213
"OTU135",176,0.397923875432526,185.427826802437,176
"OTU269",182,0.396551724137931,100.959258634839,182
"OTU61",213,0.414041404140414,225.764603869081,213
"OTU72",160,0.365369340746624,173.431362566355,160
"OTU113",214,0.414414414414414,232.012177264898,214
"OTU148",205,0.410714285714286,274.84236581632,205
"OTU58",213,0.414041404140414,225.764603869081,213
"OTU185",213,0.414041404140414,225.764603869081,213
"OTU60",213,0.414041404140414,225.764603869081,213
"OTU252",182,0.396551724137931,100.959258634839,182
"OTU80",210,0.409982174688057,289.36868781588,210
"OTU117",197,0.403863037752414,119.265538051384,197
"OTU295",214,0.414414414414414,232.012177264898,214
"OTU187",88,0.346646571213263,575.814975157764,88
"OTU150",82,0.347432024169184,33.858764865158,82
"OTU77",161,0.37797863599014,338.044749042999,161
"OTU171",213,0.414041404140414,225.764603869081,213
"OTU69",147,0.367705835331735,42.6618881156441,147
"OTU183",32,0.327169274537696,102.964341800365,32
"OTU157",139,0.371267150928168,74.0746836389256,139
"OTU153",205,0.414041404140414,789.835080629208,205
"OTU182",214,0.414414414414414,232.012177264898,214
"OTU92",214,0.414414414414414,232.012177264898,214
"OTU152",167,0.398613518197574,900.373495645044,167
