"","COPD_IFNnegative","COPD_IFNpositive","TB_IFNpositive"
"num.edges(L)","2293","854","20815"
"num.pos.edges","2289","847","20815"
"num.neg.edges","4","7","0"
"num.vertices(n)","468","362","471"
"Connectance(edge_density)","0.0209831805120884","0.0130698948592767","0.18805619550978"
"average.degree(Average K)","9.7991452991453","4.71823204419889","88.3864118895966"
"average.path.length","3.05759620424373","1.23884859527013","2.40034889859364"
"diameter","10.2994479654022","5.64586333718787","11.9193326841346"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.471168722809325","0.797122545700745","0.672582852564527"
"no.clusters","10","99","5"
"centralization.degree","0.0839418730211021","0.0423317671905848","0.271518272575326"
"centralization.betweenness","0.0957534969864889","0.000404599241701474","0.154971163711932"
"centralization.closeness","1.49133373885457","0.260763714751674","1.35100572389956"
"RM(relative.modularity)","1.34427525788488","1.28696060594609","0.729022321739935"
"the.number.of.keystone.nodes","Not.calculated","Not.calculated","Not.calculated"
