ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,mean,Label
OTU49,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Unknown,Unknown,0.00385906467812719,OTU49
OTU57,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella salivae,0.00343813439393243,OTU57
OTU65,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,0.00278093904561085,OTU65
OTU68,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Megasphaera,uncultured Megasphaera sp.,0.00249545988570223,OTU68
OTU149,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Unknown,0.000804306751763473,OTU149
OTU161,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Unknown,0.000481498459958708,OTU161
OTU164,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella oulorum,0.000463595758204553,OTU164
OTU202,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Unknown,Unknown,0.000322482050290386,OTU202
OTU219,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Prevotella sp.,0.000288512651470603,OTU219
OTU289,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Unknown,Unknown,0.000129165836654707,OTU289
OTU77,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella pallens,0.00213872379337331,OTU77
OTU194,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium asaccharolyticum,0.000388064907594091,OTU194
OTU177,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,Unknown,0.000259175357645874,OTU177
OTU169,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,Unknown,0.000333640496904001,OTU169
OTU10,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,Veillonella parvula,0.0297753823594437,OTU10
OTU14,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Prevotella histicola,0.0276652429640097,OTU14
OTU30,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,Veillonella atypica,0.0114154204003236,OTU30
OTU19,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,Veillonella tobetsuensis,0.0164158276911791,OTU19
OTU16,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Unknown,0.0225657065722926,OTU16
OTU31,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus,Haemophilus parainfluenzae,0.00790486449155776,OTU31
OTU37,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Unknown,0.00563176280335335,OTU37
OTU148,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Neisseria elongata,0.000326750890769071,OTU148
OTU182,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Neisseria elongata,0.000208171156790801,OTU182
OTU214,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Unknown,Unknown,0.000108756461319545,OTU214
OTU115,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Unknown,Unknown,0.00176835120487619,OTU115
OTU116,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Unknown,Unknown,0.00157528549935663,OTU116
OTU135,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Stomatobaculum,Stomatobaculum longum,0.0015204083231463,OTU135
OTU146,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoanaerobaculum,Unknown,0.00082421181116156,OTU146
OTU196,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Unknown,Unknown,0.000369205322635188,OTU196
OTU296,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Unknown,0.000147153637737529,OTU296
OTU523,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Unknown,Unknown,1.10967021373507e-05,OTU523
OTU367,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,[Eubacterium] nodatum group,Unknown,1.04194153950644e-05,OTU367
OTU431,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured Candidatus Saccharibacteria bacterium,Unknown,Unknown,1.00327826369784e-05,OTU431
OTU400,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,Unknown,Unknown,7.39548530416563e-06,OTU400
OTU476,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Prevotella heparinolytica,2.12705487503294e-05,OTU476
OTU33,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Unknown,0.0121680663339364,OTU33
OTU83,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Unknown,Unknown,Unknown,0.00241582299562606,OTU83
OTU86,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Unknown,Unknown,Unknown,0.00220122775927624,OTU86
OTU405,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Schaalia odontolytica,6.160825599149e-05,OTU405
OTU106,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,uncultured Leptotrichia sp.,0.00142220108578547,OTU106
OTU46,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Unknown,0.00468529169621046,OTU46
OTU120,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Unknown,Unknown,0.00044230947385106,OTU120
OTU121,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Unknown,Unknown,0.000414289590155524,OTU121
OTU55,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Unknown,0.00233188062272424,OTU55
OTU134,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Unknown,0.00133933281618209,OTU134
OTU98,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Unknown,0.00387337559688211,OTU98
OTU54,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Unknown,Unknown,0.00179758506662988,OTU54
OTU195,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,Unknown,0.000316166716325484,OTU195
OTU370,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Unknown,5.61109296306031e-05,OTU370
OTU390,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Unknown,4.33143814275338e-05,OTU390
OTU93,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Unknown,0.00125145538321863,OTU93
OTU102,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Unknown,Unknown,0.000631298552914148,OTU102
OTU101,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella nigrescens,0.000604306074111342,OTU101
OTU139,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Prevotella denticola,0.000667701069782321,OTU139
OTU359,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Fretibacterium,Unknown,2.05092229296979e-05,OTU359
OTU338,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema denticola,4.14128510941546e-05,OTU338
