source,target,correlation,direct,cor
OTU162,OTU82,1,undirected,+
OTU40,OTU82,0.840974575705113,undirected,+
OTU45,OTU82,0.9081694007389,undirected,+
OTU213,OTU82,0.993340732519423,undirected,+
OTU90,OTU82,0.9081694007389,undirected,+
OTU222,OTU82,0.993340732519423,undirected,+
OTU128,OTU82,0.993340732519423,undirected,+
OTU138,OTU82,0.996670366259712,undirected,+
OTU176,OTU82,0.819640198531449,undirected,+
OTU224,OTU82,0.99889012208657,undirected,+
OTU255,OTU82,0.819640198531449,undirected,+
OTU192,OTU82,0.993340732519423,undirected,+
OTU140,OTU82,1,undirected,+
OTU135,OTU82,0.9081694007389,undirected,+
OTU269,OTU82,0.819640198531449,undirected,+
OTU61,OTU82,1,undirected,+
OTU72,OTU82,0.81381615399526,undirected,+
OTU113,OTU82,0.99889012208657,undirected,+
OTU148,OTU82,0.9081694007389,undirected,+
OTU58,OTU82,1,undirected,+
OTU185,OTU82,0.99889012208657,undirected,+
OTU60,OTU82,1,undirected,+
OTU252,OTU82,0.818379213610631,undirected,+
OTU80,OTU82,0.906151246515036,undirected,+
OTU117,OTU82,0.9081694007389,undirected,+
OTU295,OTU82,0.99889012208657,undirected,+
OTU77,OTU82,0.842847570305793,undirected,+
OTU171,OTU82,1,undirected,+
OTU69,OTU82,0.843784067606132,undirected,+
OTU153,OTU82,0.89151962839202,undirected,+
OTU182,OTU82,0.996670366259712,undirected,+
OTU92,OTU82,0.99889012208657,undirected,+
OTU152,OTU82,0.815689148595939,undirected,+
OTU94,OTU82,0.9081694007389,undirected,+
OTU163,OTU82,0.99889012208657,undirected,+
OTU230,OTU82,0.89151962839202,undirected,+
OTU91,OTU82,0.99889012208657,undirected,+
OTU170,OTU82,0.906151246515036,undirected,+
OTU78,OTU82,0.89151962839202,undirected,+
OTU158,OTU82,0.995560488346282,undirected,+
OTU57,OTU82,0.830204856751206,undirected,+
OTU263,OTU82,1,undirected,+
OTU102,OTU82,0.819640198531449,undirected,+
OTU119,OTU82,0.905142169403104,undirected,+
OTU49,OTU82,0.909178477850832,undirected,+
OTU167,OTU82,0.9081694007389,undirected,+
OTU232,OTU82,0.873860778933208,undirected,+
OTU239,OTU82,0.996670366259712,undirected,+
OTU215,OTU82,0.996670366259712,undirected,+
OTU209,OTU82,0.89151962839202,undirected,+
OTU186,OTU82,0.877897087380937,undirected,+
OTU267,OTU82,0.996670366259712,undirected,+
OTU177,OTU82,0.880167474730694,undirected,+
OTU172,OTU82,0.9081694007389,undirected,+
