"","KO","Means","SD"
"num.edges(L)","7308","7308","0"
"num.pos.edges","7308","0","0"
"num.neg.edges","0","0","0"
"num.vertices(n)","372","372","0"
"Connectance(edge_density)","0.105903834449178","0.105903834449178","0"
"average.degree(Average K)","39.2903225806452","39.2903225806452","0"
"average.path.length","3.17078214325697","1.90790076225256","0.00063255213581178"
"diameter","11.5779658998768","3","0"
"edge.connectivity","0","22.77","1.97895493285285"
"mean.clustering.coefficient(Average.CC)","0.732392236241621","0.105985384527525","0.000833464306691773"
"no.clusters","26","1","0"
"centralization.degree","0.204069211372924","0.0488131466828971","0.00635316065756107"
"centralization.betweenness","0.151251603036911","0.00283908790474848","0.000421814357599325"
"centralization.closeness","1.12802199338896","0.0349487193046025","0.00390207640490418"
"RM(relative.modularity)","2.12952629737799","-0.00642395672578465","0.0606046025454181"
"the.number.of.keystone.nodes","Not.calculated","0","0"
