ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,mean,Label
OTU1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Unknown,7804.03225806452,OTU1
OTU10,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,Veillonella parvula,1451.38709677419,OTU10
OTU100,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Prevotella melaninogenica,73.2903225806452,OTU100
OTU101,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella nigrescens,25.741935483871,OTU101
OTU102,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Unknown,Unknown,27.5483870967742,OTU102
OTU103,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Unknown,11.0645161290323,OTU103
OTU104,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia dentocariosa,25.3225806451613,OTU104
OTU106,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,uncultured Leptotrichia sp.,57.8064516129032,OTU106
OTU107,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella oris,24.6774193548387,OTU107
OTU109,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Parvimonas,Unknown,44.9354838709677,OTU109
OTU11,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Unknown,1661.64516129032,OTU11
OTU110,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Unknown,Unknown,54.7096774193548,OTU110
OTU111,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Parvimonas,Peptostreptococcus sp.,43.2903225806452,OTU111
OTU112,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Unknown,20.1935483870968,OTU112
OTU113,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),Unknown,Unknown,Unknown,41.4838709677419,OTU113
OTU114,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia dentocariosa,22.3870967741935,OTU114
OTU115,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Unknown,Unknown,57.9032258064516,OTU115
OTU116,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Unknown,Unknown,56.3870967741936,OTU116
OTU117,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),SR1 bacterium oral taxon 875,Unknown,Unknown,40.0967741935484,OTU117
OTU118,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Unknown,54.2258064516129,OTU118
OTU119,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gingivalis,58.5806451612903,OTU119
OTU12,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium periodonticum,918.064516129032,OTU12
OTU120,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Unknown,Unknown,19.2903225806452,OTU120
OTU121,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Unknown,Unknown,16.7741935483871,OTU121
OTU122,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,18.3548387096774,OTU122
OTU123,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Unknown,Unknown,Unknown,23,OTU123
OTU124,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Unknown,53.3548387096774,OTU124
OTU125,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Stomatobaculum,Eubacterium sp.,37.5161290322581,OTU125
OTU127,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Candidatus Saccharibacteria bacterium UB2523,Unknown,Unknown,6.67741935483871,OTU127
OTU128,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas endodontalis,22.4193548387097,OTU128
OTU129,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Candidatus Saccharibacteria bacterium UB2523,Unknown,Unknown,6.48387096774194,OTU129
OTU13,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium periodonticum,879,OTU13
OTU130,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus stomatis,13.0967741935484,OTU130
OTU131,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,[Eubacterium] nodatum group,Unknown,39.741935483871,OTU131
OTU132,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Prevotella denticola,34.8064516129032,OTU132
OTU133,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,[Eubacterium] nodatum group,Unknown,36.8387096774194,OTU133
OTU134,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Unknown,17.5161290322581,OTU134
OTU135,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Stomatobaculum,Stomatobaculum longum,61.6129032258064,OTU135
OTU136,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus stomatis,12.4838709677419,OTU136
OTU137,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,Unknown,24.7096774193548,OTU137
OTU138,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas endodontalis,21.9354838709677,OTU138
OTU139,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Prevotella denticola,32.2903225806452,OTU139
OTU14,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Prevotella histicola,1370.41935483871,OTU14
OTU140,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,25.5161290322581,OTU140
OTU141,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,Unknown,23.3548387096774,OTU141
OTU142,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,Candidatus Saccharimonas,TM7 phylum,14.9677419354839,OTU142
OTU143,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium sinus,33.0322580645161,OTU143
OTU146,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoanaerobaculum,Unknown,29.8709677419355,OTU146
OTU147,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,Candidatus Saccharimonas,TM7 phylum,15.0645161290323,OTU147
OTU148,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Neisseria elongata,17.9677419354839,OTU148
OTU149,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Unknown,41.5483870967742,OTU149
OTU15,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Prevotella melaninogenica,1368.58064516129,OTU15
OTU150,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter concisus,19.4838709677419,OTU150
OTU151,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Unknown,90.6451612903226,OTU151
OTU152,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter concisus,15.7741935483871,OTU152
OTU153,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga leadbetteri,5.32258064516129,OTU153
OTU155,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,18.6451612903226,OTU155
OTU156,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Unknown,4.90322580645161,OTU156
OTU157,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,Unknown,12.7741935483871,OTU157
OTU158,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,19.9032258064516,OTU158
OTU159,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Unknown,2.38709677419355,OTU159
OTU16,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Unknown,1281.1935483871,OTU16
OTU160,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,Clostridiales bacterium oral taxon 075,Unknown,Unknown,8,OTU160
OTU161,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Unknown,22.7096774193548,OTU161
OTU163,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus,Unknown,19.1612903225806,OTU163
OTU164,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella oulorum,21.3870967741935,OTU164
OTU165,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,Unknown,Unknown,Unknown,13.0322580645161,OTU165
OTU166,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,Unknown,Unknown,Unknown,7.41935483870968,OTU166
OTU167,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,Unknown,6.83870967741935,OTU167
OTU168,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga leadbetteri,3.87096774193548,OTU168
OTU169,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,Unknown,12.2258064516129,OTU169
OTU17,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia mucilaginosa,731.870967741935,OTU17
OTU170,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella nanceiensis,21.4516129032258,OTU170
OTU171,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Unknown,11.0322580645161,OTU171
OTU172,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella nanceiensis,22.1935483870968,OTU172
OTU173,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,uncultured Porphyromonas sp.,30.5483870967742,OTU173
OTU174,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,20.0645161290323,OTU174
OTU175,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,Unknown,Unknown,Unknown,10.7096774193548,OTU175
OTU176,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Unknown,18.3870967741935,OTU176
OTU177,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,Unknown,9.61290322580645,OTU177
OTU178,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Pseudopropionibacterium,Unknown,4.70967741935484,OTU178
OTU179,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Unknown,12.7741935483871,OTU179
OTU18,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Unknown,3.45161290322581,OTU18
OTU180,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Unknown,Unknown,14.5483870967742,OTU180
OTU181,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Pseudopropionibacterium,Unknown,5.03225806451613,OTU181
OTU182,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Neisseria elongata,10.9354838709677,OTU182
OTU184,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),Unknown,Unknown,Unknown,10.6774193548387,OTU184
OTU185,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Unknown,5.61290322580645,OTU185
OTU186,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,Unknown,27.5161290322581,OTU186
OTU187,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Unknown,12.1612903225806,OTU187
OTU188,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Unknown,Unknown,16.1612903225806,OTU188
OTU189,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,Lautropia mirabilis,5.41935483870968,OTU189
OTU19,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,Veillonella tobetsuensis,805.387096774194,OTU19
OTU190,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,Lautropia mirabilis,5.58064516129032,OTU190
OTU191,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Unknown,Unknown,13.5806451612903,OTU191
OTU192,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Unknown,15.258064516129,OTU192
OTU193,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Unknown,Unknown,12.5161290322581,OTU193
OTU194,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,Oribacterium asaccharolyticum,13.7096774193548,OTU194
OTU195,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,Unknown,23.3870967741935,OTU195
OTU196,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Unknown,Unknown,15.7096774193548,OTU196
OTU197,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,7.03225806451613,OTU197
OTU198,Bacteria,Firmicutes,Bacilli,Lactobacillales,Unknown,Unknown,Unknown,7.35483870967742,OTU198
OTU199,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Unknown,12.0645161290323,OTU199
OTU2,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Unknown,7642.74193548387,OTU2
OTU20,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Unknown,Unknown,700.645161290323,OTU20
OTU200,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Unknown,7.90322580645161,OTU200
OTU201,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,uncultured Candidatus Saccharibacteria bacterium,Unknown,7.83870967741935,OTU201
OTU202,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Unknown,Unknown,14.5161290322581,OTU202
OTU203,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,Prevotella scopos,43.0645161290323,OTU203
OTU204,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Unknown,Unknown,12.1935483870968,OTU204
OTU205,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,Unknown,12.9677419354839,OTU205
OTU206,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Unknown,Unknown,13.0645161290323,OTU206
OTU207,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,5.51612903225806,OTU207
OTU209,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sputigena,5.03225806451613,OTU209
OTU21,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Unknown,3.51612903225806,OTU21
OTU210,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella aurantiaca,6.61290322580645,OTU210
OTU211,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Unknown,Unknown,12.9032258064516,OTU211
OTU212,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Unknown,9.12903225806452,OTU212
OTU213,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Unknown,6.25806451612903,OTU213
OTU214,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Unknown,Unknown,5.74193548387097,OTU214
OTU215,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Unknown,7.19354838709677,OTU215
OTU216,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus,Haemophilus sputorum,12.0967741935484,OTU216
OTU217,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,[Eubacterium] saphenum group,Eubacterium saphenum,1.25806451612903,OTU217
