source,target,correlation,direct,cor
OTU4,OTU3,0.999868209780963,undirected,+
OTU2,OTU1,0.999508341453188,undirected,+
OTU27,OTU26,0.99369187720302,undirected,+
OTU95,OTU26,0.845030804816073,undirected,+
OTU96,OTU26,0.845132163345193,undirected,+
OTU95,OTU27,0.849115508100803,undirected,+
OTU96,OTU27,0.849216789190401,undirected,+
OTU42,OTU38,0.999998225927283,undirected,+
OTU254,OTU38,0.860069838656311,undirected,+
OTU343,OTU38,0.830054339490269,undirected,+
OTU272,OTU38,0.84071201496276,undirected,+
OTU173,OTU38,0.850608519435498,undirected,+
OTU588,OTU38,0.834601208795505,undirected,+
OTU273,OTU38,0.908618437204549,undirected,+
OTU291,OTU38,0.876092913589944,undirected,+
OTU401,OTU38,0.896304907907919,undirected,+
OTU435,OTU38,0.894755774132449,undirected,+
OTU482,OTU38,0.940166591639967,undirected,+
OTU164,OTU38,0.83985902084261,undirected,+
OTU523,OTU38,0.999983338817067,undirected,+
OTU372,OTU38,0.854593198247417,undirected,+
OTU342,OTU38,0.846970801829545,undirected,+
OTU572,OTU38,0.80275825506818,undirected,+
OTU503,OTU38,0.80275825506818,undirected,+
OTU21,OTU18,0.999343874110432,undirected,+
OTU141,OTU18,0.850610301558731,undirected,+
OTU254,OTU42,0.859669507780821,undirected,+
OTU343,OTU42,0.829728460725257,undirected,+
OTU272,OTU42,0.841504179327182,undirected,+
OTU173,OTU42,0.851297525856348,undirected,+
OTU588,OTU42,0.833583915184348,undirected,+
OTU273,OTU42,0.908748318857953,undirected,+
OTU291,OTU42,0.876867277409033,undirected,+
OTU401,OTU42,0.896901618282384,undirected,+
OTU435,OTU42,0.895501214747871,undirected,+
OTU482,OTU42,0.940530758561621,undirected,+
OTU164,OTU42,0.840676540781865,undirected,+
OTU523,OTU42,0.999992284833633,undirected,+
OTU372,OTU42,0.855145151371105,undirected,+
OTU342,OTU42,0.847956327536996,undirected,+
OTU572,OTU42,0.802791745987635,undirected,+
OTU503,OTU42,0.802743421609864,undirected,+
OTU141,OTU21,0.852050008629474,undirected,+
OTU50,OTU48,0.999999990159757,undirected,+
OTU589,OTU48,0.999999989112511,undirected,+
OTU592,OTU48,0.999999989112511,undirected,+
OTU597,OTU48,0.999999989112511,undirected,+
OTU678,OTU48,0.999999989112511,undirected,+
OTU589,OTU50,0.999999996081588,undirected,+
OTU592,OTU50,0.999999996081588,undirected,+
OTU597,OTU50,0.999999996081588,undirected,+
OTU678,OTU50,0.999999996081588,undirected,+
OTU63,OTU47,0.999999993375986,undirected,+
OTU144,OTU47,0.999999991715391,undirected,+
OTU145,OTU47,0.999999992216572,undirected,+
OTU144,OTU63,0.999999985614216,undirected,+
OTU145,OTU63,0.999999973416103,undirected,+
OTU39,OTU35,0.997642797996285,undirected,+
OTU34,OTU35,0.819166475657641,undirected,+
OTU76,OTU35,0.915079888735754,undirected,+
OTU89,OTU35,0.951483473986634,undirected,+
OTU133,OTU35,0.818116598681431,undirected,+
OTU122,OTU35,0.909147891952883,undirected,+
OTU233,OTU35,0.896241557873262,undirected,+
OTU104,OTU35,0.801908587842146,undirected,+
OTU207,OTU35,0.846294250404318,undirected,+
OTU391,OTU35,0.817736197969169,undirected,+
OTU34,OTU39,0.84834711504245,undirected,+
OTU36,OTU39,0.801642896712879,undirected,+
OTU76,OTU39,0.922657521396254,undirected,+
OTU89,OTU39,0.93846509263691,undirected,+
OTU133,OTU39,0.803975345296901,undirected,+
OTU122,OTU39,0.919428113082407,undirected,+
OTU233,OTU39,0.897099058052546,undirected,+
OTU104,OTU39,0.81348311529904,undirected,+
OTU207,OTU39,0.858434207476942,undirected,+
OTU391,OTU39,0.816610516487706,undirected,+
OTU11,OTU41,0.988838902705233,undirected,+
OTU37,OTU41,0.993590498175029,undirected,+
OTU71,OTU41,0.992939697273471,undirected,+
OTU52,OTU41,0.994642803211888,undirected,+
OTU29,OTU41,0.987079641998961,undirected,+
OTU74,OTU41,0.838547045602826,undirected,+
OTU13,OTU41,0.926787671637776,undirected,+
OTU12,OTU41,0.937211246702489,undirected,+
OTU5,OTU41,0.975558153815471,undirected,+
OTU16,OTU41,0.814579467339056,undirected,+
OTU136,OTU41,0.913404066308108,undirected,+
OTU30,OTU41,0.926615801682499,undirected,+
OTU130,OTU41,0.936809799601807,undirected,+
OTU32,OTU41,0.931259597090333,undirected,+
OTU14,OTU41,0.987975218013874,undirected,+
OTU15,OTU41,0.899447810081917,undirected,+
OTU162,OTU41,0.98727066493069,undirected,+
OTU140,OTU41,0.980396585172409,undirected,+
OTU135,OTU41,0.991278398246119,undirected,+
OTU61,OTU41,0.816361539325776,undirected,+
OTU214,OTU41,0.996070841921275,undirected,+
OTU58,OTU41,0.991596047540828,undirected,+
OTU185,OTU41,0.965887201600703,undirected,+
OTU60,OTU41,0.991136373583856,undirected,+
OTU150,OTU41,0.973235153081033,undirected,+
OTU171,OTU41,0.981215358036454,undirected,+
OTU69,OTU41,0.849854134680808,undirected,+
OTU152,OTU41,0.983406318483849,undirected,+
OTU125,OTU41,0.910506836337347,undirected,+
OTU57,OTU41,0.925726128469741,undirected,+
OTU263,OTU41,0.808839171132649,undirected,+
OTU49,OTU41,0.946605959675306,undirected,+
OTU196,OTU41,0.975539472939684,undirected,+
OTU177,OTU41,0.997150626452853,undirected,+
OTU193,OTU41,0.959401473915343,undirected,+
OTU169,OTU41,0.989174146118694,undirected,+
OTU352,OTU41,0.920413947649827,undirected,+
OTU126,OTU41,0.84252806104337,undirected,+
OTU191,OTU41,0.966749032109521,undirected,+
OTU137,OTU41,0.888685461243175,undirected,+
OTU100,OTU41,0.884462294437575,undirected,+
OTU180,OTU41,0.983910033917275,undirected,+
OTU235,OTU41,0.965019046417273,undirected,+
OTU577,OTU41,0.994457863378265,undirected,+
OTU243,OTU41,0.966749032109521,undirected,+
OTU216,OTU41,0.990083890398574,undirected,+
OTU299,OTU41,0.835593963945756,undirected,+
OTU250,OTU41,0.983634584848402,undirected,+
OTU373,OTU41,0.840859503141947,undirected,+
OTU231,OTU41,0.840104373042589,undirected,+
OTU653,OTU41,0.967598652255999,undirected,+
OTU257,OTU41,0.85572641894012,undirected,+
OTU552,OTU41,0.840104373042589,undirected,+
OTU256,OTU41,0.966749032109521,undirected,+
OTU202,OTU41,0.856433189509671,undirected,+
OTU161,OTU41,0.966749032109521,undirected,+
OTU219,OTU41,0.966749032109521,undirected,+
OTU492,OTU41,0.840104373042589,undirected,+
OTU96,OTU95,0.999999936583166,undirected,+
OTU36,OTU34,0.988364622723235,undirected,+
OTU76,OTU34,0.898623908317776,undirected,+
OTU111,OTU34,0.858385548291547,undirected,+
OTU109,OTU34,0.851699086748983,undirected,+
OTU122,OTU34,0.904707118825491,undirected,+
OTU233,OTU34,0.838579659708196,undirected,+
OTU104,OTU34,0.87839738813509,undirected,+
OTU207,OTU34,0.874056687551463,undirected,+
OTU178,OTU34,0.865687463127357,undirected,+
OTU181,OTU34,0.83361451329696,undirected,+
OTU332,OTU34,0.879163669149574,undirected,+
OTU304,OTU34,0.844493103604878,undirected,+
OTU451,OTU34,0.840145993774844,undirected,+
OTU651,OTU34,0.840145993774844,undirected,+
OTU37,OTU11,0.996902797253742,undirected,+
OTU71,OTU11,0.986375937029518,undirected,+
OTU52,OTU11,0.982801497432256,undirected,+
OTU29,OTU11,0.999380182079457,undirected,+
OTU74,OTU11,0.880021329471266,undirected,+
OTU13,OTU11,0.965655804275207,undirected,+
OTU12,OTU11,0.960177550088691,undirected,+
OTU5,OTU11,0.983630911519276,undirected,+
OTU16,OTU11,0.848978106872089,undirected,+
OTU136,OTU11,0.887211943537498,undirected,+
OTU30,OTU11,0.909702541049702,undirected,+
OTU130,OTU11,0.913606768042846,undirected,+
OTU32,OTU11,0.967144544614595,undirected,+
OTU14,OTU11,0.977783160832329,undirected,+
OTU15,OTU11,0.936615818544124,undirected,+
OTU82,OTU11,0.842092652675423,undirected,+
OTU162,OTU11,0.980837983002143,undirected,+
OTU140,OTU11,0.990873049212714,undirected,+
OTU135,OTU11,0.972732460516983,undirected,+
OTU61,OTU11,0.868495686739935,undirected,+
OTU214,OTU11,0.992077462853882,undirected,+
OTU58,OTU11,0.975177379990762,undirected,+
OTU185,OTU11,0.987591786001035,undirected,+
OTU60,OTU11,0.975261438714091,undirected,+
OTU150,OTU11,0.991247638835108,undirected,+
OTU171,OTU11,0.994667895328379,undirected,+
OTU69,OTU11,0.891171069225545,undirected,+
OTU152,OTU11,0.986489371030763,undirected,+
OTU125,OTU11,0.878184386417077,undirected,+
OTU57,OTU11,0.957931276239278,undirected,+
OTU263,OTU11,0.871666786967728,undirected,+
OTU49,OTU11,0.950403882605672,undirected,+
OTU196,OTU11,0.94772163547948,undirected,+
OTU177,OTU11,0.978180054862744,undirected,+
OTU193,OTU11,0.941222221863503,undirected,+
OTU169,OTU11,0.988641972683181,undirected,+
OTU352,OTU11,0.949590466876004,undirected,+
OTU126,OTU11,0.901971952266239,undirected,+
OTU191,OTU11,0.949083181459665,undirected,+
OTU137,OTU11,0.869555491301538,undirected,+
OTU100,OTU11,0.930914638764753,undirected,+
OTU180,OTU11,0.990359650380817,undirected,+
OTU235,OTU11,0.963904208250056,undirected,+
