"","COPD_IFNnegative","COPD_IFNpositive","TB_IFNpositive"
"num.edges(L)","2899","13494","10320"
"num.pos.edges","2899","13494","10320"
"num.neg.edges","0","0","0"
"num.vertices(n)","423","491","452"
"Connectance(edge_density)","0.0324807009288203","0.11217423833077","0.101249926417205"
"average.degree(Average K)","13.7068557919622","54.9653767820774","45.6637168141593"
"average.path.length","3.52703304046681","4.33012573106071","2.94894958854761"
"diameter","10.0180526250858","11.2121481019646","11.0625669572725"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.762505645000121","0.845807500357941","0.746295426215416"
"no.clusters","39","4","23"
"centralization.degree","0.0836330431470091","0.149050251465148","0.182563820811177"
"centralization.betweenness","0.076718058470979","0.177540932440451","0.0679362022121495"
"centralization.closeness","1.05345690989894","1.56973627497801","1.18463093626602"
"RM(relative.modularity)","2.65361267781949","7.21262514542443","3.30747884518845"
"the.number.of.keystone.nodes","Not.calculated","Not.calculated","Not.calculated"
