"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"1",0.05,0.910894308943089,0.00871815798568868,0.000871815798568868,"weighted","COPD_IFNnegative"
"2",0.1,0.827439024390244,0.0111643877420154,0.00111643877420154,"weighted","COPD_IFNnegative"
"3",0.15,0.75630081300813,0.0137746247644141,0.00137746247644141,"weighted","COPD_IFNnegative"
"4",0.2,0.681382113821138,0.0158102745389793,0.00158102745389793,"weighted","COPD_IFNnegative"
"5",0.25,0.612764227642276,0.0172718450620731,0.00172718450620731,"weighted","COPD_IFNnegative"
"6",0.3,0.54150406504065,0.0209702600011264,0.00209702600011264,"weighted","COPD_IFNnegative"
"7",0.35,0.482439024390244,0.0190218562243663,0.00190218562243663,"weighted","COPD_IFNnegative"
"8",0.4,0.42260162601626,0.0195757362375358,0.00195757362375358,"weighted","COPD_IFNnegative"
"9",0.45,0.357154471544715,0.0217034551486294,0.00217034551486294,"weighted","COPD_IFNnegative"
"10",0.5,0.307642276422764,0.0220078714423982,0.00220078714423983,"weighted","COPD_IFNnegative"
"11",0.55,0.252886178861789,0.0227787043797917,0.00227787043797917,"weighted","COPD_IFNnegative"
"12",0.6,0.205040650406504,0.0181363940235989,0.00181363940235989,"weighted","COPD_IFNnegative"
"13",0.65,0.158536585365854,0.0208801628681055,0.00208801628681055,"weighted","COPD_IFNnegative"
"14",0.7,0.12760162601626,0.0207510211519812,0.00207510211519812,"weighted","COPD_IFNnegative"
"15",0.75,0.0872764227642276,0.0201764698509023,0.00201764698509023,"weighted","COPD_IFNnegative"
"16",0.8,0.0578455284552846,0.0178257450666206,0.00178257450666206,"weighted","COPD_IFNnegative"
"17",0.85,0.0360569105691057,0.0168515177806871,0.00168515177806871,"weighted","COPD_IFNnegative"
"18",0.9,0.0167886178861789,0.01041054201757,0.001041054201757,"weighted","COPD_IFNnegative"
"19",0.95,0.00365853658536585,0.00521604221723088,0.000521604221723088,"weighted","COPD_IFNnegative"
"20",1,0,0,0,"weighted","COPD_IFNnegative"
"21",0.05,0.921056910569106,0.00803051456828149,0.000803051456828149,"unweighted","COPD_IFNnegative"
