,ID,group,Group
1,OTU30,COPD_IFNnegativemodel_1,COPD_IFNnegative
2,OTU65,COPD_IFNnegativemodel_1,COPD_IFNnegative
3,OTU68,COPD_IFNnegativemodel_1,COPD_IFNnegative
4,OTU5,COPD_IFNnegativemodel_1,COPD_IFNnegative
5,OTU14,COPD_IFNnegativemodel_1,COPD_IFNnegative
6,OTU49,COPD_IFNnegativemodel_1,COPD_IFNnegative
7,OTU57,COPD_IFNnegativemodel_1,COPD_IFNnegative
8,OTU219,COPD_IFNnegativemodel_1,COPD_IFNnegative
9,OTU202,COPD_IFNnegativemodel_1,COPD_IFNnegative
10,OTU10,COPD_IFNnegativemodel_1,COPD_IFNnegative
11,OTU161,COPD_IFNnegativemodel_1,COPD_IFNnegative
12,OTU116,COPD_IFNnegativemodel_16,COPD_IFNnegative
13,OTU11,COPD_IFNnegativemodel_14,COPD_IFNnegative
14,OTU53,COPD_IFNnegativemodel_16,COPD_IFNnegative
15,OTU16,COPD_IFNnegativemodel_14,COPD_IFNnegative
16,OTU37,COPD_IFNnegativemodel_14,COPD_IFNnegative
17,OTU148,COPD_IFNnegativemodel_14,COPD_IFNnegative
18,OTU149,COPD_IFNnegativemodel_1,COPD_IFNnegative
19,OTU164,COPD_IFNnegativemodel_1,COPD_IFNnegative
20,OTU177,COPD_IFNnegativemodel_1,COPD_IFNnegative
21,OTU31,COPD_IFNnegativemodel_14,COPD_IFNnegative
22,OTU182,COPD_IFNnegativemodel_14,COPD_IFNnegative
23,OTU33,COPD_IFNnegativemodel_39,COPD_IFNnegative
24,OTU83,COPD_IFNnegativemodel_39,COPD_IFNnegative
25,OTU86,COPD_IFNnegativemodel_39,COPD_IFNnegative
26,OTU54,COPD_IFNnegativemodel_2,COPD_IFNnegative
27,OTU46,COPD_IFNnegativemodel_7,COPD_IFNnegative
28,OTU115,COPD_IFNnegativemodel_16,COPD_IFNnegative
29,OTU146,COPD_IFNnegativemodel_16,COPD_IFNnegative
30,OTU196,COPD_IFNnegativemodel_16,COPD_IFNnegative
31,OTU55,COPD_IFNnegativemodel_3,COPD_IFNnegative
32,OTU139,COPD_IFNnegativemodel_25,COPD_IFNnegative
33,OTU28,COPD_IFNnegativemodel_39,COPD_IFNnegative
34,OTU69,COPD_IFNnegativemodel_35,COPD_IFNnegative
35,OTU100,COPD_IFNnegativemodel_35,COPD_IFNnegative
36,OTU32,COPD_IFNnegativemodel_43,COPD_IFNnegative
37,OTU180,COPD_IFNnegativemodel_43,COPD_IFNnegative
38,OTU98,COPD_IFNnegativemodel_2,COPD_IFNnegative
39,OTU135,COPD_IFNnegativemodel_16,COPD_IFNnegative
40,OTU156,COPD_IFNnegativemodel_4,COPD_IFNnegative
41,OTU77,COPD_IFNnegativemodel_33,COPD_IFNnegative
42,OTU194,COPD_IFNnegativemodel_1,COPD_IFNnegative
43,OTU169,COPD_IFNnegativemodel_1,COPD_IFNnegative
44,OTU120,COPD_IFNnegativemodel_3,COPD_IFNnegative
45,OTU121,COPD_IFNnegativemodel_3,COPD_IFNnegative
46,OTU426,COPD_IFNnegativemodel_45,COPD_IFNnegative
47,OTU643,COPD_IFNnegativemodel_45,COPD_IFNnegative
48,OTU93,COPD_IFNnegativemodel_5,COPD_IFNnegative
49,OTU195,COPD_IFNnegativemodel_5,COPD_IFNnegative
50,OTU45,COPD_IFNnegativemodel_6,COPD_IFNnegative
51,OTU102,COPD_IFNnegativemodel_25,COPD_IFNnegative
52,OTU101,COPD_IFNnegativemodel_25,COPD_IFNnegative
53,OTU15,COPD_IFNnegativemodel_35,COPD_IFNnegative
54,OTU29,COPD_IFNnegativemodel_43,COPD_IFNnegative
55,OTU97,COPD_IFNnegativemodel_2,COPD_IFNnegative
56,OTU58,COPD_IFNnegativemodel_8,COPD_IFNnegative
57,OTU417,COPD_IFNnegativemodel_45,COPD_IFNnegative
58,OTU2,COPD_IFNnegativemodel_44,COPD_IFNnegative
59,OTU9,COPD_IFNnegativemodel_12,COPD_IFNnegative
60,OTU19,COPD_IFNnegativemodel_1,COPD_IFNnegative
61,OTU13,COPD_IFNnegativemodel_47,COPD_IFNnegative
62,OTU7,COPD_IFNnegativemodel_37,COPD_IFNnegative
63,OTU20,COPD_IFNnegativemodel_46,COPD_IFNnegative
64,OTU282,COPD_IFNnegativemodel_48,COPD_IFNnegative
65,OTU39,COPD_IFNnegativemodel_23,COPD_IFNnegative
66,OTU106,COPD_IFNnegativemodel_7,COPD_IFNnegative
67,OTU286,COPD_IFNnegativemodel_49,COPD_IFNnegative
68,OTU52,COPD_IFNnegativemodel_26,COPD_IFNnegative
69,OTU36,COPD_IFNnegativemodel_30,COPD_IFNnegative
70,OTU60,COPD_IFNnegativemodel_8,COPD_IFNnegative
71,OTU256,COPD_IFNnegativemodel_8,COPD_IFNnegative
72,OTU43,COPD_IFNnegativemodel_41,COPD_IFNnegative
73,OTU134,COPD_IFNnegativemodel_2,COPD_IFNnegative
74,OTU70,COPD_IFNnegativemodel_10,COPD_IFNnegative
75,OTU237,COPD_IFNnegativemodel_9,COPD_IFNnegative
76,OTU78,COPD_IFNnegativemodel_24,COPD_IFNnegative
77,OTU111,COPD_IFNnegativemodel_34,COPD_IFNnegative
78,OTU81,COPD_IFNnegativemodel_31,COPD_IFNnegative
79,OTU174,COPD_IFNnegativemodel_6,COPD_IFNnegative
80,OTU92,COPD_IFNnegativemodel_36,COPD_IFNnegative
81,OTU94,COPD_IFNnegativemodel_42,COPD_IFNnegative
82,OTU133,COPD_IFNnegativemodel_38,COPD_IFNnegative
83,OTU124,COPD_IFNnegativemodel_32,COPD_IFNnegative
84,OTU141,COPD_IFNnegativemodel_29,COPD_IFNnegative
85,OTU801,COPD_IFNnegativemodel_50,COPD_IFNnegative
86,OTU114,COPD_IFNnegativemodel_28,COPD_IFNnegative
87,OTU170,COPD_IFNnegativemodel_27,COPD_IFNnegative
88,OTU138,COPD_IFNnegativemodel_17,COPD_IFNnegative
89,OTU152,COPD_IFNnegativemodel_20,COPD_IFNnegative
90,OTU192,COPD_IFNnegativemodel_15,COPD_IFNnegative
91,OTU142,COPD_IFNnegativemodel_22,COPD_IFNnegative
92,OTU175,COPD_IFNnegativemodel_18,COPD_IFNnegative
93,OTU136,COPD_IFNnegativemodel_21,COPD_IFNnegative
94,OTU236,COPD_IFNnegativemodel_19,COPD_IFNnegative
95,OTU220,COPD_IFNnegativemodel_11,COPD_IFNnegative
96,OTU212,COPD_IFNnegativemodel_40,COPD_IFNnegative
97,OTU166,COPD_IFNnegativemodel_13,COPD_IFNnegative
98,OTU1,COPD_IFNnegativemodel_44,COPD_IFNnegative
99,OTU6,COPD_IFNnegativemodel_12,COPD_IFNnegative
