"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC"
"?",2.53504702512232e-05,0,2.67215348849638e-05,0,0.000197465854862597,0.00209461489125052,0,0,0.00198238192961148,0,0,0,2.76380520700901e-05,0,0,0,1.17449467366665e-05,1.55306030533166e-05,0,0.000877357899354515,0,3.7104374605766e-05,0,1.55397740516853e-05,0,0.000629892918203905,0,0,0.00101690362439801,0.00301346382461088,4.49185850645705e-05,0,0.000181035523192662,0.000366592285623207,0.000266511605368997,0,0,0.000361907251213897,0.00016246953696182,6.58241179568194e-05,0.00390952247975426,9.534706331045e-05,0.000106700810926163,0.00201003137151767,0.0060673967274111,0.00152747800099618,0.00200320512820513,8.29617339002385e-05,0.000540524747268159,6.31189603044859e-06,0.000327248927350738,0.0207166853303471,0.000619195046439629,1.30948327789854e-05,0.00102100922835264,0.000247079171225866,0.000201558720773985,0.00306449174785967,0,0.000375885499494,0.000157919671527083,2.16651862122755e-05,0,6.47360925294549e-05,0.00585414808206958,0.0026617103783759,0.00214060387561965,0.000853788687299893,0.000674946004319654,2.67143963882136e-05,0,0.1
"Absconditabacteriales (SR1)",0.000456308464522017,0.00088407895739654,2.67215348849638e-05,0.000133155792276964,0,0.00087681553587231,5.0287476742042e-05,1.87772269791197e-05,0,0.000751015403479194,0.00104609929078014,0,0.0441932452600741,8.9827659219526e-05,0.000901774240818811,0.000101502233049127,0,0,0,0,0,0,0,0.000124318192413482,0,0.000869852125138726,0.000736449332285939,0,0.000335770064659721,0.000221171656852174,4.49185850645705e-05,0.0021398002853067,0,0,0,0.0011208668036615,0,0.000351854272013511,0,0,0,0,0.00145824441599089,0,0,0,0,0,0,6.31189603044859e-06,0,0,0,0,0.00243471431376399,0.000953019660442625,0,0,0,0,0.000140373041357407,0.00199319713152935,0.000473709142586452,0.0206939709119158,0,0,0,0,0,0,0,0.00909090909090909
"Acholeplasmatales",0,3.04854812895359e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000140939360839999,0,0,0,0,3.7104374605766e-05,0,0,2.13019768234492e-05,0,0,0.00120177365214869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82195824071712e-05,0,0,0,0,0,0,0,0,0
"Actinomycetales",0.0138667072274191,0.0023778675405838,0.00986024637255164,0.0856635596981802,0.000839229883166036,0.0010879007574712,0.0094540456275039,0.0558810274898603,0.00442545825131577,0.0716223465399647,0.0446985815602837,0.0212401095099131,0.0135702835664142,0.0332105688657333,0.00171337105755574,0.00301123291379077,0.031065384118483,0.0241034959387473,0.147422397216372,0.00658018424515886,0.00536912751677852,0.0535416125561204,0.00494511184755592,0.0972012866932915,0.00726397409679618,0.0996730555805513,0.00679988216810683,0.0311217935435747,0.011128379285865,0.00884686627408698,0.032363840539023,0.102631161832303,0.00189081546445669,0.000892572521517373,0.000678393177302903,0.0508126284326546,0.0373920136442846,0.0761613704221246,0.0054021121039805,6.58241179568194e-05,0.000874988364516429,0.0305587337909992,0.00309432351685873,1.87853399207259e-05,0,0.00461564004648846,0.000300480769230769,2.07404334750596e-05,0,6.31189603044859e-06,0,0,0.000412796697626419,0.00014404316056884,0.00247398389946986,0.00017648512230419,0.00127653856490191,0,0.000163164214322471,0.00318056961110308,0.000298292712884491,0.0177871178802782,0.0107313340378239,0.00873937249147641,0,9.17831164957206e-05,0.000506985128436233,0.000853788687299893,0.000134989200863931,0.00133571981941068,0.00012235783548989,0
"Anaerolineales",0,0,0,0,0,8.11866236918805e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59343041884917e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15786975098183e-05,0,0,0,0,0,0,0,0
"Bacteroidales",0.265520825411311,0.126941544089627,0.122251022098709,0.26797603195739,0.00115188415336515,0.0723048070599888,0.279061970933838,0.187190175754845,0.01252251120325,0.277921679822209,0.267606382978723,0.217966846174674,0.180061909236637,0.22853439757722,0.0844060689406407,0.348186493436189,0.341883654557627,0.313065896348755,0.205109422214083,0.0384784107288337,0.128218895198761,0.305294794256243,0.169506006628003,0.0880017404546938,0.386737389229721,0.22358199106152,0.243568342498036,0.302328954456923,0.015522170417698,0.164219955212739,0.0617855137563167,0.330519892217467,0.00205173592951684,0.000239081925406439,2.42283277608179e-05,0.0713618531664487,0.0762671017018279,0.134790345118776,0.000121852152721365,6.58241179568194e-05,0,0,0.252169583155499,0,0,3.3206043499917e-05,0.00250400641025641,8.29617339002385e-05,1.46087769531935e-05,6.31189603044859e-06,0.000109082975783579,0.000559910414333707,0,0,0.11003337914785,0.0390032120292259,0.041386723998925,0,1.25510934094209e-05,0.000260228422726616,0.0121422680774157,0.0834976276621098,0.26852020551689,0.258145958309956,0,0,0,0,0,0.000160286378329282,1.52947294362363e-05,0
"Bifidobacteriales",2.53504702512232e-05,0.000106699184513376,0,0,3.29109758104328e-05,0,0,9.38861348955986e-05,0.000767823986821348,0,1.77304964539007e-05,3.00851409488853e-05,0,1.28325227456466e-05,0,0,1.17449467366665e-05,0,0,0.000313342106912327,0.000392359318533815,0,0,7.76988702584264e-05,0.000234321745057941,0,0,6.21607061456218e-05,0.00011512116502619,0,0.000202133632790567,0,0.00010057529066259,0,0,0.000373622267887166,0,0,0,0,0,0,0,0,0,0.000398472521999004,5.00801282051282e-05,2.07404334750596e-05,0,0,0,0.000559910414333707,0,0,0,0,0,0,0,0,0,0,0,2.15786975098183e-05,0,0,0.00180261378999549,0,0,0,0,0
"Brevibacillales",0,0,0,0,0,0,0,0,0,0,0,0,0,1.28325227456466e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26849832824538e-05,0,0,0,0,0,0,0,0,0,2.11407551477739e-05,3.3206043499917e-05,0,0,0,0.904835543548927,3.63609919278598e-05,0,0,0.733690385773774,0.000117808757117612,0,0,1.37421154612541e-05,1.25510934094209e-05,2.89142691918462e-05,0,0,0,0,0,0.000711319152841835,5.63316809373592e-05,0,0.000539956803455724,0.000160286378329282,0.844269064880242,0
"Burkholderiales",0.0274545592820747,0.397012422833625,0.00146968441867301,0.0171770972037284,0.000263287806483462,0.173747493362994,0.000117337445731431,0.0896800360522758,0.00174505451550306,0.00823051574833321,0.00118794326241135,0.0671199494569632,0.11339892764358,0.105470504446469,0.0369952882295917,0.0739500157892363,8.22146271566658e-05,0.06171861653388,0.00109880047614687,0.0322115685905872,0.109406298399587,0.0131349486104412,0.299761806130903,0.0107379838697145,0.00628408316291752,0.0056390413629683,0.150873919874313,0.0023828270689155,0.00239835760471229,0.0189101766608609,0.00217855137563167,0.00689491203043271,0.0022327714527095,3.18775900541919e-05,0.000436109899694723,0.00354941154492808,0.248118349338178,0.0156424356358007,0.0012591389114541,0,0,9.534706331045e-05,0.127969839237445,1.87853399207259e-05,0.000147985286034417,0.000398472521999004,0.000751201923076923,6.22213004251789e-05,8.76526617191609e-05,6.31189603044859e-06,0.000545414878917897,0.0111982082866741,0.000137598899208806,0,0.0357745925780483,0.0163248738131376,0.256181134103736,0.000137421154612541,4.18369780314028e-06,0.000173485615151077,0.00470249688547314,0.086660744849102,0.0857049156433334,0.0626861162660222,0.000613291703835861,0.000321240907735022,0.000337990085624155,0.000569192458199929,0.00134989200863931,0.000133571981941068,1.52947294362363e-05,0.290909090909091
"Campylobacterales",0.0017491824473344,0.000548738663211645,0.000133607674424819,0.000954283177984909,6.58219516208656e-05,0.000422170443197779,0.000452587290678378,0.000469430674477993,0.000977230528681716,0.00194650931105832,0.00604609929078014,0.00213604500737086,0.000829141562102703,0.00102660181965173,0.00126248393714634,0.000327062750936076,0.00207885557238998,0.0045970585037817,0.000457833531727864,0.000125336842764931,0.000309757356737223,0.00192942747949983,7.76719138359569e-05,0.0010567046355146,0.000702965235173824,0.00125978583640781,0.00157109190887667,0.00196842236127802,0.000268616051727777,0.000359403942384783,0.000134755755193711,0.00677603423680456,0,0,0,0.000560433401830749,0.000185384301657336,0.000663496627225478,0,0,1.86167737131155e-05,0,0.00206288234457249,0,0,6.6412086999834e-05,0.000200320512820513,0,0,0,0,0.000559910414333707,0,0,0.00149224425682309,0.000758886025908016,6.71862402579952e-05,0,0,0,0.000157919671527083,0.00101826375197695,0.000929198702765733,0.000776833110353459,0,0,0,0,0,0,0,0
