"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC"
"?",1,0,1,0,12,258,0,0,142,0,0,0,1,0,0,0,1,1,0,14,0,1,0,1,0,21,0,0,106,109,2,0,9,23,11,0,0,36,4,1,210,2,3,107,287,46,40,8,37,1,9,37,9,1,26,14,9,223,0,13,9,1,0,3,105,116,38,12,5,1,0,11
"Absconditabacteriales (SR1)",18,58,1,6,0,108,3,1,0,49,59,0,1599,7,40,9,0,0,0,0,0,0,0,8,0,29,30,0,35,8,2,54,0,0,0,6,0,35,0,0,0,0,41,0,0,0,0,0,0,1,0,0,0,0,62,54,0,0,0,0,8,92,26,959,0,0,0,0,0,0,0,1
"Acholeplasmatales",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,1,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Actinomycetales",547,156,369,3860,51,134,564,2976,317,4673,2521,706,491,2588,76,267,2645,1552,1610,105,260,1443,191,6255,341,3323,277,1502,1160,320,1441,2590,94,56,28,272,2017,7576,133,1,47,641,87,1,0,139,6,2,0,1,0,0,6,11,63,10,57,0,39,110,17,821,589,405,0,4,9,12,1,50,8,0
"Anaerolineales",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Bacteroidales",10474,8328,4575,12075,70,8906,16648,9969,897,18133,15093,7245,6515,17809,3744,30873,29109,20158,2240,614,6209,8228,6547,5663,18155,7454,9922,14591,1618,5940,2751,8341,102,15,1,382,4114,13408,3,1,0,0,7090,0,0,1,50,8,1,1,3,1,0,0,2802,2210,1848,0,3,9,692,3854,14738,11963,0,0,0,0,0,6,1,0
"Bifidobacteriales",1,7,0,0,2,0,0,5,55,0,1,1,0,1,0,0,1,0,0,5,19,0,0,5,11,0,0,3,12,0,9,0,5,0,0,2,0,0,0,0,0,0,0,0,0,12,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0,0,0,0,0
"Brevibacillales",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,143354,1,0,0,56029,3,0,0,1,3,1,0,0,0,0,0,31,1,0,4,6,55200,0
"Burkholderiales",1083,26046,55,774,16,21401,7,4776,125,537,67,2231,4103,8219,1641,6557,7,3974,12,514,5298,354,11578,691,295,188,6146,115,250,684,97,174,111,2,18,19,13384,1556,31,0,0,2,3598,1,7,12,15,6,6,1,15,20,2,0,911,925,11439,10,1,6,268,4000,4704,2905,11,14,6,8,10,5,1,32
"Campylobacterales",69,36,5,43,4,52,27,25,70,127,341,71,30,80,56,29,177,296,5,2,15,52,3,68,33,42,64,95,28,13,6,171,0,0,0,3,10,66,0,0,1,0,58,0,0,2,4,0,0,0,0,1,0,0,38,43,3,0,0,0,9,47,51,36,0,0,0,0,0,0,0,0
